,rxns_added
0,3HAO
1,MMTSAO
2,QMO2
3,PROt3
4,EX_adprib_e
5,LPLIPAL2G180
6,THRASNTYRt
7,FBA
8,NPH
9,MALS
10,GPDDA4
11,THRASNTYRr
12,GTHPe
13,ADPRIBt
14,AM6SAD
15,XTSNH
16,LYSTYRILEr
17,AMCOXO
18,ADPRDP
19,HXAt
20,ECOAH12
21,FACOAE100
22,ASPTA
23,AASAD2
24,G3PT
25,GLYO1
26,GLYCOe
27,HMNOc
28,EX_nad_e
29,GTHRDH_syn
30,EX_lyspheile_e
31,ARGSERSERr
32,LPLIPAL2G160
33,KYN3OX
34,SULO
35,SACCD1
36,PGCD
37,PYDXO
38,ILEASNHISr
39,EX_argserser_e
40,LPLIPAL2G161
41,CYSLY3
42,HMGLB
43,LYSTYRILEt
44,HISLYSILEt
45,EX_ileargile_e
46,LYSPHEILEt
47,EX_ileasnhis_e
48,LYSPHEILEr
49,ARGSERSERt
50,EX_glycogen1500_e
51,EX_thrasntyr_e
52,ILEASNHISt
53,HKYNH
54,LPLIPAL2G181
55,PSP_L
56,ARTPLM1
57,MCITLmc
58,NADPPPS
59,EX_lystyrile_e
60,HISLYSILEr
61,LPLIPAL2G120
62,LAAL15
63,AMPt6
64,PPS
65,FBA3
66,ACOADH2
67,H2O2t
68,HIBHc
69,LPLIPAL2G140
70,LPLIPAL2G141
71,ARTCOAL1
72,TRPO2
73,FACOAL260
74,DIPEPabc6c
75,FKYNH
76,OCTAt
77,AATA
78,AKO
79,MALTe
80,PCLAD
81,NADDPe
82,SACCD2
83,EX_hislysile_e
84,NMNTP
85,ILEARGILEr
86,ILEARGILEt
87,CHSTEROLt3
88,PSERT
89,HISD_c
90,GTHOXti
