,rxns_added
0,GLPASE2a
1,ACOADAGAT_MYRS_EPA_ARA_c
2,PLDAGAT_HDE_PALM_LNA_PC_1_c
3,ETHAPT_MYRS_HDE_c
4,DAGCPT
5,LYSLYSLYSt
6,HKYNH
7,LPLIPAL1A141
8,FADH2tm
9,PLA2PC_MYRS_MYRS_c
10,DMTPHT
11,FKYNH
12,CHOPT_STC_STC_c
13,PLA2PE_STC_STC_c
14,PAPA1819Z1819Z
15,ETHAPT_LNA_LNA_c
16,PLA2PE_MYRS_HDE_c
17,PAPA_MYRS_LNA_c
18,OGCOAAT
19,H2O2t
20,HEPT2
21,AMCOXO
22,CRNCDH
23,DAGAH_DHA_ALNA_c
24,CITt4_1
25,FACOAE1836Z9Z12Z
26,PLDPC_LNA_STC_c
27,GLS2
28,PLIPA2A120
29,KYN3OX
30,RFA_HP
31,PGCD
32,PLDAGAT_PALM_EPA_ARA_PC_3_c
33,HMR_0908
34,3HAO
35,EX_5fthf_e
36,HOCCD
37,PLDAGAT_HDE_EPA_DHA_PC_3_c
38,HEPT1
39,MTHFD
40,PLDPC_STC_GLNA_c
41,PDYXPT_c
42,HMNOc
43,DAGAH_MYRS_DHA_c
44,EX_lyspheile_e
45,EX_thrasntyr_e
46,ARTFR206_cho
47,ETHAPT_HDE_PALM_c
48,LPLIPAL1A120
49,CYTDH
50,RE3165C
51,BPNT
52,FAO182p_oddoddc
53,DAGAH_HDE_HDE_c
54,PLDPC_PALM_ARA_c
55,MOAT_HP
56,ACACT6r_1
57,PLDAGAT_EPA_EPA_ARA_PC_1_c
58,GLDBRAN
59,DAGK181
60,HACD5i
61,ETHAPT_HDE_GLNA_c
62,ARTFR205_cho
63,ASPTA6
64,CTBTCAL2
65,PCLAD
66,MPBQ
67,URIH
68,PLIPA2A181
69,DAGAH_MYRS_HDE_c
70,BCR6ppc
71,MMTSAO
72,HMGLB
73,EX_pap_e
74,LPEAT_OLE_DHA_sn2_c
75,DOLPMT3
76,VITEtl
77,AM6SAD
78,3HAACOAT140
79,3HOPCD
80,ADPRIBt
81,AGPATCOA_EPA_STC_c
82,ILEARGILEt
83,RHACOAR100
84,FBA
85,RHACOAR140
86,PLA2PC_STC_STC_c
87,CHOPT_LNA_LNA_c
88,NMNP
89,EX_fadh2_c
90,AGMHE
91,FBA3
92,EX_lyslyslys_e
93,DAGAH_HDE_DHA_c
94,DM_ficytb5_c
95,MAGAH2264Z7Z10Z13Z16Z19Z_c
96,GLS2e
97,ECOAH12
98,DAGK141
99,PLDAGAT_DHA_EPA_ARA_PC_8_c
100,MAGAH160
101,MCITLmc
102,GLGNS1
103,NADDPe
104,EX_ileasnhis_e
105,LPEAT_LNA_STC_sn2_c
106,PLDPC_MYRS_LNA_c
107,PLDAGAT_HDE_PALM_LNA_PC_8_c
108,EX_ahcys_e
109,EX_nad_e
110,OCHCCH
111,ETHAPT_LNA_STC_c
112,PLDAGAT_LNA_EPA_ARA_PC_8_c
113,GDPMEP_c
114,DAGAH_OLE_STC_c
115,CHOPT_MYRS_EPA_c
116,AGPATCOA_OLE_EPA_c
117,RFAC_HP
118,BSCT
119,SULO
120,MAGAH180
121,ADPRDP
122,HMR_3429
123,PLDAGAT_MYRS_EPA_ARA_PC_1_c
124,MCCC
125,CHOPT_MYRS_DHA_c
126,GTHRDH_syn
127,PLA2PC_STC_ARA_c
128,LPLIPAL2G160
129,ACOADAGAT_HDE_MYRS_LNA_c
130,CRNCAL2
131,LYSLYSLYSr
132,NPH
133,CHOPT_OLE_STC_c
134,LPEAT_PALM_EPA_sn2_c
135,PLDAGAT_HDE_EPA_EPA_PE_12_c
136,LPEAT_HDE_GLNA_sn2_c
137,DAGAH_PALM_PALM_c
138,ECOAH5_1
139,MALS
140,CHOPT_HDE_DHA_c
141,VITKtl
142,FA141ACPHi
143,PLDAGAT_MYRS_EPA_ARA_PC_3_c
144,DXTRNt
145,PLIPA2A141
146,CITACt
147,PLDAGAT_DHA_EPA_ARA_PC_1_c
148,GLYO1
149,LAAL15
150,DAGK120
151,LPCAT_STC_GLNA_sn2_c
152,PLDAGAT_PALM_PALM_LNA_PC_6_c
153,ETHAPT_PALM_DHA_c
154,ACChex
155,HEPT5
156,PPDK
157,MAGAH1819Z_c
158,LPCH1619Z_sn1_c
159,PEFLIP
160,TRPO2
161,KAT1
162,ETHAPT_OLE_STC_c
163,UDPGtnic
164,PAPA_EPA_ARA_c
165,LPEAT_HDE_ALNA_sn2_c
166,PLDPC_MYRS_MYRS_c
167,ETHAPT_MYRS_MYRS_c
168,GLCNACPT_L
169,ETHAPT_PALM_EPA_c
