,rxns_added
0,AM6SAD
1,HMR_0890nhs
2,TAG_OLE_PALM_HDEt_h
3,HMGLB
4,GPDDA4
5,GGNG
6,G3PAT1619Z_h
7,ARTCOAL1
8,HACD5i
9,3HAACOAT140
10,ARTFR206_cho
11,FBA
12,G3PT
13,LPLIPAL2G140
14,PLA2PC_PALM_PALM_c
15,G12MT1_L
16,SULO
17,PIPLCnhs
18,UDPGtnic
19,PLDPE_EPA_ARA_c
20,HMR_0906nhs
21,ETHAPT_STC_STC_c
22,PAPA18111Z1819Z
23,CHOPT_STC_STC_c
24,RTOT_2_cho
25,LYSPHEILEt
26,CTBTCAL2
27,RTOT2_cho
28,PSERT
29,G13MT_L
30,AATA
31,LYSLYSLYSr
32,HKYNH
33,HISD_c
34,ILEARGILEt
35,GLPASE1
36,ECOAH5_1
37,PLA2PC_STC_ARA_c
38,RE3273C_1nhs
39,ADPRIBt
40,HIBHr
41,R5PP
42,PEFLIP
43,AGPAT4nhs
44,MAGAH140_c
45,AMCOXO
46,CHOPT_PALM_HDE_c
47,TMNDNCCPT2
48,PSP_L
49,FACOAE80
50,DAGAH_OLE_HDE_c
51,MAGAH160
52,GLPASE2a
53,PCW3DS_HDE_ALNA_sn2_c
54,DMBZIDS
55,PAPA1819Z1819Z
56,R07456
57,MALTe
58,THRASNTYRr
59,LPCAT_DHA_EPA_sn2_c
60,LYSTYRILEt
61,PLDAGAT_LNA_EPA_ARA_PC_7_c
62,PLDAGAT_HDE_EPA_PALM_PE_10_c
63,ACChex
64,CYTDH
65,GDPGALPL_c
66,PLA2PC_OLE_STC_c
67,HMR_9640nhs
68,UPPRT
69,r1602
70,LPCAT_PALM_HDE_sn2_c
71,PAPA_HDE_HDE_h
72,GTHRDH_syn
73,CHOPT_OLE_PALM_c
74,EGLUCe
75,CLPNH180
76,KYN3OX
77,PLDAGAT_HDE_EPA_PALM_PE_9_c
78,DOLPMT4
79,H2Otu_syn
80,PLDAGAT_LNA_EPA_LNA_PC_3_c
81,SO4tl
82,PCW3DS_DHA_EPA_sn2_c
83,MI1PP
84,H2O2t
85,DAGPYP_SC
86,PLDAGAT_HDE_ARA_ARA_PC_2_c
87,EX_lystyrile_e
88,EX_cell500_e
89,EX_tag_cho_e
90,ACOADAGAT_LNA_EPA_ARA_c
91,FA100ACPHi
92,ETHAPT_PALM_HDE_c
93,TRPO2
94,GPAM_hsnhs
95,ETHAPT_OLE_STC_c
96,MMSAD1
97,TMNDNCCPT1
98,ETHAPT_MYRS_MYRS_c
99,BGAL1enhs
100,ILEASNHISr
101,LYSLYSLYSt
102,PLDPC_PALM_PALM_c
103,HMR_0859nhs
104,PLA2PC_OLE_LNA_c
105,QMO2
106,ASPTA6
107,FADH2tm
108,PAPA1801819Z
109,MALS
110,EX_sphmyln_enhs
111,NADPPPS
112,DCATDc
113,FACOAE100
114,CELASE1
115,CHOPT_MYRS_EPA_c
116,LPEAT_OLE_STC_sn2_c
117,GBA2enhs
118,ACOADH2
119,PLDAGAT_OLE_PALM_HDE_PC_5_c
120,DGDGS1819Z160
121,PLDAGAT_EPA_EPA_EPA_PC_1_c
122,HMR_0875nhs
123,LPLIPAL2G160
124,AACPDAGAT_OLE_PALM_HDE_h
125,THRASNTYRt
126,SACCD1
127,HXAt
128,LPSenhs
129,PLDPC_EPA_MYRS_c
130,BDMT_L
131,GLUCAN2abc
132,EX_lyslyslys_e
133,MEVK4
134,DOLPMT_L
135,GGGT_HDE_HDE_5_h
136,OCTAt
137,LPCAT_HDE_ALNA_sn2_c
138,CEPA
139,PLDPC_STC_STC_c
140,PLDAGAT_HDE_EPA_OLE_PC_6_c
141,HMR_6549nhs
142,GLYC3Pth
143,MGDGS_HDE_HDE_h
144,PYDXO
145,EX_adprib_e
146,ILEASNHISt
147,CDIPT18111Z160
148,MCITLmc
149,DAGK120
150,ETHAPT_PALM_PALM_c
151,PGCD
152,FBA3
153,ETHAPT_PALM_OLE_c
154,THRTHRARGr
155,PLDAGAT_HDE_ARA_ARA_PC_4_c
156,ICL
157,HMR_0889nhs
158,DIPEPabc6c
159,PLDAGAT_LNA_EPA_ARA_PC_2_c
160,EX_lyspheile_e
161,KAT5
162,ARTFR42_cho
163,PLDAGAT_HDE_EPA_OLE_PE_10_c
164,GLCNACT_L
165,LPLIPAL2G120
166,EX_thrasntyr_e
167,AASAD2
168,EX_dag_cho_e
169,CHOPT_OLE_STC_c
170,MAGAH1619Z_c
171,G16MT_L
172,PLA2PE_EPA_ARA_c
173,ETHAPT_MYRS_ALNA_c
174,PI45PLCnhs
175,DAGAH_HDE_HDE_c
176,CTBTt2rpp
177,EX_dxtrn_e
178,LPLIPAL2G181
179,HIBD
180,AKO
181,LPLIPAL2G180
182,PAPA_EPA_MYRS_c
183,EX_fadh2_c
184,3HAO
185,PLBPC_SC
186,ILEARGILEr
187,SACCD2
188,EX_tag_enhs
189,EX_ileasnhis_e
190,PLDPC_EPA_ARA_c
191,EX_ileargile_e
192,DAGAH_MYRS_PALM_c
193,GDPMEP_c
194,DNADDP
195,PIK3nhs
196,PLIPA2A181
197,2_PERIOD_4_PERIOD_1_PERIOD_141
198,TAGAH1819Z18111Z160
199,G12MT2_L
200,ECOAH2c
201,CHOPT_OLE_HDE_c
202,LYSTYRILEr
203,CRNCDH
204,GTHPe
205,HMR_3428
206,CRNCAL2
207,PCLAD
208,DAGCPT
209,DGDGS_HDE_HDE_h
210,GLYO1
211,LPLIPAL2G141
212,FAO182p_oddoddc
213,LPEAT_PALM_HDE_sn2_c
214,GLS2
215,PDYXPT_c
216,PCHOLHSTDe_1nhs
217,HMR_2722
218,LPSe_cho
219,CHOPT_PALM_PALM_c
220,SMS21enhs
221,CEPTCnhs
222,H2Othu
223,PLDAGAT_EPA_EPA_EPA_PE_9_c
224,CLPNH120
225,PLDAGAT_LNA_EPA_LNA_PC_6_c
226,DAGAH_OLE_PALM_c
227,3HAACOAT100
228,PLDAGAT_MYRS_EPA_MYRS_PC_1_c
229,GTHOXti
230,GLBRAN
231,GLYCOe
232,CELabc
233,MEVK2
234,ETHAPT_MYRS_EPA_c
235,ETHAPT_EPA_MYRS_c
236,LPEAT_EPA_MYRS_sn2_c
237,HMR_0907nhs
238,LPLIPAL2G161
239,FKYNH
240,EX_glycogen1500_e
241,PLA2PC_EPA_OLE_c
242,PI4P5Knhs
243,DAGAH_PALM_OLE_c
244,BDMT
245,FAO181p_oddc
246,DAGK181
247,ACOAD5_1
248,CHOPT_MYRS_MYRS_c
249,PLDAGAT_HDE_ARA_ARA_PC_8_c
250,PLD_SC
251,CYSLY3
252,DOLPMT3
253,GLDBRAN
254,DBRC
255,GLCNACPT_L
256,LPCH1819Z_sn1_c
257,PLDAGAT_MYRS_EPA_MYRS_PC_6_c
258,AGPATACP_HDE_HDE_h
259,GLS2e
260,ARTPLM1
261,G3PAT180_1
262,LAAL15
263,DXTRNt
264,MAGAH1819Z_c
265,PI4P3Knhs
266,PLIPA2A141
267,RHACOAR100
268,ADPRDP
269,3HAD40_2
270,EX_glucan1500_e
271,PPDK
272,DAGK141
273,HEXCOAACBP
274,LYSPHEILEr
275,GLGNS1
276,ETHAPT_MYRS_PALM_c
