,rxns_added
0,LPEAT_DHA_ALNA_sn2_c
1,ARTFR205_cho
2,PLDPC_STC_ARA_c
3,GMPt6
4,PLA2PC_DHA_OLE_c
5,SACCD1
6,PLDPE_OLE_MYRS_c
7,MMCD
8,CHOPT_DHA_OLE_c
9,DHPR
10,NTPTP2
11,PLA2PE_OLE_MYRS_c
12,PDYXPT_c
13,ETHAPT_DHA_OLE_c
14,PLDAGAT_LNA_EPA_ARA_PC_8_c
15,LYSTYRILEt
16,NADPHtmt
17,PLA2PA_EPA_DHA_c
18,ACChex
19,MALCOAMT
20,ETHAPT
21,DAGAH_EPA_DHA_c
22,PLDAGAT_MYRS_EPA_LNA_PC_4_c
23,GLYO1
24,PLDPC_LNA_PALM_c
25,ETHAPT_PALM_DHA_c
26,PLDPC_DHA_ALNA_c
27,LPEH1619Z_sn1_c
28,RHACOAR120
29,ASPTA6
30,ENTERGLCT2
31,ACOADH2
32,DAGAH_MYRS_OLE_c
33,PAPA_EPA_DHA_c
34,SALCHS4FER1
35,CHOLtu
36,R07456
37,PLDAGAT_MYRS_EPA_ARA_PE_12_c
38,PHTHDLS2
39,FEROc
40,LPCAT_OLE_MYRS_sn2_c
41,FADH2tm
42,PLDPE_DHA_GLNA_c
43,HCO3E
44,CHOPT_MYRS_OLE_c
45,PCADYOX
46,PCW3DS_HDE_EPA_sn2_c
47,CITt2r
48,ETHAPT_PALM_PALM_c
49,CHOPT_HDE_EPA_c
50,PLDAGAT_EPA_EPA_ARA_PC_4_c
51,LPCH1819Z_sn1_c
52,ETHAPT_EPA_EPA_c
53,OXOAEL
54,LPEAT_PALM_STC_sn2_c
55,GMPR
56,RTOT2_cho
57,CHOPT_EPA_DHA_c
58,DAGAH_DHA_OLE_c
59,LPCAT_LNA_OLE_sn2_c
60,FAO181p_oddc
61,ICL
62,TRPO2
63,EX_enter_e
64,PCW3DS_DHA_STA_sn2_c
65,PLIPA2A181
66,EX_ileargile_e
67,PCW3DS_STC_ALNA_sn2_c
68,PLDPE_STC_ALNA_c
69,PLDAGAT_HDE_HDE_HDE_PC_3_c
70,PAPA181_9
71,CHOPT_PALM_DHA_c
72,GPDDA4
73,NADPtmt
74,ETHAPT_MYRS_LNA_c
75,PLDAGAT_HDE_EPA_OLE_PC_1_c
76,RHACOAR60
77,LPCAT_MYRS_EPA_sn2_c
78,PYR5CDmc
79,ECOAH12
80,VALTA
81,UREA
82,FACOAE60
83,CHOPT_HDE_HDE_c
84,HMR_2380
85,LPEAT_HDE_EPA_sn2_c
86,ACOADAGAT_PALM_HDE_PALM_c
87,DAGAH_EPA_ARA_c
88,PLDAGAT_PALM_EPA_ARA_PC_1_c
89,GTHRDt2
90,AASAD2
91,3HAACOAT120
92,KYN3OX
93,PLA2PC_EPA_LNA_c
94,ETHAPT_MYRS_MYRS_c
95,CYSLY3
96,4HBHYOX
97,GTHRDH_syn
98,ETHAPT_STC_STC_c
99,PLDPE_STC_ARA_c
100,DMBZIDS
101,PLDAGAT_MYRS_EPA_LNA_PE_9_c
102,DB4PS
103,ILEARGILEt
104,PCLAD
105,PLDPC_STC_ALNA_c
106,ENTERGLCT1
107,PREPPACPH
108,CYTD
109,PAPA_MYRS_EPA_c
110,ACOAD2
111,DAGAH_MYRS_LNA_c
112,FEENTER2tppc
113,PCD6DS_DHA_STA_sn2_c
114,FKYNH
115,AGPATCOA_EPA_EPA_c
116,PCD12DS_LNA_PALM_sn1_c
117,3HAACOAT60
118,PAPA18111Z1819Z
119,PLDAGAT_EPA_EPA_ARA_PC_8_c
120,EX_salchs4fe_e
121,SALCHS4FEabcppc
122,CHOPT_STC_STC_c
123,G3PAT180_1
124,EX_metmetile_e
125,HMR_0378
126,HIBHc
127,LPEH1819Z_sn1_c
128,AATA
129,4CMLCL_kt
130,LPCAT_DHA_LNA_sn2_c
131,NNDPR
132,PLDAGAT_HDE_PALM_EPA_PE_9_c
133,PLDAGAT_DHA_EPA_ARA_PC_4_c
134,PLDAGAT_PALM_HDE_PALM_PC_5_c
135,AGPATCOA_MYRS_EPA_c
136,CHOPT_EPA_EPA_c
137,EX_lyslyslys_e
138,LPEH2055Z8Z11Z14Z17Z_sn1_c
139,PEFLIP
140,PLDPE_OLE_OLE_c
141,ETHAPT_LNA_PALM_c
142,DAGK120
143,PAPA_LNA_PALM_c
144,CO2t
145,PLDAGAT_LNA_EPA_ARA_PC_3_c
146,DCTCP
147,PLDAGAT_HDE_PALM_EPA_PE_14_c
148,PLDAGAT_DHA_EPA_ARA_PC_1_c
149,PLDPC_EPA_ALNA_c
150,LPCH2055Z8Z11Z14Z17Z_sn1_c
151,ARTCOAL1
152,UDPGtnic
153,PLDAGAT_HDE_EPA_OLE_PE_15_c
154,PLDPE_MYRS_EPA_c
155,HMGLB
156,ETHAPT_DHA_ALNA_c
157,DAGK141
158,PHETHPTOX
159,PHTHS2
160,MMTSAO
161,LPLIPAL1A140
162,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
163,3OADPCOAT
164,LYSTYRILEr
165,QMO2
166,FACOAL205
167,LPLIPAL2G141
168,QUILSYN
169,PSERT
170,MCITLmc
171,SULO
172,PLA2PE_PALM_DHA_c
173,FASPHDCA
174,LYSLYSLYSr
175,HKYNH
176,CHOPT_MYRS_EPA_c
177,PLDPE_EPA_ALNA_c
178,EX_fadh2_c
179,LPEAT_STC_ALNA_sn2_c
180,HISD_c
181,ETHAPT_HDE_EPA_c
182,PCW3DS_MYRS_EPA_sn2_c
183,PLA2PC_STC_ARA_c
184,PAPA_OLE_MYRS_c
185,AMCOXO
186,FAO141p_oddc
187,DAGK181
188,PLDAGAT_LNA_EPA_GLNA_PE_16_c
189,MALS
190,ACOADAGAT_PALM_EPA_ARA_c
191,ACOADAGAT_HDE_HDE_HDE_c
