,rxns_added
0,CLPNH161
1,GLGNS1
2,HMR_6782
3,GMPt6
4,EX_phdca_e
5,PINOS
6,SK_trnagln_c
7,SACCD1
8,FASm240
9,TMPK
10,DHPR
11,GLPASE2a
12,SK_trnacys_c
13,PDYXPT_c
14,PIPLC
15,FADDP
16,PPK2
17,LYSTYRILEt
18,PROt2r
19,ACChex
20,CHOPT_MYRS_MYRS_c
21,NADPt2_c
22,GLYO1
23,4HBZCOAFm
24,SK_trnatrp_c
25,SK_trnaglu_c
26,SK_trdrd_c
27,FACOAE80
28,DAGCPT
29,MTHFC
30,ASPTA6
31,OCTDPtmt
32,ACOADH2
33,RPPDIMAS
34,R07456
35,PHTHDLS2
36,SK_trnaleu_c
37,FRUt1r
38,FADH2tm
39,CHOPT_PALM_PALM_c
40,HCO3E
41,MI1PP
42,CITt2r
43,SK_trnaala_c
44,GLDBRAN
45,FASm220
46,SPRMt2i
47,CO2tmt
48,HBZOPTm
49,GMPR
50,PHDCAt
51,CLPNH181
52,FAO181p_oddc
53,ICL
54,TRPO2
55,O2tm
56,FACOAL200
57,RTOT_2nhs
58,EX_ileargile_e
59,HIBD
60,METHFtxc
61,GPDDA4
62,OPHHXm
63,ARTFR42_cho
64,EX_thmmp_e
65,PYR5CDmc
66,ECOAH12
67,UREA
68,FACOAE60
69,GTHRDt2
70,PGLc
71,AASAD2
72,KYN3OX
73,RBK
74,SK_trnaile_c
75,ASAPTc
76,VALDHr
77,CYSLY3
78,GTHRDH_syn
79,RRPPDIMAS
80,CLPNH160
81,ILEARGILEt
82,SK_trnaval_c
83,PCLAD
84,CLPNH120
85,OPHBDCm
86,PHEMEtm
87,ARTFR206_cho
88,PREPPACPH
89,FTHFLi
90,EX_sprm_e
91,SK_trnalys_c
92,THMMPt4_1
93,FKYNH
94,T4HCINNMFM
95,SK_trnapro_c
96,FAO80pc
97,LPLIPAL2A120
98,NCPA_c
99,FASm280
100,CHSTEROLt3
101,FACOALPHDCA
102,EX_metmetile_e
103,G1P_pi_th
104,3HBCOAHL
105,PPDIMAS
106,GGNG
107,GLPASE1
108,AATA
109,NNDPR
110,EX_lyslyslys_e
111,LPLIPAL2G140
112,CO2t
113,SK_trnamet_c
114,ARTFR42nhs
115,RTOT_2_cho
116,NADK1
117,ARTCOAL1
118,UDPGtnic
119,HMGLB
120,SK_trnaasn_c
121,DAGK141
122,4HBZFm
123,PHTHS2
124,PHETHPTOX
125,MMSAD1
126,RTOT2nhs
127,FACOAE120
128,LYSTYRILEr
129,QMO2
130,FRRPPDIMAS
131,34HPLtm
132,LPLIPAL2G141
133,QUILSYN
134,PSERT
135,MCITLmc
136,SULO
137,CLPNH140
138,LYSLYSLYSr
139,HKYNH
140,EX_fadh2_c
141,AGMDA
142,ACP1_FMN
143,SK_trnathr_c
144,ARACHTA
145,SK_trnaasp_c
146,AMCOXO
147,SK_trnaarg_c
148,FAO141p_oddc
149,COUCOAFm
150,PTD1INOt
151,MALS
152,PHDCATA
153,PREPTHS2
154,SK_trnahis_c
155,SK_trnaser_c
156,ARTFR206nhs
157,EX_ptd1ino_e
158,METMETILEr
159,ILEARGILEr
160,FA80ACPHi
161,SK_trnagly_c
162,LYSLYSLYSt
163,FBA
164,3HAO
165,CLPNH180
166,SK_trnatyr_c
167,AKO
168,DIPEPabc6c
169,PSP_L
170,FASm260
171,FACOAE100
172,AM6SAD
173,PLDPC_MYRS_MYRS_c
174,EX_lystyrile_e
175,SK_trnaphe_c
176,FASC200ACP
177,PYDXO
178,METMETILEt
179,DXTRNt
180,PGCD
181,GLBRAN
182,SACCD2
183,LAAL15
184,HISD_c
185,SPR
186,VALTA
