,rxns_added
0,NNDPR
1,ETHAPT_DHA_EPA_c
2,MOTS2
3,BPNT
4,CHSTEROLt3
5,CHOPT_EPA_DHA_c
6,EX_lystyrile_e
7,EX_ileargile_e
8,HACD5i
9,H2Othu
10,PAPA_HDE_GLNA_c
11,ECOAH11pc
12,G3PAT1819Z_h
13,RHACOAR140
14,G3PAT180_1
15,PLDAGAT_PALM_EPA_ARA_PC_4_c
16,PLDAGAT_MYRS_EPA_EPA_PC_8_c
17,PLDPE_EPA_LNA_c
18,PAPA1819Z1819Z
19,ACACT2c
20,ETHAPT_OLE_ALNA_c
21,DESAT20_1
22,AGPATCOA_HDE_DHA_c
23,ETHAPT_PALM_ALNA_c
24,ETHAPT_OLE_EPA_c
25,PLBPC_SC
26,PI35P3P_cho
27,PI4P4Pn_cho
28,LPCAT_HDE_EPA_sn2_c
29,PAPA_EPA_MYRS_c
30,PLA2PC_LNA_ARA_c
31,HKYNH
32,FDMO4
33,MALS
34,PLDAGAT_PALM_EPA_LNA_PC_6_c
35,CFAS180
36,MALTTRabc
37,PAPA_PALM_ALNA_c
38,ECOAH3_1c
39,PI4P3K_cho
40,PYDXO
41,H2Otu_syn
42,PLA2PE_OLE_LNA_c
43,ACOADH2
44,DAGAH1819Z18111Z
45,ETHAPT
46,PAPA1819Z160h
47,PLDAGAT_HDE_PALM_PALM_PE_10_c
48,GLDBRAN
49,GLPASE2
50,PLA2PA_EPA_HDE_c
51,PLDAGAT_EPA_EPA_PALM_PE_11_c
52,PAPA_HDE_DHA_c
53,ECOAH5_1
54,PLDAGAT_HDE_EPA_ARA_PC_5_c
55,ACACT9pc
56,ETHAPT_HDE_GLNA_c
57,CLPNH180
58,RE0935C
59,PCD6DS_PALM_GLNA_sn2_c
60,DAGAH_PALM_OLE_c
61,CHOPT_HDE_PALM_c
62,PLA2PA_EPA_STC_c
63,EX_lyslyslys_e
64,PGCD
65,PLDPC_PALM_ARA_c
66,PIP3P_LNA_HDE_c
67,ETHAPT_PALM_GLNA_c
68,PIP4K_EPA_HDE_c
69,ILEARGILEr
70,SQDGS_HDE_HDE_h
71,ICL
72,PAPA_LNA_HDE_c
73,PLA2PE_LNA_ALNA_c
74,GGGT_EPA_HDE_17_h
75,MMSDHir
76,PI34P3Pn_cho
77,PLDPC_OLE_ALNA_c
78,PSP_L
79,PGLc
80,LPEAT_HDE_GLNA_sn2_c
81,PPDK
82,FACOAL240pc
83,PCW3DS_HDE_EPA_sn2_c
84,PLA2PC_EPA_STC_c
85,ILEARGILEt
86,ETHAPT_OLE_LNA_c
87,PLDAGAT_MYRS_EPA_EPA_PE_14_c
88,ADATT
89,CHOPT_OLE_PALM_c
90,PULLe
91,PAPA_DHA_EPA_c
92,PAPA_HDE_HDE_h
93,ETHAPT_EPA_DHA_c
94,PSERT
95,HMR_0657nhs
96,G1P_pi_th
97,TRE6PSP_c
98,LPCAT_LNA_ALNA_sn2_c
99,PLDPC_EPA_LNA_c
100,PLA2PC_DHA_ARA_c
101,HACD10pc
102,DAGAH_OLE_LNA_c
103,A1E
104,PIP5P_LNA_HDE_c
105,LPEAT_DHA_EPA_sn2_c
106,GLBRAN
107,DAGAH_DHA_DHA_c
108,PLDPE_EPA_EPA_c
109,CEPTEnhs
110,CLPNH140
111,CHOPT_MYRS_MYRS_c
112,ETHAPT_HDE_DHA_c
113,AATHB
114,PAPA_OLE_ALNA_c
115,PCW3DS_OLE_ALNA_sn2_c
116,ADPRIBt
117,HMGLB
118,PIPLC_EPA_HDE_c
119,NADDP
120,3HAACOAT100
121,SULO
122,PLDAGAT_HDE_PALM_LNA_PC_2_c
123,LYSTYRILEt
124,FABM2
125,3HAACOAT140
126,PLA2PC_STC_STC_c
127,CYSLY3
128,ARTPLM1
129,PLDAGAT_EPA_EPA_PALM_PC_4_c
130,NADPPPS
131,CYRDAR2
132,LPCH2055Z8Z11Z14Z17Z_sn1_c
133,AKGt2n
134,HACOADr
135,PLA2PE_DHA_DHA_c
136,BTCOARx
137,PIP3P_EPA_HDE_c
138,PAPA_PALM_ARA_c
139,2MCITtm
140,FAO141p_oddc
141,PLDAGAT_MYRS_EPA_DHA_PE_13_c
142,ETHAPT_PALM_PALM_c
143,HISD_c
144,GLPASE1
145,HMR_0410
146,GAT1_LLA
147,3HAACOAT80
148,LPCAT_EPA_ALNA_sn2_c
149,PAPA1801819Z
150,ETHAPT_HDE_ALNA_c
151,PLDPC_MYRS_MYRS_c
152,PLA2PC_LNA_EPA_c
153,PLIPA2A181
154,RHACOAR80
155,LAAL15
156,PI34P5Kn_cho
157,ACOAR5mc
158,PLDAGAT_PALM_EPA_DHA_PE_13_c
159,ACOADAGAT_LNA_EPA_GLNA_c
160,MALCOAMT
161,ETHAPT_DHA_DHA_c
162,DXTRNt
163,PLDAGAT_MYRS_EPA_LNA_PC_3_c
164,ETHAPT_HDE_PALM_c
165,LPCH1819Z_sn1_c
166,PIP4K_LNA_HDE_c
167,LYSLYSLYSt
168,PLDAGAT_MYRS_EPA_LNA_PE_14_c
169,PIK4_cho
170,AGAT_LLA
171,PLA2PE_EPA_HDE_c
172,ACACT3c
173,CYRDAR
174,GGGT_EPA_HDDE_4_h
175,PLDAGAT_PALM_EPA_DHA_PC_6_c
176,EX_thrthrarg_e
177,GLCBRAN3
178,PLDPC_PALM_ALNA_c
179,PI4P5K_EPA_HDE_c
180,ARGt2r
181,PI345P5P_cho
182,CEPTCnhs
183,LYSLYSLYSr
184,ACOAD5_1
185,ETHAPT_LNA_LNA_c
186,LPCH160_sn1_c
187,GGNG
188,EX_dxtrn_e
189,ETHAPT_PALM_ARA_c
190,CHOPT_EPA_EPA_c
191,DAGK120
192,GLCS2
193,PAIL_CHOtn
194,ASPTA6
195,PAPA_HDE_ALNA_c
196,PLDAGAT_HDE_PALM_LNA_PE_13_c
197,CHOPT_OLE_EPA_c
198,FAEL183_cho
199,HMR_0654
200,PLIPA2A180
201,KYN3OX
202,LPEAT_OLE_ALNA_sn2_c
203,PAPA_HDE_ARA_c
204,DAGCPT
205,CHOPT_STC_STC_c
206,MGDGS_OLE_HDDE_h
207,PLDPC_LNA_HDE_c
208,AAMYL
209,LPCAT_LNA_GLNA_sn2_c
210,CHOPT_STC_OLE_c
211,NMNP
212,DAGPYP_SC
213,PCW3DS_PALM_ALNA_sn2_c
214,PEFLIP
215,FBA3
216,NMNt7
217,PLA2PC_OLE_ARA_c
218,GLGC
219,PIPLC_LNA_HDE_c
220,LPEAT_HDE_ALNA_sn2_c
221,HACD3
222,PCW3DS_HDE_ALNA_sn2_c
223,PROt2r
224,PLDAGAT_HDE_PALM_PALM_PC_4_c
225,SQDGS_EPA_HDE_h
226,FAO181p_oddc
227,HIBHr
228,DAGK181
229,RHACOAR120
230,PCW3DS_OLE_EPA_sn2_c
231,PLDPC_HDE_ARA_c
232,PLDPC_HDE_GLNA_c
233,PLDAGAT_MYRS_EPA_ARA_PC_6_c
234,AGPATACP_HDE_HDE_h
235,LPCH1619Z_sn1_c
236,DGDGS_EPA_HDE_h
237,3HAACOAT60
238,EX_adprib_e
239,PLDAGAT_HDE_PALM_LNA_PC_8_c
240,CITt2r
241,GLGNS1
242,ADPRDP
243,CHOPT_LNA_LNA_c
244,DMBZIDS
245,G3PAT1619Z_h
246,PLDPC_DHA_EPA_c
247,DBRC
248,FKYNH
249,ETHAPT_STC_STC_c
250,MOTH2
251,PI45P3K_cho
252,LYSTYRILEr
253,AGPAT1819Z160h
254,PLA2PC_OLE_LNA_c
255,HMR_0653nhs
256,HMR_0378
257,MCITLmc
258,PLA2PC_DHA_LNA_c
259,PLA2PC_STC_PALM_c
260,GLPASE2a
261,RHACOAR60
262,QUILSYN
263,PCW3DS_DHA_EPA_sn2_c
264,TRPO2
265,PCW3DS_LNA_ALNA_sn2_c
266,ACChex
267,PLD_SC
268,ACACT6r_1
269,PLDAGAT_PALM_EPA_ARA_PC_2_c
270,PCD6DS_HDE_GLNA_sn2_c
271,METyLATthc
272,PI45P4P_cho
273,PLDAGAT_EPA_EPA_LNA_PE_15_c
274,CHOPT_EPA_HDE_c
275,DGDGS1819Z160
276,THRTHRARGr
