,rxns_added
0,NH4t
1,PCLAD
2,SK_trnagln_c
3,LPLIPAL2G160
4,LYSTYRILEr
5,GGNG
6,GLCt1
7,r0853
8,SK_trnagly_c
9,OPHBDCm
10,UDPGtnic
11,AASAD2
12,SK_trnaile_c
13,CO2tmt
14,FACOAE120
15,DB4PS
16,NNDPR
17,FADDP
18,CLPNH140
19,LYSPHEILEr
20,SK_trnaval_c
21,r1636
22,SK_trnalys_c
23,EX_fadh2_c
24,PGCD
25,MI1PP
26,SK_trnaasn_c
27,R07456
28,NCNt
29,FTHFLi
30,PIPLC
31,DCTPD
32,DGTCY
33,DAPDC
34,ACOAR7mc
35,OCTDPtmt
36,GMPt6
37,GTHRDt2
38,T4HCINNMFM
39,SK_trnapro_c
40,ILEARGILEt
41,SK_trnaarg_c
42,SK_trnatyr_c
43,TRPO2
44,SACCD1
45,COUCOAFm
46,CYSLY3
47,ACP1_FMN
48,NPDPS
49,AKO
50,PDYXPT_c
51,HMR_4957
52,CLPNH120
53,UREA
54,ICL
55,FACOAE180
56,PHEMEtm
57,LYSTYRILEt
58,3HAO
59,ACCOAtm_1
60,EX_lystyrile_e
61,SK_trnaala_c
62,FACOAE141
63,SK_trnaser_c
64,ILEARGILEr
65,HIBDkt
66,AM6SAD
67,SK_trnatrp_c
68,LPLIPAL2G141
69,RBK
70,EX_ileargile_e
71,FKYNH
72,FACOAE100
73,G3PT
74,GLBRAN
75,PTD1INOt
76,GLDBRAN
77,34HPLtm
78,PINOS
79,HMR_6782
80,PS_asn__L_c
81,GTHRDH_syn
82,LPLIPAL2G181
83,ACOADH2
84,SULR_1
85,SK_trnahis_c
86,4HBZCOAFm
87,34HPPt2m
88,GMPR
89,VALTA
90,RIBFSc
91,SK_trdrd_c
92,O2tm
93,SK_trnaglu_c
94,G3PAT160_1
95,MCITLmc
96,CLPNH181
97,HISD_c
98,PSP_L
99,34HPLFM
100,SK_trnathr_c
101,GLPASE2
102,G3PAT140_c
103,LPLIPAL2G180
104,OPHHXm
105,EX_thmmp_e
106,HKYNH
107,PSERT
108,LPLIPAL2G120
109,HBZOPTm
110,HMGLB
111,PPDK
112,SK_trnaasp_c
113,METHFtxc
114,SK_trnamet_c
115,OAAtmt
116,MI3PP
117,r1924
118,FUMtm
119,LALGP
120,ASNTYRTHRt
121,NTRIR3ppc
122,GLYTA
123,KYN3OX
124,QUILSYN
125,TMPK
126,RBFSa
127,SK_trnacys_c
128,ALAGLUE
129,EX_lyspheile_e
130,EX_asntyrthr_e
131,4HBZFm
132,SO4tl
133,PYDXO
134,SACCD2
135,NADK
136,GLPASE1
137,CLPNH160
138,AATA
139,AGPATCOA_MYRS_MYRS_c
140,LADGMDH
141,GLGNS1
142,SK_trnaleu_c
143,ASPTA6
144,SK_trnaphe_c
145,CLPNH180
146,THMMPt4_1
147,FACOAE80
148,ACITL
149,LYSPHEILEt
150,AGPATCOA_PALM_PALM_c
151,AMCOXO
152,LPLIPAL2G140
153,HIBHr
154,FACOAE60
155,ASNTYRTHRr
156,PGLc
157,EX_ptd1ino_e
158,MMTSAO
159,ARTCOAL1
