,rxns_added
0,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
1,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
2,MET_SLV: 5mtr1p_c --> met__L_c
3,PI45PLC_18_0_18_0: h2o_c + pail45p_hs_18_0_18_0_c --> dag_hs_18_0_18_0_c + h_c + mi145p_c
4,DAGAH_DHA_ARA_c: 12dgr226n3204n6_c + h2o_c --> arachd_c + h_c + mag226n3_c
5,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
6,C226CPT1: c226coa_c + crn_c --> c226crn_c + coa_c
7,DAGK_PALM_GLNA_c: 12dgr160183n6_c + atp_c --> adp_c + h_c + pa160183n6_c
8,PI45PLC_18_0_18_2: h2o_c + pail45p_hs_18_0_18_2_c --> dag_hs_18_0_18_2_c + h_c + mi145p_c
9,C226CRNt: c226crn_c --> c226crn_m
10,PLDAGAT_MYRS_EPA_EPA_PE_10_c: 12dgr140205n3_c + pe160205n3_c --> 1agpe160_c + tag140205n3205n3_c
11,PAPA_PALM_HDE_c: h2o_c + pa1601619Z_c --> 12dgr1601619Z_c + pi_c
12,PLDPC_PALM_HDE_c: h2o_c + pc1601619Z_c --> chol_c + h_c + pa1601619Z_c
13,APRAUR: 5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
14,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
15,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
16,DAGAH_MYRS_GLNA_c: 12dgr140183n6_c + h2o_c --> h_c + lnlncg_c + mag140_c
17,PTHPS2: ahdt_c --> 6hmhpt_c + pppi_c
18,APG3PAT160: glyc3p_c + hdcap_c --> 1hdecg3p_c + h_c + pi_c
19,LPS2_18_0_18_2: dag_hs_18_0_18_2_c + h2o_c --> h_c + lnlc_c + mag_hs_18_0_c
20,PLA2PC_PALM_HDE_c: h2o_c + pc1601619Z_c --> 1agpc160_c + h_c + hdcea_c
21,C226CPT2: c226crn_m + coa_m --> c226coa_m + crn_m
22,PLDAGAT_MYRS_EPA_EPA_PE_9_c: 12dgr140205n3_c + pe140205n3_c --> 1agpe140_c + tag140205n3205n3_c
23,DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c
24,FACOAL226: atp_c + coa_c + crvnc_c --> amp_c + c226coa_c + ppi_c
25,CO2tmt: co2_m <=> co2_c
26,4HBZtm: 4hbz_c --> 4hbz_m
27,OCTDPtmt: octdp_m <=> octdp_c
28,ETHAPT_MYRS_EPA_c: 12dgr140205n3_c + cdpea_c --> cmp_c + h_c + pe140205n3_c
29,ETHAPT_PALM_EPA_c: 12dgr160205n3_c + cdpea_c --> cmp_c + h_c + pe160205n3_c
30,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
31,PHEMEtm: pheme_m <=> pheme_c
32,DAGAH_PALM_GLNA_c: 12dgr160183n6_c + h2o_c --> h_c + lnlncg_c + mag160_c
33,LPS2_18_1_20_4: dag_hs_18_1_20_4_c + h2o_c --> arachd_c + h_c + mag_hs_18_1_c
34,FAOXC226: c226coa_m + 10.0 coa_m + 4.0 fad_m + 10.0 h2o_m + 10.0 nad_m --> 11.0 accoa_m + 4.0 fadh2_m + 10.0 h_m + 10.0 nadh_m
35,DAGAH_DHA_GLNA_c: 12dgr226n3183n6_c + h2o_c --> h_c + lnlncg_c + mag226n3_c
36,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
37,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
38,FAOXC16180m: 4.0 coa_m + 3.0 fad_m + 4.0 h2o_m + hdcoa_m + 4.0 nad_m --> 4.0 accoa_m + 3.0 fadh2_m + 4.0 h_m + 4.0 nadh_m + occoa_m
39,DAGAH_STC_STC_c: 12dgr180_c + h2o_c --> h_c + mag180_c + ocdca_c
40,DAGAH_STC_PALM_c: 12dgr180160_c + h2o_c --> h_c + hdca_c + mag180_c
41,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
42,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
43,FAOXC80: 3.0 coa_m + 3.0 fad_m + 3.0 h2o_m + 3.0 nad_m + occoa_m --> 4.0 accoa_m + 3.0 fadh2_m + 3.0 h_m + 3.0 nadh_m
44,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
45,PI45PLC_18_1_20_4: h2o_c + pail45p_hs_18_1_20_4_c --> dag_hs_18_1_20_4_c + h_c + mi145p_c
46,PIPLC_PALM_HDE_c: h2o_c + pail45p1601619Z_c --> 12dgr1601619Z_c + h_c + mi145p_c
