,rxns_added
0,CYSLEUTHRt
1,PGPP182_9_12
2,U23GAAT_HP
3,PLA2PE_LNA_ALNA_c
4,AGPATCOA_PALM_HDE_c
5,SACCD2
6,ALLTAMH
7,UAGDP2
8,FACOAE120
9,OPHBDC
10,PE224_HStenhs
11,PLA2PC_LNA_HDE_c
12,ETHAPT_EPA_DHA_c
13,GPDDA3
14,ME2m
15,APG3PAT181
16,ECOAR
17,r2420
18,PLA2PE_STC_OLE_c
19,VPAMTr
20,PAPA_PALM_EPA_c
21,KAS15
22,PLDPC_EPA_ALNA_c
23,HOPNTAL
24,NDH_1
25,VALLEUPHEr
26,APH161
27,PAPA_OLE_LNA_c
28,ALOX12
29,ARTFR13_cho
30,r0819
31,ASNTYRTHRt
32,ETHAPT_MYRS_MYRS_c
33,ACOAR2mc
34,ENTERGLCT1
35,G3PAT1619Z_c
36,CHOPT_OLE_HDE_c
37,C120SN
38,ACACT5r
39,PGPP_cho
40,FAS160
41,ETHAPT_PALM_PALM_c
42,INSTt2
43,NTD9
44,ASNTYRTHRr
45,HMR_0848nhs
46,GTHOr
47,VNDH_2
48,UPPRT
49,SQD2_184_6_9_12_15
50,ASNASNARGr
51,NADH6
52,EX_5fthf_e
53,HMR_0859nhs
54,NADHNQRc
55,CITCIb
56,AGTi
57,KAT7
58,FUMtmt
59,ETHAPT_DHA_LNA_c
60,FAS80_L
61,FDMO2
62,lipid3
63,r2374
64,IZPN_1
65,GluForTx
66,PIPLC_cho
67,MFAPS_SC
68,LPEAT_LNA_STC_sn2_c
69,PLPSA21801819Z
70,PLDPC_MYRS_ALNA_c
71,ETHAPT
72,DHCINDO_1
73,ICDHym
74,HMR_9726
75,KAT2
76,FACOAE181
77,DASYN181
78,ATPtmt
79,ETHAAL
80,KARI_23dhmbc
81,COCOAHA
82,OPHHX
83,EX_ileprolys_e
84,CEPTEnhs
85,CMPN
86,RNDR3b
87,4HPRO_LTtm
88,ACOADAGAT_PALM_PALM_LNA_c
89,GLPASE2a
90,DCTPD2
91,FCYTOB5OXR_c
92,PAPA1801819Z
93,PI4P5K_LNA_PALM_c
94,EX_pheasnmet_e
95,FATP1t
96,GLS2e
97,PHAPC60
98,UDPGtnic
99,FATP2t
100,PE224_HSPLA2nhs
101,CITCIa
102,ETHAPT_LNA_ARA_c
103,FDH6pp
104,PLA2PE_MYRS_OLE_c
105,CHOPT_STC_STC_c
106,G3PAT141
107,GMPt6
108,ERTHMMOR
109,CHOPT_MYRS_OLE_c
110,PLDAGAT_HDE_EPA_LNA_PE_12_c
111,3HAD180
112,AGPATCOA_MYRS_OLE_c
113,RNDR2b
114,PAPA184_6_9_12_15
115,2S6HCCi
116,PLDAGAT_PALM_EPA_LNA_PC_7_c
117,GTHRDH_syn
118,XAND
119,RNF
120,ACPpds
121,ACPS
122,HPROym
123,DAGK181
124,PAPA161
125,LYSLYSLYSr
126,PIPLC_LNA_PALM_c
127,RNTR3c
128,ETHAPT_MYRS_ALNA_c
129,HMR_2359
130,pe_prod6
131,VALLEUPHEt
132,PSSA181
133,G3PAT120
134,ATPtm_H
135,PPAPnhs
136,FAS100
137,CDIPTr_cho
138,lipid5
139,lipid1
140,NNATr
141,PLA2PE_LNA_ARA_c
142,BTCOARx
143,GPAM_hsnhs
144,DPHAPC80
145,CITt2r
146,LPCAT_EPA_ALNA_sn2_c
147,DAGAH_DHA_DHA_c
148,NPHS
149,HMR_0849nhs
150,PLIPA2E141
151,MI14P4P
152,EX_lystyrile_e
153,r2386
154,1AGPEAT1819Z1829Z12Z
155,MAL_na_tm
156,BZALDH
157,DPHAPC120
158,AMCOXO
159,HMR_0827nhs
160,PROAKGOX1
161,12HARACHDte
162,FA141ACPHi
163,GLU4ABUTtmi
164,KARI_3hmoac
165,PLDPE_HDE_HDE_c
166,ARTFR11_cho
167,PLIPA2A161
168,ICL_1
169,GPDDA1
170,NADPPPS
171,PLDAGAT_PALM_PALM_LNA_PE_14_c
172,EX_ileargile_e
173,FA120ACPHi
174,PLA2PE_LNA_HDE_c
175,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
176,PCHOLHSTDe
177,LPCAT_OLE_HDE_sn2_c
178,CLOHtex2_1
179,ILEARGILEt
180,PLDAGAT_MYRS_EPA_LNA_PE_12_c
181,ACOAD3
182,HBZOPT
183,ARTFR43_cho
184,HMR_2281
185,AGPAT120
186,ASPTA6
187,g3ps_t
188,OP4ENH
189,EX_asnasnarg_e
190,PAPA140
191,DM_dttp_m
192,NADS1
193,HMR_0909
194,PGPPT_cho
195,ASPGLUm
196,CITMS
197,PAPA_MYRS_ALNA_c
198,PAPA160
199,PLD_SC
200,ILEt_m
201,AM6SAD
202,PLDAGAT_HDE_HDE_LNA_PC_3_c
203,PPM
204,GLDBRAN
205,pe_prod10
206,ACACT3c
207,DM_ficytb5_c
208,EX_dxtrn_e
209,EX_ribflv_e
210,PAPA_PALM_HDE_c
211,ILEPROLYSt
212,SQD1
213,PPPGO3
214,CBFC2pp
215,HMR_2495
216,EX_leuleutrp_e
217,TALA
218,DDPGAm
219,PLA2PC_PALM_ARA_c
220,pe_prod7
221,NEU24nhs
222,METGL
223,pe_prod12
224,ACP1_FMN
225,AASAD1
226,PLDPC_EPA_LNA_c
227,MDHm
228,G3PD2m
229,NNDPR
230,DAGK141
231,RNTR2c
232,GLBRAN
233,LPADSS_HP
234,PLA2_2_cho
235,ETHAPT_PALM_HDE_c
236,CHOPT_DHA_DHA_c
237,PLA2PE_OLE_LNA_c
238,AATA
239,DASYN184_6_9_12_15
240,DAGAH_DHA_HDE_c
241,PAPA_EPA_LNA_c
242,HMR_0816nhs
243,PLDPC_LNA_STC_c
244,EHGLAT2m
