,rxns_added
0,LYSLYSLYSt
1,SERLYSHISr
2,MI14P4P
3,FAOXC183806m
4,LPCAT_HDE_DGLA_sn2_c
5,METHFtm
6,HACD3
7,DAGCPT
8,FBA3
9,PGPP182_9_12
10,EX_ileasnhis_e
11,PCW3DS_HDE_ETA_sn2_c
12,PCD6DS_LNA_GLNA_sn2_c
13,NTPP10
14,MTHFD2m
15,FA120ACPHi
16,PLDAGAT_EPA_EPA_LNA_PC_1_c
17,LPCAT_HDE_LNA_sn2_c
18,PLDAGAT_PALM_EPA_DHA_PC_4_c
19,LPLIPAL1E120
20,ETHAPT_STC_STC_c
21,FACOAE180
22,SACCD2
23,PLD_SC
24,EX_ileprolys_e
25,EX_valleuphe_e
26,RE3301C_1nhs
27,HMR_0378
28,PSSA2_hsnhs
29,ILEASNHISr
30,AGPATCOA1819Z1819Z
31,MPOMC2
32,ACOADH100_m
33,HXPRT
34,TKT2
35,LPS3enhs
36,PIP3P_PALM_LNA_c
37,PPP9tmt
38,GLS2
39,PCHOLP_hsnhs
40,DURIPP
41,HISLYSTHRr
42,RE3052C
43,G3PAT141
44,PLDPE_MYRS_MYRS_c
45,acoa_prod14
46,EX_lyslyslys_e
47,DAGAH_EPA_DHA_c
48,URIH
49,HCYSMT
50,ARGSERSERt
51,PLDAGAT_MYRS_EPA_LNA_PE_13_c
52,PCD12DS_LNA_MYRS_sn1_c
53,LPCAT_STC_ALNA_sn2_c
54,TKT1
55,SACCD1
56,DATPHs
57,PPM2
58,IDL_HSSYNnhs
59,ACGPID
60,AMPt
61,FDMO2
62,ARTFR13nhs
63,GLNS
64,CHOPT_DHA_EPA_c
65,GDRm
66,CHOPT_HDE_DHA_c
67,LPEAT_STC_EPA_sn2_c
68,CELASE2
69,CEPA
70,LYSLYSLYSr
71,PLDPE_STC_DHA_c
72,ETHAPT_LNA_LNA_c
73,R07456
74,PCD12DS_LNA_OLE_sn1_c
75,LPCAT_MYRS_DHA_sn2_c
76,r2399
77,NTPP4
78,RPE_pf
79,ETHAPT_HDE_DHA_c
80,MCITLmc
81,DAGAH_MYRS_LNA_c
82,H2Ot
83,LEULEUTRPr
84,PLDAGAT_EPA_EPA_LNA_PC_2_c
85,lipid6
86,GTHOXti
87,DATUP
88,PLA2_2nhs
89,PLA2PE_PALM_HDE_c
90,ACALD
91,D_LACDcm
92,CYSt2r
93,LPCAT_EPA_EPA_sn2_c
94,PCD12DS_LNA_STC_sn1_c
95,ILEPROLYSt
96,NADS1
97,RE1530C
98,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
99,PLA2PE_MYRS_MYRS_c
100,AGPATCOA_PALM_PALM_c
101,VALHISASNr
102,LYStm
103,PLDPC_PALM_GLNA_c
104,PLDPE_PALM_ARA_c
105,QUILSYN
106,MLTHFtm_1
107,CHOPT_OLE_OLE_c
108,CO2tmt
