,rxns_added
0,CDAPPA120
1,lipid1
2,CLS_hsnhs
3,SPR
4,NAt3_1g
5,PGSA120
6,GLYCLm
7,PTRCtex2
8,3HAACOAT120
9,ILEARGILEr
10,PLDPE_DHA_STC_c
11,GPAM_20_4nhs
12,PLDAGAT_PALM_EPA_DHA_PE_15_c
13,EX_trpthrile_e
14,EX_ileargile_e
15,LEUTYRTYRt
16,PTHPS
17,THRTHRARGt
18,RHACOAR120
19,UREAt
20,ETHAPT_DHA_STC_c
21,CDAPPA160
22,ETHAPT_MYRS_MYRS_c
23,UGLYCH
24,CDAPPA140
25,ACACt2m
26,EX_valleuphe_e
27,LYStm
28,r0686
29,LPS2nhs
30,CDAPPA181
31,AGPATCOA_DHA_STC_c
32,THFtm_1
33,PLPSD1819Z1819Z
34,ARGDI
35,XAND
36,CYSLEUTHRr
37,CTPS2
38,ALLTAMH
39,LPEAT_LNA_EPA_sn2_c
40,pi_prod4
41,NOS
42,AMPt
43,G3PAT180_1
44,NTRIR3ppc
45,PPK2
46,HACD5i
47,r0963
48,PLA2PE_STC_STC_c
49,MTHFD2m
50,ARGt2m
51,FORAMD
52,GTHRDt2
53,CHOPT_DHA_EPA_c
54,PLIPA2G120
55,r1464
56,CHOPT_DHA_STC_c
57,AGPATCOA1819Z1819Z
58,EX_leutyrtyr_e
59,TRPTHRILEt
60,PAPA141
61,PLA2PE_STC_OLE_c
62,NH4t
63,GHMT2r
64,ARGNm
65,lipid3
66,CYSLEUTHRt
67,NTPTP2
68,CDIPTrnhs
69,ASNtm_1
70,PLIPA2G141
71,EX_cysleuthr_e
72,PGPP120
73,RE3423C
74,LPLIPAL1G141
75,LPLIPAL1G120
76,ICDHym
77,NH4tm_1
78,DAGK_20_4_20_4nhs
79,PGPP140
80,G3PAT120
81,AGPATCOA_STC_OLE_c
82,GLYTA_1
83,EHGLAT2m
84,PDYXPT_c
85,ARTFR41_cho
86,AGPATCOA_HDE_PALM_c
87,PGPP141
88,DAGAH_HDE_DHA_c
89,PLDPE_STC_STC_c
90,METHFtm
91,4HPRO_LTtm
92,LEUTYRTYRr
93,ETHAPT_DHA_DHA_c
94,PIPLC_LNA_EPA_c
95,PIPLCnhs
96,5FTHFt2_1
97,PGPPTnhs
98,PIPLC
99,GLYCL_2
100,NIT1b
101,NADtm
102,PHETHPTOX
103,ASPTA6
104,PYDXO
105,PLPSA218111Z1819Z
106,VPAMTr
107,THRTHRARGr
108,PAPA181
109,RTOT_2_cho
110,DAGK120
111,PLA2PC_HDE_PALM_c
112,NMNt7
113,HXCT
114,r2403
115,ILEARGILEt
116,DAGAH_HDE_HDE_c
117,RE3534C
118,PED5DS1819Z1835Z9Z12Z
119,pi_prod3
120,ETHAPT_HDE_PALM_c
121,DDPGAm
122,FAO10
123,PI4P5K_LNA_EPA_c
124,H2Ot
125,KARI_3hmoac
126,CDAPPA141
127,lipid4
128,PLPSA218111Z1835Z9Z12Z
129,PROAKGOX1
130,TRPTHRILEr
131,PLPSA21819Z1835Z9Z12Z
132,ETHAPT_STC_STC_c
133,LPEH1829Z12Z_sn1_c
134,G3PAT2264Z7Z10Z13Z16Z19Z_c
135,EX_fol_e
136,GTPCI_1
137,HXAND
138,AGPAT1_20_4_20_4nhs
139,FACOAE161
140,ARTFR206_cho
141,KARI_23dhmbc
142,CHOPT_HDE_DHA_c
143,COAtim
144,HISD_c
145,FA100ACPHi
146,PLPSA21819Z1819Z
147,UDPGtnic
148,r1600
149,LPS3nhs
150,PLA2PC_HDE_DHA_c
151,PGSA140
152,PINOS
153,ASNNA1t_m
154,SUCCtmt
155,FACOAE80
156,THFAT
157,r2399
158,ARTCOAL1
159,ICL
160,THFOR2
161,PSP_L
162,r2386
163,UGP_PGM_c
164,VALLEUPHEr
165,OAAtmt
166,PLPSD1801819Z
167,ARTCOAL2
168,CDAPPA161
169,NADPtmt
170,G3PAT1819Z_1
171,ASPGLUm
172,Htg
173,EX_5fthf_e
174,SULFDH
175,lipid2
176,GABAVESSEC
177,ETHAPT_LNA_EPA_c
178,HPROym
179,FRD
180,LPCAT_DHA_STC_sn2_c
181,URIC
182,VALLEUPHEt
183,PGPP_hsnhs
184,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
185,THD1m
186,NNAM
187,CDAPPA180
188,PED5DS18111Z1835Z9Z12Z
189,ACLS
190,G3PD2m
191,AGPATACP_HDE_PALM
192,CHOPT_HDE_PALM_c
193,AGPAT161
194,GUAPRT
195,HMR_0378
196,FA80ACPHi
197,EX_thrthrarg_e
198,ACONT
