,rxns_added
0,FRD2rpp
1,3DSPHR
2,PREPPACPH
3,UPP3S
4,CHOPT_OLE_EPA_c
5,UREAt
6,SUCLmc
7,DAGK120
8,GMPR
9,3HAD140
10,HMR_1081
11,PHTHS2
12,EX_thrthrarg_e
13,PLDAGAT_MYRS_EPA_MYRS_PE_9_c
14,G6PDA_1
15,TAGO
16,OCDCEAt
17,MK8t
18,LEUTYRTYRr
19,ps_prod5
20,LPCH2055Z8Z11Z14Z17Z_sn1_c
21,CYSLEUTHRr
22,PLDAGAT_OLE_EPA_DHA_PE_16_c
23,CHOPT_STC_OLE_c
24,ADPRDP
25,LPASE_18_2nhs
26,PLA2PE_MYRS_MYRS_c
27,ACALDCD
28,G3PAT141
29,GLUTCOADHc
30,lipid10
31,VPAMTr
32,PLIPA2E141
33,PLDPC_EPA_LNA_c
34,PLDAGAT_MYRS_MYRS_HDE_PC_6_c
35,GTHPe
36,PEFLIP
37,R05219
38,HMR_6785
39,PLDAGAT_PALM_EPA_DHA_PE_10_c
40,BCR6pp
41,ps_prod1
42,PGCD
43,MOAT2N
44,PRUK
45,ASNS2
46,LPLIPAL1A161
47,HEPT2N
48,DAGAH_HDE_LNA_c
49,GLBRAN
50,EAR140x
51,pe_prod16
52,ACOAD5_1
53,CEPTC_18_2_20_4nhs
54,THRTHRARGt
55,ARBt3ipp
56,HMR_0761nhs
57,lipid5
58,ETHAPT_PALM_HDE_c
59,ETHAPT_PALM_PALM_c
60,lipid2
61,PLDPC_EPA_HDE_c
62,R5PP
63,CHOPT_OLE_MYRS_c
64,AGAT_LLA
65,UDCPPtppi
66,GLUCAN2abc
67,PLDPE_STC_STC_c
68,ACPS
69,DAGAH_HDE_HDE_c
70,GLUDy_pf
71,LPLIPAL1G141
72,r2341
73,CHOPT_MYRS_EPA_c
74,EX_crm_hs_e
75,BUTAFDOR
76,OCHCCH
77,PSSA120
78,GLCt1
79,LEULEUTRPt
80,FASPHDCA
81,ETHAPT_HDE_EPA_c
82,PLA2PE_HDE_DHA_c
83,HDMAT7
84,ETHAPT_MYRS_EPA_c
85,GLDBRAN
86,RBPC
87,FAS80_L
88,GAT1_LLA
89,GBA2enhs
90,HYDFDN2r
91,AMYe
92,LPCAT_OLE_MYRS_sn2_c
93,G12MT2_L
94,CDAPPA181
95,GPDDA2
96,PLDAGAT_OLE_EPA_DHA_PE_11_c
97,PLDPC_STC_STC_c
98,CDAPPA161
99,ACLS
100,VALSERARGr
101,SHCHF2
102,FACOAE80
103,ETHAPT_STC_STC_c
104,ARTCOAL1
105,FASm240
106,GPDDA4
107,FACOAE120
108,G12MT1_L
109,EX_glucan1500_e
110,LPEAT_DHA_ALNA_sn2_c
111,PLDAGAT_EPA_EPA_DHA_PE_14_c
112,HXAt
113,CTECOAI7
114,R05217
115,HEPT1
116,GLPASE1
117,GTHOXti
118,EX_starch1200_e
119,GGNG
120,GDPMNP
121,GLCTR4N
122,LEULEUTRPr
123,U23GAAT
124,PSERT
125,PC8XM
126,ETHAPT_DHA_ALNA_c
127,3HAACOAT140
128,PSP_L
129,EX_glycogen1500_e
130,ALOX5
131,2_PERIOD_4_PERIOD_1_PERIOD_141
132,UHGADA
133,LDH_L
134,2AGPEAT120
135,PC11M
136,EX_leuleutrp_e
137,GLGNS1
138,PLDAGAT_HDE_EPA_LNA_PE_11_c
139,MOTS1
140,PSSA181
141,PAPA_DHA_ALNA_c
142,ALOX52
143,AACPS2
144,VALLEUPHEt
145,CDAPPA120
146,DHCRD1nhs
147,ARGSERSERr
148,CHDCCH
149,FCYTOB5OXR_c
150,PPDIMAS
151,DAGCPT
152,VALLEUPHEr
153,HACD5
154,ECOAH5_1
155,GLS2
156,RE3051C
157,CHOPT_MYRS_MYRS_c
158,DHAD1
159,AGPATCOA_EPA_DHA_c
160,PLDPC_DHA_ALNA_c
161,ADSL1r
162,OCDMAT8
163,OCOAT3r
164,DAGAH_PALM_DHA_c
165,PLPSA21819Z1819Z
166,PLDAGAT_DHA_EPA_DHA_PC_8_c
167,ARGN_1
168,ARGSERSERt
169,SHS1
170,ACOADAGAT_PALM_EPA_DHA_c
171,TDSK
172,MALTTRabc
173,PC20M
174,DAGK181
175,GLPASE2a
176,OOR3r
177,VACOAI
178,SUCD3
179,MLTG2
180,QRr
181,PC6YM
182,ETHAPT
183,FERIRDe
184,UAGAAT2
185,FBA3
186,4HBHYOX
187,LPCAT_MYRS_EPA_sn2_c
188,pe_prod13
189,lipid1
190,pe_prod15
191,EX_argserser_e
192,THRTHRARGr
193,EX_mqn8_e
194,MMM
195,PLA2PE_OLE_EPA_c
196,ALATA_L
197,4HBZR
198,DAGAH_PALM_HDE_c
199,MOAT
200,FASm220
201,NADHDH
202,BDMT_L
203,PLDAGAT_PALM_PALM_LNA_PC_7_c
204,FABM2
205,ETHAPT_HDE_HDE_c
206,VNDH_2
207,PLA2PC_STC_STC_c
208,UAGAAT
209,MOATN
210,MOAT2
211,pe_prod12
212,FACOAE180
213,FBA
214,G16MT_L
215,EX_valleuphe_e
216,PLDPE_EPA_DHA_c
217,HOCCD
218,L_LACD3
219,LPEAT_MYRS_EPA_sn2_c
220,AGPATCOA_EPA_HDE_c
221,PLA2PC_OLE_ARA_c
222,ILEARGILEr
223,GLNTHRNaEx
224,r1527
225,KARI_3hmoac
226,ACOAD4_1
227,FACOAE141
228,HMR_4772
229,DXTRNt
230,VALSERARGt
231,PREPTHS2
232,ps_prod7
233,4HBCOAH
234,SO3ti
235,CYSLEUTHRt
236,LPADSS
237,PLDAGAT_MYRS_MYRS_HDE_PE_10_c
238,GHBDHy
239,ACPpds
240,PLDAGAT_PALM_EPA_DHA_PE_15_c
241,LPS2_18_2_20_4nhs
242,ECOAH4
243,PLA2_2_18_2_20_4nhs
244,LPS3_18_2nhs
245,EX_cysleuthr_e
246,LPCAT_MYRS_MYRS_sn2_c
247,PLDAGAT_MYRS_EPA_LNA_PE_13_c
248,PLIPA2A161
249,ARTPLM1
250,HMR_0770nhs
251,pe_prod10
252,EX_valserarg_e
253,GLUS_ferrc
254,G13MT_L
255,PCW3DS_OLE_EPA_sn2_c
256,HMR_4771
257,DSATnhs
258,CFAS180
259,EX_adprib_e
260,PLDAGAT_MYRS_EPA_MYRS_PE_13_c
261,PLDPE_EPA_LNA_c
262,PYDXO
263,COCOAHA
264,GLYCOe
265,SSALx
266,HEPT5
267,GLCNACT_L
268,ADPRIBt
269,pc_prod
270,PSSA161
271,RHACOAR140
272,EDTXS2N
273,EX_ileargile_e
274,HACD4
275,METyLATthc
276,BNORhc
277,GLUVESSEC
278,UDPGP
279,PC17M_1
280,PLDAGAT_DHA_EPA_DHA_PE_9_c
281,ORNCD_1
282,C100SN
283,ACCOAhic
284,EX_leutyrtyr_e
285,r1973
286,USHD
287,PDYXPT_c
288,EX_lipid_c
289,ADSS
290,PLDAGAT_EPA_EPA_DHA_PE_16_c
291,HHDR7
292,MOAT_1
293,PLPSA21801819Z
294,ACOAR7mc
295,FA100ACPHi
296,CYSLY3
297,pe_prod11
298,DAGK141
299,GLCTR4
300,ETHAPT_PALM_DHA_c
301,FASm260
302,GLS2e
303,KARI_23dhmbc
304,PLDAGAT_HDE_EPA_LNA_PC_6_c
305,LPCAT_STC_OLE_sn2_c
306,ACOAD4
307,HEPT5N
308,FASm280
309,PLDAGAT_HDE_EPA_LNA_PE_15_c
310,ACPS2
311,3HOPCD
312,LPCH1819Z_sn1_c
313,PLDAGAT_PALM_PALM_LNA_PC_6_c
314,EDTXS1N
315,r1657
316,AACPS11
317,PLPSD1819Z1819Z
318,HEPT2
319,VNDH_3
320,PC6AR
321,ACGAMK
322,AGDC
323,ILEARGILEt
324,PLDAGAT_OLE_EPA_DHA_PC_8_c
325,ETHAAL
326,LEUTYRTYRt
327,SHCHD3
328,PLDAGAT_PALM_EPA_DHA_PE_9_c
329,lipid3
330,H2O2t
331,PLA2PE_LNA_LNA_c
332,ETHAPT_OLE_EPA_c
333,G3POc
334,ETHAPT_OLE_MYRS_c
335,PLIPA2G141
336,FAS200
337,HCO3E
338,PHTHDLS2
339,ETHAPT_HDE_LNA_c
340,COLIPAKpp
341,PLDAGAT_MYRS_EPA_LNA_PE_11_c
342,HEPT1N
343,PFKhc
344,HHDHL7
