,rxns_added
0,NH4tmt: nh4_m <=> nh4_c
1,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
2,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
3,MLTHFtm: mlthf_c --> mlthf_m
4,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
5,trna_gln: trnagln_c <=> 
6,LEUtec: leu__L_e --> leu__L_c
7,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
8,trna_asn: trnaasn_c <=> 
9,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
10,GLUt4: glu__L_e + na1_e --> glu__L_c + na1_c
11,SUCCtmt: succ_m <=> succ_c
12,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
13,PYDXO_1: h2o_c + o2_c + pydam_c --> h2o2_c + nh4_c + pydx_c
14,ENO: 2pg_c <=> h2o_c + pep_c
15,SARDHm: fad_m + sarcs_m + thf_m --> fadh2_m + gly_m + mlthf_m
16,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
17,FTCD: 5forthf_c + 2.0 h_c --> methf_c + nh4_c
18,ORNCD: orn_c --> nh4_c + pro__L_c
19,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
20,trna_gly: trnagly_c <=> 
21,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
22,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
23,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
24,H2Ot: h2o_e <=> h2o_c
25,ARGt5r: arg__L_e --> arg__L_c
26,PGI: g6p_c <=> f6p_c
27,GLYC3tr: glyc3p_e --> glyc3p_c
28,trna_pro: trnapro_c <=> 
29,ALATA_L: akg_c + ala__L_c --> glu__L_c + pyr_c
30,CYOO3: 2.0 focytcc_c + 6.0 h_c + 0.5 o2_c --> 2.0 ficytcc_c + h2o_c + 4.0 h_e
31,MCITDm: hcit_m --> b124tc_m + h2o_m
32,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
33,r1454: 2obut_m + h_c --> 2obut_c + h_m
34,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
35,AHCi: ahcys_c + h2o_c --> adn_c + hcys__L_c
36,RPEc: 2.0 ru5p__D_c <=> 2.0 xu5p__D_c
37,GLYCL: gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c
38,PRPPS: atp_c + r5p_c --> amp_c + h_c + prpp_c
39,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
40,DHQS: 2dda7p_c --> 3dhq_c + pi_c
41,MLTP1: maltpt_c + pi_c --> g1p_c + maltttr_c
42,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
43,CYOO6m: 4.0 focytc_m + 8.0 h_m + o2_m --> 4.0 ficytc_m + 2.0 h2o_m + 4.0 h_c
44,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
45,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
46,trna_lys: trnalys_c <=> 
47,METS_1: 5mthf_c + hcys__L_c --> met__L_c + thf_c
48,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
49,HCO3E: co2_c + h2o_c --> h_c + hco3_c
50,G3PT: glyc3p_c + h2o_c --> glyc_c + pi_c
51,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
52,METR: 5mthf_c + cfesp_c --> mecfsp_c + thf_c
53,CYSSNAT5tc: cys__L_e + h_c + na1_e --> cys__L_c + h_e + na1_c
54,MTHFD: mlthf_c + nadp_c <=> methf_c + nadph_c
55,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
56,EX_amet_e: amet_e <=> 
57,RIBt: rib__D_e --> rib__D_c
58,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
59,HMR_8582: h2o_c + malt_c --> 2.0 fru_c
60,ALCD19y: glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
61,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
62,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
63,THFtmt: thf_m <=> thf_c
64,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
65,SUCD3: fadh2_c + q_c --> fad_c + qh2_c
66,CODH_ACS: co2_c + coa_c + fdxr_42_c + h_c + mecfsp_c --> accoa_c + cfesp_c + fdxo_42_c + h2o_c
