,rxns_added
0,EX_ldl_enhs
1,PLDAGAT16018111Z1819Z4
2,LPASEnhs
3,CHOPT_MYRS_OLE_c
4,G3PAT2264Z7Z10Z13Z16Z19Z_c
5,ACOADAGAT16018111Z1819Z
6,AGAT_SC
7,PLDAGAT_PALM_EPA_DHA_PE_13_c
8,PLDAGAT_OLE_HDE_HDE_PC_2_c
9,PLA2PE_DHA_ARA_c
10,PLDAGAT_MYRS_MYRS_HDE_PC_2_c
11,DAGK_DHA_HDE_c
12,PLDAGAT_HDE_EPA_EPA_PC_5_c
13,LPCAT_PALM_DHA_sn2_c
14,PLDPE_STC_HDE_c
15,EX_retinol_e
16,PLDPE_STC_ALNA_c
17,PLA2PC_MYRS_MYRS_c
18,RETH
19,KARI_23dhmbc
20,DHAD1
21,LRAT2nhs
22,CHOPT_MYRS_EPA_c
23,RETFAt
24,DM_ficytb5_c
25,EX_HC00005_e
26,PSD160
27,MAGAH140_c
28,EX_retfa_e
29,CHOPT_PALM_DHA_c
30,PPCOAC
31,EX_tag_enhs
32,HSDy
33,GMPS
34,PLDPC_STC_ALNA_c
35,PSSA2_hsnhs
36,LPCAT_DHA_HDE_sn2_c
37,PLDPE_MYRS_ARA_c
38,PLDPE_OLE_DHA_c
39,PLDAGAT_HDE_EPA_HDE_PE_14_c
40,ETHAPT_PALM_DHA_c
41,COAtim
42,PLDAGAT_HDE_EPA_HDE_PC_2_c
43,ASAD
44,PLA2PC_STC_ALNA_c
45,LPEAT_PALM_OLE_sn2_c
46,PLDPE_MYRS_EPA_c
47,PLDPE_STC_DHA_c
48,H4MPTGL_gtp
49,LRAT2_cho
50,RETt
51,PCHOLHSTDe_1nhs
52,FAO182p_evenevenc
53,LDL_HSSYNnhs
54,MMM
55,ACLS
56,ETHAPT_PALM_OLE_c
57,ARTFR13_cho
58,PSSA1_hsnhs
59,PLDPC_DHA_HDE_c
60,XPPT
61,H4MPTGL_atp
62,ASPK
63,PLDAGAT_HDE_EPA_EPA_PE_16_c
64,PLDPC_OLE_EPA_c
65,LPEAT_PALM_DHA_sn2_c
66,AGPATCOA_DHA_HDE_c
67,RE2649C
68,AGPATCOA_STC_HDE_c
69,KARI_3hmoac
70,PLDAGAT_HDE_EPA_EPA_PE_13_c
71,PLDAGAT_PALM_EPA_DHA_PE_12_c
72,PLDAGAT_OLE_HDE_HDE_PE_16_c
73,DAGK_MYRS_EPA_c
74,HSST
75,DAGK_OLE_EPA_c
