,rxns_added
0,PLDAGAT_MYRS_EPA_ARA_PC_3_c
1,CPC2MT
2,DAGK_OLE_HDE
3,ARTPLM1
4,ASPTAm
5,DAGAH_MYRS_DHA_c
6,GLS2e
7,METyLATthc
8,ACP1619ZD9DSc
9,PLDPC_MYRS_GLNA_c
10,EX_leuleutrp_e
11,GPDDA2
12,PLPSD18111Z1819Z
13,KAS13
14,GLUSy
15,AGPATCOA_MYRS_EPA_c
16,PLDAGAT_OLE_EPA_DHA_PE_16_c
17,HMR_2380
18,FCLT_1c
19,POAACR
20,DAGK_EC
21,DAGAH1601819Z
22,ARTCOAL1
23,PLA2PA_EPA_EPA_c
24,DASYN160
25,EX_valleuphe_e
26,PDYXPT_c
27,GTHOXti
28,ACOADAGAT_OLE_EPA_DHA_c
29,FA182ACPH
30,PAPA_STC_DHA_c
31,PLDAGAT_EPA_EPA_ARA_PC_4_c
32,ILEARGILEr
33,CYSLEUTHRr
34,ADSL1r
35,APG3PAT181
36,PYROX
37,FA161ACPHi
38,GTHOr
39,DAGK180
40,PASYN_EC
41,HMR_2362
42,PIPLC_16_0_18_2nhs
43,UDPGtnic
44,MI1PP
45,ARTFR206_cho
46,NTD4
47,CHOPT_HDE_EPA_c
48,GMPR
49,LEULEUTRPt
50,NH4t_1
51,PSSA180
52,FASC182ACP
53,DAGAH_MYRS_OLE_c
54,PSP_L
55,ILEARGILEt
56,LPLIPAL1E141
57,PSSA120
58,LPEAT_MYRS_GLNA_sn2_c
59,CHOPT_STC_EPA_c
60,ACGPID
61,EX_hislysthr_e
62,GLPASE2a
63,EX_adprib_e
64,PI4P5K_HDE_EPA_c
65,PLDAGAT_HDE_EPA_ARA_PC_1_c
66,ETHAPT_HDE_HDE_c
67,ARTFR43_cho
68,HISLYSTHRt
69,NO2t2r
70,R5PP
71,ACACt2m
72,ps_prod1
73,GLCt1
74,lipid3
75,ps_prod3
76,ACONT
77,PAPA120
78,AMPt
79,EX_glucan1500_e
80,URIH
81,LPLIPA2
82,LPEAT_HDE_ALNA_sn2_c
83,GLUCAN2abc
84,APG3PAT161
85,H2O2t
86,PSSA140
87,ETHAPT_EPA_HDE_c
88,AGPATCOA_MYRS_MYRS_c
89,LPCAT_DHA_DHA_sn2_c
90,PLDAGAT_DHA_EPA_ARA_PC_3_c
91,FCYTOB5OXR_c
92,LYSLYSLYSt
93,PLPSA21819Z1819Z
94,G3PAT120
95,r1464
96,PLA2PE_EPA_DHA_c
97,ETHAPT_LNA_EPA_c
98,PCW3DS_EPA_EPA_sn2_c
99,AGPAT160
100,GLCNACT_L
101,GLUSfx
102,GLPASE1
103,DASYN161
104,DSCLCOCH
105,ARGSERSERr
106,ANNAT
107,CPPPGOm
108,PEFLIP
109,ps_prod4
110,PLDPE_OLE_HDE_c
