,rxns_added
0,PIP4K_LNA_HDE_c
1,PAPA120
2,PGPP141
3,5FTHFt2_1
4,PSSA181
5,PLDAGAT_EPA_EPA_ARA_PC_4_c
6,PCW3DS_DHA_ALNA_sn2_c
7,AGPATCOA_STC_EPA_c
8,PGSA120
9,IBTMr
10,DAGAH_HDE_HDE_c
11,CHOPT_HDE_OLE_c
12,EX_thrthrarg_e
13,PLDAGAT_PALM_PALM_LNA_PE_10_c
14,PLDPC_EPA_LNA_c
15,PGPP120
16,lipid2
17,PLDAGAT_OLE_EPA_EPA_PE_12_c
18,MOAT_1
19,G12MT2_L
20,LPEAT_LNA_EPA_sn2_c
21,PLA2PE_OLE_MYRS_c
22,MM3
23,DOLPGT2
24,LPLIPAL1G141
25,PLDAGAT_MYRS_ARA_HDE_PE_14_c
26,UHGADA2
27,EX_leutyrtyr_e
28,LNLNCGCOAtx
29,PLIPA2G141
30,AGPAT4nhs
31,ILEARGILEr
32,PLDAGAT_PALM_PALM_GLNA_PE_16_c
33,FACOAE161
34,PCD12DS_HDE_LNA_sn2_c
35,ETHAPT_LNA_HDE_c
36,G3POc
37,BHMT
38,PEFLIP
39,PLDAGAT_MYRS_ARA_HDE_PC_3_c
40,PCW3DS_LNA_EPA_sn2_c
41,PLDAGAT_OLE_HDE_OLE_PE_10_c
42,RTOTAL3t
43,SMS
44,PLDPE_EPA_STC_c
45,CHOPT_PALM_OLE_c
46,GLNyLATthc
47,PLDAGAT_HDE_EPA_OLE_PC_1_c
48,ORNCD
49,CYSLEUTHRt
50,PLIPA2E120
51,PLDAGAT_HDE_MYRS_LNA_PC_7_c
52,ETHAPT_EPA_STC_c
53,DAGK_STC_EPA_c
54,PLDAGAT_LNA_EPA_ARA_PC_2_c
55,FA100ACPHi
56,PLA2PC_HDE_DHA_c
57,PCD12DS_LNA_LNA_sn2_c
58,CHOPT_HDE_HDE_c
59,RTOT2nhs
60,ETHAPT_DHA_GLNA_c
61,PLDAGAT_HDE_MYRS_PALM_PE_13_c
62,CDAPPA120
63,LDL_HSDEGnhs
64,PIPLC
65,PCD12DS_MYRS_LNA_sn2_c
66,HMR_2495
67,EX_trpthrile_e
68,ORLT
69,DOLPGT3
70,MOATN
71,ARTCOAL2_cho
72,ILEARGILEt
73,ARTFR11nhs
74,EX_xolest2_enhs
75,ECOAH3
76,USHD2
77,PLDAGAT_PALM_EPA_LNA_PE_10_c
78,PPAPnhs
79,PLIPA2A120
80,KARI_3hmoac
81,GALFT
82,G13MT_L
83,EX_valleuphe_e
84,CTECOAI6
85,PLDAGAT_EPA_EPA_PALM_PE_12_c
86,PCW3DS_OLE_EPA_sn2_c
87,PS_asn__L_c
88,DOLPMT_L
89,CHOPT_OLE_STC_c
90,PLDAGAT_OLE_EPA_EPA_PE_13_c
91,LPLIPAL1G161
92,EDTXS2N
93,GHMT2r
94,GAT_c
95,LPS2_18_2_18_2nhs
96,AGPAT1801819Zhc
97,UDPDOLPT
98,lipid3
99,lipid1
100,CAT
101,KOKDO_LIPApenta
102,SO4tl
103,ACOAD2f
104,PSSA161
105,PLDAGAT_HDE_ARA_ARA_PC_4_c
106,DHAD1
107,PLDPE_HDE_ALNA_c
108,CHOPT_OLE_PALM_c
109,PLDPE_PALM_OLE_c
110,DOLPGT1
111,PLDAGAT_EPA_EPA_PALM_PE_13_c
112,PLDAGAT_PALM_EPA_DHA_PC_3_c
113,LEULEULAPc
114,PCD6DS_EPA_GLNA_sn2_c
115,MAGAH2264Z7Z10Z13Z16Z19Z_c
116,ETHAPT
117,SMPD3l
118,PLPSD1801819Z
119,RTOT_3nhs
120,CHOPT_OLE_MYRS_c
121,LPEAT_HDE_EPA_sn2_c
122,PAPA141
123,PCD12DS_LNA_MYRS_sn1_c
124,lipid5
125,PINOS
126,GDPMNP
127,LPADSS2
128,PLA2PE_LNA_HDE_c
129,pe_prod12
130,ECOAH2
131,PLA2PE_HDE_HDE_c
132,VALLEUPHEt
133,HMR_0410
134,PLDAGAT_MYRS_EPA_DHA_PE_11_c
135,CDAPPA180
136,THRTHRARGt
137,PLA2PE_STC_OLE_c
138,ETHAPT_MYRS_MYRS_c
139,PGSA161
140,PLIPA2G161
141,EX_fadh2_c
142,AGPAT1819Z1819Zhc
143,SULO
144,PAPA181
145,EDTXS1N
146,XAND
147,FAO10
148,UDPGtnic
149,ACOADAGAT_LNA_EPA_ARA_c
150,PLDAGAT_PALM_PALM_GLNA_PE_10_c
151,CATC180_c
152,DASYN_SC
153,DAGAH_DHA_GLNA_c
154,LPS
155,EX_leuleu_e
156,PAPA180
157,PLDPC_LNA_EPA_c
158,pe_prod15
159,CHOPT_HDE_DHA_c
160,lipid10
161,LPLIPAL1G120
162,lipid4
163,CDAPPA141
164,THRTHRARGr
165,GLYCt
166,ETHAPT_HDE_EPA_c
167,PLDPE_STC_PALM_c
168,LAURTRANS
169,ARTFR42nhs
170,GLCTR4N
171,PCW3DS_EPA_ALNA_sn2_c
172,LEUTYRTYRt
173,TRPTHRILEt
174,URIC
175,ACOAD6
176,FACOAE120
177,DAGCPT
178,LEUTYRTYRr
179,LPLIPAL1E120
180,pe_prod9
181,FACOAE141
182,PCD12DS_LNA_STC_sn1_c
183,LPCAT_OLE_PALM_sn2_c
184,ETHAPT_HDE_OLE_c
185,FCYTOB5OXR_c
186,RTOTAL2t
187,LPLIPAL1E141
188,HACD3
189,PIPLC_LNA_HDE_c
190,G16MT_L
191,CDAPPA161
192,ETHAPT_PALM_LNA_c
193,G3PAT2055Z8Z11Z14Z17Z_c
194,GPAM_hsnhs
195,PLDAGAT_OLE_HDE_OLE_PE_15_c
196,PLIPA2A161
197,PLDAGAT_PALM_EPA_LNA_PE_13_c
198,PLPSA21801819Z
199,PLIPA2G120
200,PCHOLHSTDe_1nhs
