,rxns_added
0,IDHPOXOX4
1,GLNS
2,EX_asntyrphe_e
3,ADPRDP
4,BPNT
5,ASNASNARGr
6,PAPt
7,EX_pap_e
8,NO3R1
9,SERHL
10,EX_pheasnmet_e
11,NADPPPS
12,HISSNAT5tc
13,ASNTYRPHEr
14,NADPHtmt
15,CYO1_KTc
16,FUM
17,METASNTYRt
18,TMPt6
19,ALAD_L
20,NTRIR3ppc
21,GTHRDH_syn
22,EX_metasntyr_e
23,r1808
24,r1823
25,r1853
26,FRDcm
27,CITtam
28,EX_asnasnarg_e
29,r0915
30,r1898
31,TMPHi
32,THRGLYexR
33,ASNTYRPHEt
34,EX_ncam_e
35,ASPTA6
36,NCAMUP
37,PPItm
38,H2Ot
39,EX_tyrtrpphe_e
40,ICL
41,EX_tmp_e
42,NMNP
43,AGTi
44,NO3t7
45,NAt5
46,Q8H2tmt
47,ATPt_m
48,NADPC
49,EX_lyslyslys_e
50,GTHRDt2
51,PHEASNMETt
52,CAMPP
53,IDPm
54,ADPRIBt
55,IDHPOXOX3
56,ASNASNARGt
57,METASNTYRr
58,NADH6
59,LYSLYSLYSr
60,HMR_3951
61,TYRTRPPHEr
62,ICDHym
63,PDYXPT_c
64,CYOO_HP
65,FUMm
66,PHEASNMETr
67,OAAtmt
68,MALS
69,G3POc
70,SUCOASm
71,NMNt7
72,TYRTRPPHEt
73,SERGLYexR
74,GLNtN1
75,PYDXO
76,LYSLYSLYSt
77,ALAGLNexR
78,r1807
