,rxns_added
0,PLDAGAT_EPA_EPA_LNA_PE_15_c
1,MEVK1
2,MDDCP4pp
3,LYSLYSLYSr
4,EX_valval_e
5,PLA2PC_STC_STC_c
6,pe_prod7
7,UDPGtnic
8,lipid2
9,lipid5
10,LPLIPAL1G120
11,r0963
12,PLDPE_EPA_EPA_c
13,NMNN
14,ETHAPT_PALM_DHA_c
15,EX_ileargile_e
16,PLA2PE_DHA_OLE_c
17,LPCAT_PALM_DHA_sn2_c
18,ACGPID
19,DPMVDx
20,ELO5DPA_c
21,DAGAH_EPA_HDE_c
22,G3PAT1819Z
23,DAGK_18_2_18_2nhs
24,PCD4DS_PALM_DHA_sn2_c
25,PLDPC_LNA_STC_c
26,HMR_0873nhs
27,DPMVD
28,r0954
29,FA141COAabcp
30,LYSTYRILEr
31,LPEH1829Z12Z_sn1_c
32,HISLYSTHRr
33,CDAPPA180
34,PIPLC_LNA_EPA_c
35,PCW3DS_EPA_EPA_sn2_c
36,PIP4K_LNA_EPA_c
37,VALLYSTYRr
38,pi_prod4
39,GULN3D
40,PI45BPP_SC
41,ETHAPT_EPA_EPA_c
42,DASYN_SC
43,LEULEUTRPr
44,VALVALt
45,PItx
46,PLA2_2_18_2_18_2nhs
47,CDAPPA160
48,CHOPT_EPA_EPA_c
49,PGPP120
50,PIP4K_EPA_HDE_c
51,PGPP181
52,EX_fol_e
53,PIPLC_EPA_HDE_c
54,LPS3_20_4nhs
55,LPEAT_LNA_STC_sn2_c
56,ACOADAGAT_EPA_EPA_LNA_c
57,MEVK1x
58,THFOR1
59,HMR_0864nhs
60,PHETHPTOX
61,4HTHRS
62,CHOPT_OLE_DHA_c
63,UM3PL
64,HAS1
65,LPCAT_DHA_DHA_sn2_c
66,CDIPTr_18_2_18_2nhs
67,DM_ficytb5_c
68,EX_thrthrarg_e
69,PLDAGAT_EPA_EPA_ARA_PC_5_c
70,EX_vallystyr_e
71,RNDR3b
72,PCD12DS_LNA_DHA_sn1_c
73,ETHAPT_LNA_STC_c
74,G3PAT141
75,PLDAGAT_HDE_EPA_DHA_PC_3_c
76,SCP2x_1
77,PLA2PE_PALM_PALM_c
78,ARTPLM1
79,PLIPA2G120pp
80,LYSLYSLYSt
81,EX_cysleuthr_e
82,ETHAPT_HDE_HDE_c
83,EX_ha_e
84,CHOPT_HDE_PALM_c
85,LACLt
86,ETHAPT_EPA_LNA_c
87,H2Otp
88,OGLT
89,LEULEUPEPT1tc
90,GALT1
91,PIP3K_EPA_HDE_c
92,CHOPT_HDE_HDE_c
93,PIK4_18_2_16_0nhs
94,4PCP
95,CHOPT_OLE_EPA_c
96,ANNAT
97,GLYCL_2
98,PLDPE_MYRS_MYRS_c
99,G3PAT160_1
100,LIPOCT
101,PLA2PE_DHA_DHA_c
102,ILEARGILEt
103,r0997
104,LPCAT_PALM_DPA_sn2_c
105,DHPR
106,DESAT18_6
107,LPCAT_LNA_DHA_sn2_c
108,VALLEUPHEt
109,HMR_3106
110,CDAPPA140
111,ETHAPT_DHA_OLE_c
112,LEULEUTRPt
113,GULND
114,HMR_0868nhs
115,VALLEUPHEr
116,UAGCVT
117,DAGCPT
118,HMR_1465
119,TRNFE
120,lipid4
121,LPLIPAL1E141
122,PLIPA2G181
123,UGMDDS
124,ACACT6r_1
125,PAPA_EPA_LNA_c
126,ETHAPT_EPA_ARA_c
127,4PEPTabcpp
128,pg_prod4
129,PLA2PC_LNA_STC_c
130,MDDCP3pp
131,EX_lyslyslys_e
132,AGPAT141
133,PG120abcpp
134,CHOPT_HDE_DHA_c
135,LPEH1819Z_sn1_c
136,DAGAH_LNA_EPA_c
137,CYSLEUTHRr
138,DGULND
139,ALAALACNc
140,AGPATCOA_EPA_DHA_c
141,PLDAGAT_EPA_EPA_LNA_PE_13_c
142,PLDAGAT_HDE_PALM_LNA_PC_2_c
143,CHOPT_DHA_DHA_c
144,ILEARGILEr
145,UDPGNP
146,LPCAT_HDE_PALM_sn2_c
147,PCD12DS_PALM_LNA_sn2_c
148,PIP3P_HDE_PALM_c
149,XYLUR
150,PI45PLC_18_2_16_0nhs
151,PMEVKx
152,EX_valleuphe_e
153,PAPA_HDE_PALM
154,ACOAD5_1
155,USHD2
156,DAGAH_EPA_ARA_c
157,AGM4PApp
158,ACOADAGAT_PALM_PALM_LNA_c
159,PLDPC_LNA_HDE_c
160,EX_leuleutrp_e
161,COA_h_tx
162,PLDAGAT_HDE_EPA_DHA_PE_14_c
163,CDIPTr_20_4_20_4nhs
164,AGPATCOA1819Z1819Z
165,PCD12DS_STC_LNA_sn2_c
166,PAPA_LNA_STC_c
167,MMCDp
168,G3PAT120
169,CHOPT_PALM_DHA_c
170,LPS3_18_2nhs
171,FAO141p_oddc
172,PMEVK
173,PIP4K_HDE_PALM_c
174,LPASE_18_2nhs
175,DAGK_20_4_20_4nhs
176,HMR_1467
177,GPIAT
178,ASP4DC
179,3HAACOAT140
180,OCTNLL
181,GLYCTO3
182,PIPLC_HDE_PALM_c
183,PGSA160
184,4HTHRA
185,DDCAt2pp
186,THRTHRARGr
187,PLDPE_EPA_DHA_c
188,UAPGR
189,CDAPPA181
190,pg_prod1
191,LPEAT_LNA_HDE_sn2_c
192,VALLYSTYRt
193,CDAPPA161
194,DAGAH_OLE_EPA_c
195,EX_g3pg_e
196,PLA2PC_HDE_HDE_c
197,PLDAGAT_EPA_EPA_ARA_PE_15_c
198,PLIPA2E141
199,CDAPPA141
200,RHACOAR140
201,DAGAH_HDE_DHA_c
202,CHOPT_STC_OLE_c
203,ALAALAr
204,AMPt
205,PCW3DS_LNA_EPA_sn2_c
206,SQLC2
207,lipid10
208,LPLIPAL1G120pp
209,PIP5P_LNA_EPA_c
210,PAPSR2
211,AGM4PCPpp
212,FE3Ri
213,ALAALAabcpp
214,PI4P5K_EPA_HDE_c
215,DESAT18_8
216,r0637
217,DAGAH_OLE_DHA_c
218,PSP_L
219,LPS2_18_2_18_2nhs
220,EX_leuleu_e
221,CYSLEUTHRt
222,DAGAH_LNA_LNA_c
223,3HAACOAT60
224,AGPATCOA_HDE_PALM_c
225,ETHAPT_LNA_HDE_c
226,PCD12DS_LNA_EPA_sn1_c
227,PAPPT3
228,CDS_18_2_18_2nhs
229,LPS2_20_4_20_4nhs
230,PLIPA2E181
231,PIP3P_LNA_EPA_c
232,ACOADAGAT_HDE_PALM_LNA_c
233,THRTHRARGt
234,CDS_20_4_20_4nhs
235,SMS
236,SK_trdrd_c
237,PLDPE_EPA_ARA_c
238,HISLYSTHRt
239,C80CPT1
240,PGSA181
241,FAO80p
242,PEFLIP
243,EX_lystyrile_e
244,G3PAT2055Z8Z11Z14Z17Z_c
245,PI4P5K_18_2_16_0nhs
246,HMGCOARx
247,PLDPC_EPA_ARA_c
248,CHOPT_DHA_OLE_c
249,PLDPE_STC_STC_c
250,PLPSD1819Z1819Z
251,LYSTYRILEt
252,PGSA120
253,CDAPPA120
254,HAS2
255,G3PAT161
256,PLA2PE_PALM_DHA_c
257,CHOPT_STC_STC_c
258,PGPP160
259,PLDPE_PALM_PALM_c
260,G3PGtex
261,PAPA_LNA_HDE_c
262,PIACGT
263,DAGAH_STC_STC_c
264,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
265,ECOAH5_1
266,ALAALAD_1
267,PLA2PA_EPA_LNA_c
268,NMNt7
269,ORLT
270,HACD2
271,PLDAGAT_PALM_PALM_LNA_PC_4_c
272,r2516
273,MPTG2
274,LEULEULAPc
275,VALVALr
276,PLIPA2G120
