,rxns_added
0,GLCt1
1,PPAP_cho
2,FACOAE1829Z12Z
3,VALLEUPHEr
4,ARGN_1
5,lipid2
6,ps_prod1
7,PSSA120
8,RTOT4nhs
9,LEULEUTRPt
10,LEULEUPEPT1tc
11,ETHAAL
12,FBA
13,APH141
14,MYCSacp56
15,PLA2PE_STC_OLE_c
16,DASYN120
17,AGPATCOA18111Z1819Z
18,HMR_1307
19,THRTHRARGt
20,VALLEUPHEt
21,PLPSD18111Z1819Z
22,FDH7
23,PLBPC_SCe
24,CLS_cho
25,GLUSx
26,ADPRIBt
27,CTECOAI8
28,ARTCOAL2
29,R5PP
30,DHAD1
31,PED5DS18111Z1835Z9Z12Z
32,FA140ACPHi
33,EX_leuleutrp_e
34,3HAD140
35,ADPRDP
36,LPS2_16_0_18_2nhs
37,ps_prod3
38,ACALD
39,PTVSTLACtev
40,KARI_3hmoac
41,LPCH1619Z_sn1_c
42,PLPSA218111Z1835Z9Z12Z
43,FACOAE60
44,ANDRSTRNtr
45,HACD5
46,ALAALACNc
47,NO3t7
48,SR5AR2r
49,RTOT2nhs
50,PEDS1819Z1829Z12Z
51,HACD3i
52,GLNyLATthc
53,r1528
54,P45019A1r
55,LPS3_cho
56,PLA2PE_STC_HDE_c
57,PYDXO
58,HACD2
59,THRTHRARGr
60,3HAACOAT140
61,ECOAH2
62,OCDCYAt
63,FACOAE180
64,HACD4
65,LEULEULAPc
66,ALATA_L
67,ETHAPT_STC_HDE_c
68,PTVSThc
69,EX_glucan1500_e
70,AGPAT120
71,NTRIR3ppc
72,G3PAT120
73,GLS2
74,PSP_L
75,PDYXPT_c
76,TMPt6
77,MECDPDH2
78,APG3PAT141
79,NH4t_1
80,UREAt
81,LPASE_16_0nhs
82,ECOAH3
83,CDIPTr_cho
84,H2O2t
85,PLA2_2_16_0_18_2nhs
86,r1183
87,MCOATA
88,SULO
89,GLUCAN2abc
90,TMPHi
91,r1177
92,GTHPe
93,CHOPT_STC_MYRS_c
94,FA120ACPHi
95,PLPSA21819Z1819Z
96,EX_tdchola_e
97,TXASr
98,r1515
99,FBA3
100,AHCYStr
101,ACCOAC
102,HSD17B8r
103,lipid1
104,FAS240_L
105,PLIPA2A141
106,ILEARGILEt
107,MMCD
108,NDERSVhc
109,PSERT
110,EX_adprib_e
111,PED5DS1819Z1835Z9Z12Z
112,ACOAR3mc
113,DASYN141
114,EX_ileargile_e
115,AKR1D
116,PGPP_cho
117,FACOAE80
118,r2142
119,RE3477C
120,acoa_prod1
121,EX_pc_SC_e
122,PGCD
123,ACOAD2
124,EX_thrthrarg_e
125,GTHOXti
126,FACOAE100
127,G3PCt
128,FA182COAabcpc
129,TAURt
130,DCHOLESTANCOAc
131,MECDPDH4
132,HCO3E
133,FAS260
134,ETHAPT_STC_DHA_c
135,GLUVESSEC
136,LEUTYRTYRr
137,ASNS2
138,HMR_1783
139,ECOAR
140,CYSLY3
141,LEUTYRTYRt
142,CEPTC_16_0_18_2nhs
143,KARI_23dhmbc
144,EX_leuleu_e
145,GLS2e
146,RE1628C
147,FORtr
148,GLUDy_pf
149,LPCAT_STC_MYRS_sn2_c
150,ACOAD5f
151,NADHtru
152,PSSA141
153,PLDPE_HDE_HDE_c
154,VPAMTr
155,PLA2PC_HDE_HDE_c
156,RTOT_2nhs
157,EX_valleuphe_e
158,AMETr
159,MYC1M1
160,EX_leutyrtyr_e
161,HESTRATRIOLtr
162,ARTCOAL1
163,PTVSTM13hr
164,HSD3A2r
165,DAGAH_STC_MYRS_c
166,ORNCD_1
167,EX_ptvstlac_e
168,1AGPEAT18111Z1829Z12Z
169,ACOAD4
170,ACLS
171,RHACOAR140
172,SO4HCOtex
173,PLPSA21819Z1835Z9Z12Z
174,RE1845C
175,XOL7AONEtr
176,HSD17B2r
177,RE3273C
178,ANDRSTANDRte
179,EAR140x
180,LPCAT_STC_HDE_sn2_c
181,DAGAH_STC_DHA_c
182,EX_tmp_e
183,PGPPT_cho
184,PTVSTLACitr
185,acoa_prod3
186,LEULEUTRPr
187,FACOAE161
188,PLDPC_HDE_HDE_c
189,HMR_1305
190,CHOPT_STC_HDE_c
191,HMR_2016
192,LPS2_cho
193,ECOAH5
194,ILEARGILEr
195,RE1836C
196,PLPSA21801819Z
197,LPS3_16_0nhs
198,ECOAH4
199,P4501B1r
200,PLA2PE_STC_DHA_c
201,G3POc
