,rxns_added
0,MOTH1
1,GLYCL
2,CYOO6mc
3,CYSTBLc
4,TRPSERTYRr
5,HCO3E
6,PFK_ppi
7,ASNTYRPHEr
8,GTHRDH_syn
9,PROPAT4te
10,ADPRIBt
11,CYO1a
12,PSERT
13,DCTPD2
14,HMR_3951
15,SULR_2
16,PPNCL
17,EX_asntyrphe_e
18,H2Ot
19,MLTG2
20,O2t
21,PFK_3
22,ACALDCD
23,CPK1
24,EX_asnasnarg_e
25,PGCD
26,VALtec
27,HISSNAT5tc
28,TRPSERTYRt
29,EX_adprib_e
30,EX_asnpheasp_e
31,ASNASNARGt
32,GTHOXti
33,METHFtxc
34,GHMT2r
35,SO4HCOtex
36,GLNS
37,r2000
38,EX_trpsertyr_e
39,ASNPHEASPr
40,MTHFD
41,MLTG1
42,PSP_L
43,r2534
44,ASNTYRPHEt
45,SBT_Dt
46,ASNASNARGr
47,LYSt5r
48,ALAALACNc
49,LEUtec
50,PPC
51,ILEtec
52,PPNCL2
53,UDPGtnic
54,NADPPPS
55,MOTS1
56,r1933
57,ASPTA6
58,SO4t_e
59,ASNPHEASPt
60,CYSLY3
61,SULR_1
62,METtec
