,rxns_added
0,HMR_0859nhs
1,ACGALtr
2,CHOPT_STC_OLE_c
3,TYRTRPPHEt
4,LPCAT_OLE_GLNA_sn2_c
5,PCW3DS_EPA_EPA_sn2_c
6,TAGAH_HDE_HDE_PALM_c
7,PLDPE_OLE_PALM_c
8,CEPTC_18_1_18_2nhs
9,pe_prod15
10,CHOPT_OLE_OLE_c
11,CHOPT_OLE_EPA_c
12,B4ARAT
13,ETHAPT_MYRS_LNA_c
14,DXS
15,HMR_0828nhs
16,pe_prod7
17,DSATnhs
18,RTOT_2nhs
19,CHTNS
20,PLDPE_EPA_ARA_c
21,PLA2PE_DHA_HDE_c
22,MALTt1r
23,SLCBK1
24,SERDC
25,GPIAT
26,STARCH300Sc
27,MLTHFte1
28,HMR_0848nhs
29,PIACGT
30,HCO3_h_thi
31,CHOPT_DHA_HDE_c
32,TAG_OLE_PALM_HDEt_h
33,AGPAT1819Z1819Zhc
34,GBA2enhs
35,MALGLUth
36,MGDGW3DS1839Z12Z15Z1627Z10Z
37,MANt1r
38,GLUth
39,DGDGGH1819Z1617Z
40,DAGCPT
41,HEXA3enhs
42,GHMT2r_m
43,UDPGtnic
44,BGAL1enhs
45,PLDAGAT_MYRS_EPA_ARA_PE_14_c
46,TYRTRPPHEr
47,HMR_9640nhs
48,PLDPC_OLE_ALNA_c
49,PLDAGAT_EPA_EPA_EPA_PE_13_c
50,MG1B
51,AMALT4
52,DOLPGT3
53,NADK_h
54,GGGT_HDE_HDE_5_h
55,DOLPGT1
56,ATPS_h
57,ACALDh
58,CDAPPA181
59,G1P_pi_th
60,MGDGW6DS1829Z12Z1627Z10Z2
61,DOLPGT2
62,HMR_0907nhs
63,RTOT5nhs
64,EX_fadh2_c
65,PDS1_1
66,MLTHFtmt
67,PLPSD1801819Z
68,TGBPA
69,ACCOAth
70,TPI_m
71,HMR_0890nhs
72,G12MT2_L
73,G16MT_L
74,G13MT_L
75,LINOFATPtc
76,ACGPID
77,PLDAGAT_PALM_EPA_LNA_PE_9_c
78,PI4P5K_PALM_EPA_c
79,G3PAT2055Z8Z11Z14Z17Z_c
80,EX_mlthf_e
81,ETHAPT_DHA_DHA_c
82,QULNS
83,GMPR
84,FPGS7
85,AAMYL
86,PAPA_HDE_HDE_h
87,LPLPS1AGPE1829Z12Z
88,PLPSA21829Z12Z1835Z9Z12Z
89,FPGS7m
90,PLA2PE_OLE_OLE_c
91,PDS2c
92,SQDGS_EPA_HDE_h
93,THRNA1th
94,PAPA_STC_LNA_c
95,AACPDAGAT_OLE_PALM_HDE_h
96,ARTFR42nhs
97,CDAPPA141
98,SELCYSTLh
99,APSt_h
100,NADPHtu
101,HMR_0889nhs
102,ASPth
103,DOLDPP
104,NTD2
105,CHITN1
106,ETHAPT_EPA_ALNA_c
107,GTHAMPORh
108,PEPC_m
109,PEFLIP
110,DHAP_pi_thr
111,pe_prod3
112,pe_prod10
113,NH4th
114,LNLCt
115,UAGALDP
116,AACPDAGAT_HDE_HDE_PALM_h
117,ETHAPT_OLE_OLE_c
118,ANXANOR
119,EX_phepheasn_e
120,CDAPPA160
121,NNDPR
122,ACCOAC_h
123,ATAMh
124,ADPHt_h
125,ARTFR52nhs
126,AHHST
127,G3PAT1619Z_h
128,DAGK120
129,MALTTRabc
130,10FTHF5GLUtm
131,pi_prod3
132,UDPGALtg
133,PLDPC_EPA_ARA_c
134,PS_asn__L_c
135,GLCBRAN3
136,HMPK1
137,PAPA161
138,FORtm
139,ETHAPT_STC_LNA_c
140,EX_tyrphetyr_e
141,G12MT1_L
142,lipid5
143,ACGAM2E
144,DAGAH_MYRS_ALNA_c
145,DOLPMT2
146,HMR_0906nhs
147,PLDAGAT_OLE_PALM_HDE_PC_7_c
148,ACGAL6PI
149,pe_prod2
150,ACSERtmi
151,DGDGGH1829Z12Z1617Z
152,DAGK141
153,3OAS180_h
154,GMPt6
155,LPEAT_OLE_ALNA_sn2_c
156,lipid10
157,AICART
158,GGGT_OLE_HDDE_4_h
159,NO2tmt
160,pe_prod1
161,AACPS6_1
162,ACGALptsppc
163,ACOADAGAT_HDE_PALM_EPA_c
164,ACOADAGAT_EPA_EPA_EPA_c
165,G6PBDHh
166,ETHAPT_STC_STC_c
167,ASPNA1th
168,NNATr
169,DOLPMT1
170,ETHAPT_OLE_PALM_c
171,LPCAT_STC_OLE_sn2_c
172,GLYC3Pth
173,lipid3
174,PIPLC
175,PGMfc
176,CBFC_u
177,ACNMCT
178,NADHtm
179,ETHP
180,LPS2_18_1_18_2nhs
181,PLDAGAT_LNA_EPA_ARA_PC_6_c
182,DAGK181
183,PLDAGAT_EPA_EPA_DHA_PE_15_c
184,pc_prod
185,pe_prod6
186,PPIth
187,PSD161
188,CYO1b2_syn
189,PGMT_B
190,PLDAGAT_PALM_EPA_LNA_PE_13_c
191,lipid4
192,PSD160
193,PCW3DS_EPA_ALNA_sn2_c
194,NADPtu
195,AGPATCOA_PALM_PALM_c
196,HMR_0829nhs
197,PHEPHEASNr
198,PDS1c
199,PCW3DS_OLE_ALNA_sn2_c
200,AGPATACP_HDE_HDE_h
201,LPASE_18_1nhs
202,THRA_1
203,2_PERIOD_4_PERIOD_1_PERIOD_141
204,ASPOb
205,PLDPE_OLE_ALNA_c
206,ACGALK
207,ETHAPT_MYRS_MYRS_c
208,EX_tyrtrpphe_e
209,MDHC_nadp_hr
210,CDAPPA180
211,HMR_4957
212,AGPAT1801819Zhc
213,MGDGD7DS1819Z1617Z
214,PLDPE_MYRS_MYRS_c
215,DHCRD2nhs
216,CDAPPA120
217,PLPSA21801829Z12Z
218,DGDGS_HDE_HDE_h
219,TYRPHETYRt
220,ETHAPT_DHA_HDE_c
221,NEU37enhs
222,PSSA161
223,PINOS
224,ACP1819ZD9DS_h
225,PCD12DS_OLE_LNA_sn2_c
226,PLDPE_STC_STC_c
227,AGPAT1_cho
228,ETHAPT
229,PLDAGAT_LNA_EPA_ARA_PE_14_c
230,TPIh
231,ATP2t_m
232,PLDAGAT_LNA_EPA_LNA_PC_4_c
233,EX_pullulan1200_e
234,pi_prod4
235,H2Otu_syn
236,SULR_ferr
237,DGDGS_EPA_HDE_h
238,A3GALT4
239,HPYRP
240,SQDGS_HDE_HDE_h
241,PGLh
242,NTRIR2y
243,PAPA_EPA_ALNA_c
244,HMR_0837nhs
245,ACP1619ZD9DS
246,AGPATCOA_PALM_EPA_c
247,LPEAT_EPA_ALNA_sn2_c
248,GGGT_OLE_HDDE_8_h
249,lipid2
250,6PGTt_h
251,ps_prod4
252,CHOPT_DHA_DHA_c
253,H2Othu
254,TYRPHETYRr
255,DGDGS_OLE_HDDE_h
256,G6PB_pi_th
257,NADHth
258,DGDGW6DS1829Z12Z1617Z
259,ACHMSSELCYSLh
260,GPAM_cho
261,PLDAGAT_LNA_EPA_LNA_PC_7_c
262,CRMtenhs
263,MI1PS
264,NTRIR2xm
265,PLDAGAT_EPA_EPA_DHA_PC_7_c
266,PLA2PE_PALM_EPA_c
267,UDPtg
268,UDPDOLPT
269,PLDPC_EPA_ALNA_c
270,PCD6DS_OLE_GLNA_sn2_c
271,FADt_h
272,B2ARAT1
273,ETHAPT_PALM_PALM_c
274,HMR_0875nhs
275,AGPATCOA1819Z1819Z
276,MCOATA_1
277,CDAPPA140
278,ETHAPT_OLE_EPA_c
279,PULLe
280,PLDAGAT_HDE_PALM_EPA_PE_10_c
281,NADPPPS
282,F6PP
283,EX_gd2_enhs
284,SK_trdrd_c
285,PAPA_PALM_EPA_c
286,PLPSA21801835Z9Z12Z
287,PHEPHEASNt
288,NEU31enhs
289,HMR_0824nhs
290,GLCS2
291,TAG_HDE_HDE_PALMt_h
292,PCD12DS_LNA_LNA_sn1_c
293,NTD4
294,PLDAGAT_MYRS_EPA_ARA_PE_15_c
295,NDH1_2u
296,AICART2
297,PLA2_2_18_1_18_2nhs
298,FA180h
299,HMR_0853nhs
300,LPCAT_EPA_EPA_sn2_c
301,NH4tm_1
302,PIPLC_PALM_EPA_c
303,SPS
304,MPL
305,BDMT_L
306,LPEAT_STC_LNA_sn2_c
307,ETHAPT_HDE_HDE_c
308,ACOADAGAT_LNA_EPA_ARA_c
309,PCW3DS_OLE_EPA_sn2_c
310,PLA2PC_OLE_ARA_c
311,DOLPMT_L
312,PLDAGAT_PALM_EPA_LNA_PC_4_c
313,SPP
314,GLCNACPT_L
315,DAGAH_MYRS_LNA_c
