,rxns_added
0,DAGAH_PALM_LNA_c
1,pe_prod3
2,PGPP160
3,DAGAH_DHA_PALM_c
4,CO2tmt
5,HMR_0795nhs
6,PLDAGAT_MYRS_EPA_ARA_PC_8_c
7,LPLIPAL1G161
8,LPLIPA1
9,ALAALACNc
10,LPASEnhs
11,r0688
12,ETHAPT_HDE_PALM_c
13,SHKK
14,PAN4PPe
15,BPNT
16,ETHAPT_PALM_OLE_c
17,ETHAPT_EPA_LNA_c
18,LPCAT_DHA_ETA_sn2_c
19,FASPHDCA
20,DAGAH_EPA_LNA_c
21,EX_tudca3s_e
22,CHOPT_OLE_OLE_c
23,PGPP181
24,PLDPE_LNA_LNA_c
25,PLDAGAT_MYRS_EPA_ARA_PC_1_c
26,r0512
27,DCTPD2
28,PLD_SC
29,LPADSS2
30,COAt
31,PLDPE_HDE_PALM_c
32,RE1826C
33,HISTRPHISr
34,CHOLESTle_1nhs
35,PANTtm
36,HISTRPHISt
37,UAGAAT2
38,EX_sphmyln_enhs
39,HMR_7255
40,CHORS
41,LPEAT_LNA_EPA_sn2_c
42,UDPDPS2
43,PIPLC_EPA_LNA_c
44,GALFT
45,RE1836C
46,LPSenhs
47,ETHAPT_OLE_ARA_c
48,FBA
49,ALOX12
50,ETHAPT_MYRS_LNA_c
51,LPLIPAL1G181
52,PAPA_OLE_ARA_c
53,TYRPHETYRr
54,ASPOb
55,ETHAPT_EPA_OLE_c
56,LPLIPAL1G180
57,O16GLCT1
58,LPLIPAL1G160
59,CITt2r
60,ETHAPT_MYRS_ARA_c
61,CHOPT_PALM_STC_c
62,U23GAAT2
63,LAPCOAe
64,FABM2
65,DMPPS_syn
66,PLDPC_PALM_ALNA_c
67,THFtmt
68,PLDAGAT_EPA_EPA_LNA_PE_13_c
69,PLDAGAT_HDE_HDE_HDE_PC_3_c
70,PLDAGAT_HDE_EPA_LNA_PC_7_c
71,HMR_8374
72,GMT1
73,r1435
74,MMCD
75,PGPP180
76,PLDPE_OLE_ALNA_c
77,DHPS
78,PASYN_EC
79,DPR
80,HYPTROXe
81,EX_HC00009_e
82,GMPR
83,PGSA161
84,DCHOLESTANCOAc
85,ETHAPT_PALM_PALM_c
86,MOAT3C
87,ETHAPT_OLE_EPA_c
88,ETHAPT_DHA_GLNA_c
89,ACGAM6PS
90,GGT_L
91,MTMOHT
92,CDAPPA120
93,DAGCPT_SC
94,GLCPcom_SA
95,G3PAT2264Z7Z10Z13Z16Z19Z_c
96,PLDAGAT_LNA_EPA_LNA_PC_1_c
97,PGPP120
98,HMR_1532
99,3HAD160
100,DAGAH_DHA_ARA_c
101,FASm220
102,PLPSA21819Z1835Z9Z12Z
103,AGPAT161
104,PINOS
105,PEFLIP
106,PLDPC_OLE_ARA_c
107,CDAPPA141
108,FAOXC226
109,PAPA_MYRS_ARA_c
110,FASm280
111,PLDAGAT_MYRS_EPA_PALM_PC_3_c
112,lipid6
113,HC02195c
114,PGSA180
115,METHFtxc
116,ETHAPT_PALM_HDE_c
117,RE1835C
118,ARACHTA
119,AGPAT140
120,PGPP_EC
121,DAGCPT
122,PGSA141
