,rxns_added
0,DOLPGT2
1,UGLDDS2_1
2,DNADDP
3,DOLASNT_c
4,ALAALACNc
5,MYCSacp50
6,GLCNACPT_L
7,EX_cysleuthr_e
8,NEU310enhs
9,2_PERIOD_4_PERIOD_1_PERIOD_141
10,GDPtmt
11,DOLPMT3
12,MSULR
13,ASADH
14,VALLEUPHEr
15,DOLPMT2
16,PSP_L
17,EX_fadh2_c
18,RIBFS
19,PGPPT3
20,PGSA141
21,NADPtu
22,PGSA160
23,PGSA140
24,G1P_pi_th
25,G12MT4_c
26,PINOS
27,GNNUC
28,ASPSAth
29,DHAD2
30,DMRLMS_h
31,UDPGtnic
32,THRHISHISt
33,UAGPT2
34,HMR_0822nhs
35,EX_thrhishis_e
36,DOLPMT2_c
37,DHPR2
38,DOLDPP_pf
39,PGSA181
40,DOLPGT1_c
41,QULNS
42,AMPt_m
43,GMPt6
44,G16MT_cho
45,EX_valleuphe_e
46,FldAct
47,aratyr2
48,UM4PCP
49,ADK3m
50,ACNAMt2
51,TRPTHRILEr
52,PGSA180
53,G13MT_cho
54,KARA2
55,AMPMS2
56,THRILEARGr
57,lipid4
58,DOLPMT1
59,TRPTHRILEt
60,HMR_3915
61,ATPS_h
62,NEU39enhs
63,EX_trpthrile_e
64,PTD1INOt
65,ILEARGILEt
66,CYSLEUTHRt
67,DOLPMT_L
68,GTPtmt
69,UGMDDS2
70,HMR_0825nhs
71,FDMO2
72,GD1Ctenhs
73,NOR_syn
74,DOLPGT1
75,VALLEUPHEt
76,NADS2
77,PYDXO
78,HMR_0855nhs
79,DOLASNT_pf
80,MYC2CYC1
81,G3PT
82,GGCHLDAR
83,EX_ga1_enhs
84,DB4PS_h
85,MG1B
86,F6PP
87,PGSA120
88,EX_galgluside_enhs
89,ILEARGILEr
90,MYC1CYC1
91,INSK
92,ASPth
93,G12MT1_cho
94,HMPK1
95,THRHISHISr
96,HPYRI
97,CYSLEUTHRr
98,PS_asn__L_c
99,NDH2_syn
100,EX_thrilearg_e
101,DOLPGT3
102,PSERT
103,AHMMPS_1
104,HMR_0841nhs
105,DTTPt
106,FMNACP_h
107,UAAGLS2
108,CMPDAi
109,5FTHFt2_1
110,UGAGDS
111,ADPHt_h
112,LEUTYRTYRt
113,EX_5fthf_e
114,PGSA161
115,HMR_9640nhs
116,DOLPMT4
117,FADt_h
118,DOLPGT3_c
119,THFGLUH
120,DOLDPP
121,EX_ptd1ino_e
122,PAPPT2
123,EX_ileargile_e
124,SPS
125,ALAALAD
126,EX_dttp_e
127,DOLPGT2_c
128,PUNP3
129,ASPO6_1
130,PHETHPTOX
131,HPYRP
132,LEUTYRTYRr
133,THRILEARGt
134,ASPK_1
135,PUNP5
136,GMPR
137,NADPPPS
138,NDH1_2u
139,R5Pth
140,UAAGDS
141,CHLAE
142,EX_leutyrtyr_e
143,HSDxi
144,NNDPR
145,RPIh
