,rxns_added
0,CMPN
1,PHEPHEASNr
2,PLDAGAT_LNA_EPA_ARA_PE_13_c
3,AGPATCOA_HDE_HDE_c
4,PSP_L
5,DAGAH_OLE_OLE_c
6,NMNt7
7,3HAD140
8,ETHAPT_PALM_PALM_c
9,MAGAH2055Z8Z11Z14Z17Z_c
10,NMNP
11,SUCCtmt
12,PLDAGAT_HDE_EPA_LNA_PE_15_c
13,LPCAT_OLE_GLNA_sn2_c
14,PLA2PC_EPA_EPA_c
15,PLDAGAT_EPA_EPA_LNA_PC_7_c
16,PLDPE_EPA_LNA_c
17,SO4HCOtex
18,PAPA_LNA_HDE_c
19,PIP4K_LNA_HDE_c
20,DAGCPT
21,CDIPT_PALM_LNA_c
22,PLDAGAT_HDE_PALM_LNA_PE_15_c
23,THRHISHISr
24,pe_prod8
25,PAPA_EPA_EPA_c
26,ETHAPT_STC_LNA_c
27,EX_phepheasn_e
28,ETHAPT
29,PCD12DS_LNA_PALM_sn1_c
30,AGPAT120
31,PLA2PE_OLE_DHA_c
32,ETHAPT_STC_GLNA_c
33,PCD6DS_OLE_GLNA_sn2_c
34,EX_histrphis_e
35,NNDPR
36,ASPOcm_1
37,TYRPHETYRr
38,AGPATCOA_HDE_EPA_c
39,GMPt6
40,ETHAPT_STC_ARA_c
41,DAGAH_LNA_DHA_c
42,PLDAGAT_MYRS_HDE_HDE_PC_5_c
43,UDPGtnic
44,RHACOAR140
45,CHOPT_LNA_LNA_c
46,CLPNSm_SCc
47,PLDAGAT_MYRS_HDE_HDE_PC_8_c
48,HISTRPHISt
49,CHOPT_OLE_PALM_c
50,AGPAT181
51,pe_prod15
52,PLDPC_EPA_EPA_c
53,PLDPC_LNA_HDE_c
54,LPCAT_LNA_PALM_sn2_c
55,PAPA_STC_GLNA_c
56,ETHAPT_OLE_DHA_c
57,PGSA120
58,TYRPHETYRt
59,pe_prod12
60,QULNS
61,ETHAPT_OLE_OLE_c
62,HISTRPHISr
63,ARTFR52nhs
64,LPCAT_STC_STC_sn2_c
65,EX_tyrphetyr_e
66,CDIPT_EPA_EPA_c
67,ETHAPT_LNA_LNA_c
68,CDPDAGS_EPA_EPA_c
69,DAGAH_STC_ARA_c
70,LPCAT_STC_EPA_sn2_c
71,DAGAH_EPA_LNA_c
72,KAT6
73,CHOPT_STC_EPA_c
74,ETHAPT_LNA_DHA_c
75,ACOADAGAT_MYRS_EPA_PALM_c
76,GMPR
77,PIPLC_LNA_HDE_c
78,PLDAGAT_HDE_ARA_HDE_PC_5_c
79,CMPDAi
80,PLDPE_HDE_EPA_c
81,DAGAH_STC_LNA_c
82,HMR_0378
83,ETHAPT_PALM_LNA_c
84,PLA2PE_HDE_EPA_c
85,CHOPT_OLE_DHA_c
86,ETHAPT_STC_EPA_c
87,AGPAT141
88,ETHAPT_MYRS_MYRS_c
89,PLD_SC
90,PLDAGAT_HDE_EPA_LNA_PE_13_c
91,PLA2PC_OLE_DHA_c
92,PLA2PE_OLE_OLE_c
93,DAGAH_LNA_STC_c
94,lipid3
95,pc_prod
96,DAGK141
97,NADPPPS
98,PLA2PC_STC_GLNA_c
99,PLDAGAT_LNA_EPA_ARA_PE_12_c
100,PHEPHEASNt
101,CDPDAGS_PALM_LNA_c
102,PAPA_HDE_EPA_c
103,PLDAGAT_MYRS_EPA_PALM_PE_13_c
104,ETHAPT_EPA_LNA_c
105,RTOT5nhs
106,DAGK120
107,PLDAGAT_HDE_EPA_DHA_PE_16_c
108,CDAPPA120
109,PLDPC_EPA_LNA_c
110,EX_thrhishis_e
111,DAGK181
112,FUMtmt
113,THRHISHISt
114,PIP5P_LNA_HDE_c
115,CHOPT_STC_STC_c
116,PLDAGAT_HDE_PALM_LNA_PE_10_c
117,PIP3P_LNA_HDE_c
118,ETHAPT_OLE_PALM_c
119,ACOADAGAT_HDE_EPA_DHA_c
120,lipid2
121,PLA2PE_LNA_ARA_c
122,PLDAGAT_EPA_EPA_LNA_PE_12_c
123,3HAACOAT140
124,PLDPC_STC_GLNA_c
125,PLDAGAT_HDE_ARA_HDE_PE_11_c
126,NTD4
127,PAPA_PALM_LNA_c
128,PCD12DS_LNA_LNA_sn1_c
129,DAGCPT_SC
130,ETHAPT_HDE_HDE_c
