,rxns_added
0,VPAMTr
1,PAPA140
2,PLDAGAT_MYRS_EPA_GLNA_PC_6_c
3,NMNt7
4,LPCHOLtnhs
5,TYRTRPPHEr
6,AGPAT180
7,PLDAGAT_LNA_EPA_LNA_PC_4_c
8,CHOPT_HDE_OLE_c
9,LPEAT_LNA_GLNA_sn2_c
10,SMSnhs
11,ETHAPT_EPA_EPA_c
12,EX_phepheasn_e
13,GCATENEC
14,PGPP161
15,PLA2PE_PALM_HDE_c
16,LYCOPC
17,PLPSA218111Z1845Z9Z12Z15Z
18,RE0958E
19,PHEPHEASNr
20,LPLIPAL2G120
21,ALOX15
22,PLDAGAT_PALM_EPA_EPA_PE_11_c
23,PLPSA21801829Z12Z
24,PLDAGAT_LNA_EPA_ARA_PC_1_c
25,LPCH1829Z12Z_sn1_c
26,ETHAPT_STC_LNA_c
27,PAPA_EPA_ARA_c
28,PLA2PE_OLE_DHA_c
29,ACOADAGAT_HDE_ARA_ARA_c
30,PCD6DS_DHA_GLNA_sn2_c
31,PLDAGAT_LNA_EPA_LNA_PE_11_c
32,ETHAPT_PALM_PALM_c
33,ACOADAGAT_HDE_EPA_PALM_c
34,HMR_8576
35,PLDAGAT_HDE_PALM_EPA_PE_11_c
36,CDAPPA_EC
37,PLDAGAT_EPA_EPA_EPA_PE_11_c
38,EX_tyrphetyr_e
39,PLA2_2nhs
40,PAPA_OLE_GLNA_c
41,pe_prod2
42,HMR_2558
43,PGPP141
44,PLDAGAT_EPA_EPA_ARA_PC_7_c
45,LPEAT_HDE_ARA_sn2_c
46,EX_retinol_e
47,PLDPC_PALM_OLE_c
48,CHLP
49,DAGK120
50,ETHAPT_LNA_GLNA_c
51,OPHHXy
52,ETHAPT_HDE_LNA_c
53,PAPA_EC
54,DAGK141
55,PLA2PC_PALM_OLE_c
56,TYRPHETYRr
57,LPCAT_OLE_PALM_sn2_c
58,HMR_8567
59,CRMtenhs
60,ECOAH3_1c
61,ETHAPT_OLE_DHA_c
62,pc_prod
63,GLCS2
64,PCW3DS_DHA_EPA_sn2_c
65,CDAPPA141
66,PCW3DS_HDE_EPA_sn2_c
67,LEUTAi
68,AGPATCOA_EPA_EPA_c
69,EX_retfa_e
70,PAPA_EPA_LNA_c
71,ETHAPT_STC_STC_c
72,PLDPE_HDE_HDE_c
73,PLDAGAT_DHA_EPA_ARA_PC_7_c
74,PLPSD18111Z1819Z
75,ACOADAGAT_EPA_EPA_ARA_c
76,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
77,DAGAH_EPA_DHA_c
78,DHCRD1
79,AGPATCOA_EPA_PALM_c
80,RETHe
81,PLPSD18111Z1845Z9Z12Z15Z
82,PLPSD1819Z1845Z9Z12Z15Z
83,TYRPHETYRt
84,PLDPC_STC_LNA_c
85,PCD12DS_OLE_LNA_sn2_c
86,PLDPE_MYRS_MYRS_c
87,PGSA161
88,PLDAGAT_LNA_EPA_ARA_PC_5_c
89,PCD12DS_LNA_DHA_sn1_c
90,SMS
91,PEPT_EC
92,ETHAPT_OLE_OLE_c
93,RE0958C
94,LPCAT_EPA_ALNA_sn2_c
95,NMNP
