,rxns_added
0,VALTRPVALt
1,FAOXC6C4m
2,PAPA_OLE_STC_c
3,PCD12DS_LNA_LNA_sn1_c
4,PLDAGAT_HDE_EPA_DHA_PE_11_c
5,FAOXC10080m
6,HDCACBP
7,AGPATCOA_PALM_EPA_c
8,SLCBK1
9,PLDPE_OLE_STC_c
10,C160CRNt
11,r2374
12,HMR_0410
13,PLDAGAT_PALM_HDE_HDE_PE_12_c
14,HMR_4771
15,HMPK4
16,LPCAT_STC_DHA_sn2_c
17,AKGt2n
18,PLA2PC_OLE_OLE_c
19,SMPD3l_host
20,ALASm
21,HMR_7256
22,PLPSA218111Z1845Z9Z12Z15Z
23,THRTHRARGr
24,5FTHFt2_1
25,r0317
26,GLUth
27,ACP1819ZD9DS_h
28,FPGS7
29,ECOAH5m
30,PIP4K_PALM_LNA_c
31,DAGAH_HDE_HDE_c
32,pe_prod8
33,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
34,GART
35,PLDAGAT_HDE_EPA_DHA_PE_13_c
36,EX_5fthf_e
37,FAOXC8C6m
38,PLDAGAT_EPA_EPA_EPA_PE_9_c
39,ALCDH_nadp_hi
40,pe_prod6
41,PPAP_cho
42,AHMMPS
43,PLA2PE_OLE_STC_c
44,PIPLC_PALM_LNA_c
45,10FTHF5GLUtm
46,NADHtm
47,PLDAGAT_HDE_EPA_LNA_PC_2_c
48,NTRIR2x
49,DNDPt42m
50,PAPA_PALM_EPA_c
51,ALAALACNc
52,RE3051C
53,OCOAT1m
54,PHEPHETHRt
55,HACD1m
56,NADPtu
57,PAPA_PALM_HDE_c
58,THRTHRARGt
59,PLDPC_PALM_LNA_c
60,PIPLC
61,GLCNACPT_L
62,ACACT6m
63,AGPATCOA_PALM_HDE_c
64,FDMO
65,DAGCPT
66,PIP3P_PALM_EPA_c
67,MOGATnhs
68,PCD12DS_OLE_LNA_sn2_c
69,ARTFR42_cho
70,PI4P5K_PALM_EPA_c
71,PLDPE_MYRS_EPA_c
72,EX_valtrpval_e
73,CRMtenhs
74,GPIAT
75,PIACGT
76,pe_prod5
77,ETOHth
78,ETHP
79,PAPA18111Z1819Z
80,KAT4
81,pe_prod15
82,PRAGSr
83,UDPGtnic
84,lipid2
85,PLDPC_OLE_OLE_c
86,PCtnhs
87,PPBNGS_1c
88,EX_dag_hs_e
89,ETHAPT_SC
90,CHOPT_OLE_STC_c
91,PLD_SC
92,AGPATCOA_MYRS_EPA_c
93,LPEH1829Z12Z_sn1_c
94,PI34P5K_cho
95,KARI_23dhmbc
96,EX_thrthrarg_e
97,DOLDPP_pf
98,ARTFR202_cho
99,PLDPE_PALM_DHA_c
100,PLDPE_LNA_LNA_c
101,DAGAH_HDE_ARA_c
102,ETHAPT_PALM_DHA_c
103,NADPPPSm
104,AKGCITtm
105,SHSL4h
106,SERt2m
107,PLPSA21801829Z12Z
108,MAGAH1829Z12Z_c
109,GPAM_cho
110,THRHISHISr
111,PLDAGAT_EPA_EPA_EPA_PE_11_c
112,MLTHFtmt
113,PLDAGAT_EPA_EPA_DHA_PE_11_c
114,HDDACBP
115,r1464
116,PLPSA218111Z1829Z12Z
117,PLDAGAT_MYRS_EPA_ARA_PC_6_c
118,DEDOLR
119,LPEAT_DHA_ALNA_sn2_c
120,GLUNA1th
121,ACGPID
122,r2375
123,NNATr
124,PLA2PE_MYRS_HDE_c
125,ACOADAGAT_MYRS_EPA_ARA_c
126,2_PERIOD_4_PERIOD_1_PERIOD_141
127,PI4P5K_PALM_LNA_c
128,r1451
129,AMPMS2
130,AGPAT181_9
131,PLDAGAT_LNA_EPA_ARA_PC_6_c
132,H2Othu
133,METtm
134,r2376
135,CS
136,ETHAPT_PALM_LNA_c
137,ETHAPT_HDE_EPA_c
138,GLUTCOAACBP
139,PLDAGAT_LNA_EPA_ARA_PE_11_c
140,AGPATCOA1819Z1819Z
141,TSR
142,PHEPHETHRr
143,SHSL1h
144,LPCAT_STC_HDE_sn2_c
145,EX_thrhishis_e
146,NADPPPS
147,ADNtm
148,PIP4K_PALM_EPA_c
149,EX_phephethr_e
150,FADH2tm
151,GSNt5
152,DHCRD1
153,EX_sphmyln_enhs
154,CHLP
155,AMPt_m
156,THRA_1
157,ETHAPT_STC_DHA_c
158,FACOAE1839Z12Z15Z
159,CARN160t_m
160,FAOXC1611402m
161,r0541
162,CHOPT_STC_DHA_c
163,CHOPT_LNA_LNA_c
164,EX_fadh2_c
165,r2514m
166,SMS21enhs
167,PLDAGAT_DHA_EPA_DHA_PE_13_c
168,r1447
169,AGPATCOA_PALM_DHA_c
170,HMR_4772
171,ETHAPT_HDE_ARA_c
172,SMSnhs
173,GHMT2r_m
174,GLUPRT
175,LPCAT_OLE_STC_sn2_c
176,ECOAH1m
177,HACD6m
178,HMR_4957
179,ETHAPT
180,GLYNA1th
181,CHOPT_STC_HDE_c
182,G3PAT181_9
183,PLDAGAT_HDE_EPA_DHA_PE_16_c
184,VALTRPVALr
185,FA40COAtm
186,DAGAH_LNA_DHA_c
187,HMBS
188,THRHISHISt
189,ECOAH4m
190,PLDAGAT_PALM_HDE_HDE_PE_9_c
191,NADPHtmt
192,NADPtmt
193,AICART
194,GMPR
195,5AOPtmt
196,FPGS7m
197,ETHAPT_HDE_HDE_c
198,PLDPE_PALM_LNA_c
199,PLDAGAT_EPA_EPA_DHA_PE_10_c
200,LPS3nhs
201,METSm
202,AGPATCOA18111Z1819Z
203,H2Otu_syn
204,AHCYStmt
205,r0426
206,ACOADH140_m
207,DHAD1
208,ECOAH3_1c
209,PAPA182_9_12
210,DNDPt18m
211,VPAMTr
212,DSAT
213,r0853
214,GMPt6
215,PRFGS
216,DCTPD2
217,FORtm
218,AICART2
219,ECOAH6m
220,PLDAGAT_HDE_EPA_LNA_PE_13_c
221,CHOPT_PALM_DHA_c
222,CYSDO
223,NO2th
224,PIPLC_PALM_EPA_c
225,DOLK
226,AGPAT1_cho
227,ARTCOAL2_cho
228,ACACT5pc
229,PRFGCL
230,GSNt
231,PIP3K_PALM_LNA_c
232,DAGCPT_SC
233,ACOAR3mc
234,pc_prod
235,RTOT_2_cho
236,PSP_L
237,KARI_3hmoac
238,PLDAGAT_DHA_EPA_DHA_PE_12_c
239,ETHAPT_STC_HDE_c
240,ETHAPT_LNA_DHA_c
241,PLDAGAT_EPA_EPA_DHA_PC_2_c
242,PAPA1819Z1819Z
243,PLA2PE_PALM_ALNA_c
