,rxns_added
0,CMPACNAtn
1,ENTERGLCT1
2,PAPA_PALM_LNA_c
3,AGPATCOA_STC_PALM_c
4,CHTNS
5,ALAALAD
6,TYRTRPPHEt
7,AGPAT161
8,PCW3DS_OLE_EPA_sn2_c
9,HMR_0271
10,R_group_phosphotase_2
11,PLDAGAT_HDE_PALM_LNA_PE_13_c
12,LPEAT_OLE_ARA_sn2_c
13,NEU310enhs
14,GPIAT
15,ETHAPT_EPA_EPA_c
16,DAGAH_HDE_HDE_c
17,MLTG3
18,ETHAPT_PALM_LNA_c
19,ETHAPT_EPA_LNA_c
20,LPCAT_OLE_EPA_sn2_c
21,CMPSASn
22,PCD12DS_LNA_EPA_sn1_c
23,LPCAT_EPA_GLNA_sn2_c
24,NEU25nhs
25,HMR_0410
26,ACNAMtn
27,PCW3DS_EPA_EPA_sn2_c
28,FACOAE60
29,PLD_SC
30,CMPDAi
31,pe_prod5
32,PCD12DS_LNA_LNA_sn1_c
33,PLA2PA_EPA_LNA_c
34,AGPAT1819Z18111Zhc
35,HMR_0843nhs
36,HMR_0272
37,AGPATCOA_MYRS_MYRS_c
38,AGPATCOA_STC_OLE_c
39,PI45PLC_cho
40,TYRTRPPHEr
41,DAGK120
42,pe_prod15
43,pe_prod6
44,PLDPC_OLE_PALM_c
45,ACNAMt2
46,NNDPR
47,TECA1S
48,AKGt2n
49,ETHAPT_STC_LNA_c
50,DAGCPT
51,pe_prod4
52,GMPt6
53,MNLDHr
54,ETHAPT_STC_STC_c
55,AGPATCOA_MYRS_DHA_c
56,CDPtn
57,CHOPT_PALM_HDE_c
58,CHOPT_LNA_LNA_c
59,PLDPC_LNA_ARA_c
60,TYRPHETYRt
61,CHOPT_MYRS_DHA_c
62,NEU22nhs
63,NAPT
64,NDH1_4pp
65,ETHAPT_OLE_ARA_c
66,RE2675C_1nhs
67,LPS3_cho
68,MNLDH2
69,DAGAH_STC_LNA_c
70,AGPAT120
71,CDAPPA141
72,C181CPT1
73,CBFC2pp
74,PLA2PE_LNA_ARA_c
75,NCAMUP
76,PEFLIP
77,ENTERGLCT2
78,PGSA141
79,pe_prod7
80,pc_prod
81,DAGAH_STC_PALM_c
82,PAIL_CHOtn
83,TECA2S
84,LPS2_cho
85,DAGAH_HDE_DHA_c
86,HMR_0842nhs
87,lipid3
88,DCTPtm_cho
89,DSATnhs
90,HMR_0378
91,PGSA140
92,AGPAT181
93,PLDAGAT_PALM_HDE_PALM_PC_4_c
94,G6Pt6er
95,PLDPC_PALM_LNA_c
96,LPCAT_EPA_EPA_sn2_c
97,PLPSA21801835Z9Z12Z
98,DAGAH_EPA_LNA_c
99,UMPtn
100,PLDAGAT_LNA_EPA_LNA_PC_2_c
101,NEU39enhs
102,DAGK141
103,PLPSA21819Z1829Z12Z
104,EX_tyrphetyr_e
105,PLDAGAT_HDE_HDE_LNA_PE_16_c
106,ACGAM6PS
107,AGPATCOA_PALM_HDE_c
108,LPEAT_OLE_LNA_sn2_c
109,GMPR
110,CHOPT_EPA_OLE_c
111,HMR_2380
112,EX_tyrtrpphe_e
113,MIPCS124_SC
114,PIACGT
115,AGPATCOA1819Z1819Z
116,PLDAGAT_LNA_EPA_LNA_PC_1_c
117,TAGO
118,LPCAT_STC_LNA_sn2_c
119,AGPAT141
120,FE2t3pp
121,QULNS
122,PIK5n_cho
123,HMR_0770nhs
124,UDPGtnic
125,ANNAT
126,HMR_0855nhs
127,PLDAGAT_HDE_PALM_LNA_PC_1_c
128,APH141
129,ARTFR207_cho
130,PIK4_cho
131,FEENTERR3
132,GD1Ctenhs
133,HMR_0761nhs
134,FE2tex
135,DAGCPT_SC
136,LPCAT_OLE_PALM_sn2_c
137,PIPLC
138,MIPC124PLC_SC
139,CERS124
140,PAPA_EPA_OLE_c
141,AGPATCOA_HDE_EPA_c
142,PLDAGAT_PALM_EPA_LNA_PE_16_c
143,HMR_0837nhs
144,PAPA_HDE_EPA_c
145,CHITN1
146,PLA2PC_STC_PALM_c
147,PAPA_OLE_ARA_c
148,EX_ga1_enhs
149,ETHAPT
150,MIPC224PLC_SC
151,PCHOLN15_HSPLA2nhs
152,NADPPPS
153,PAPA_MYRS_DHA_c
154,PI345P3P_cho
155,HMR_2347
156,DNDPt55m
157,G3PAT2055Z8Z11Z14Z17Z_c
158,PLPSA21801829Z12Z
159,PCD12DS_LNA_LNA_sn2_c
160,LDL_HSSYNnhs
161,PLDPC_STC_PALM_c
162,CHOPT_MYRS_MYRS_c
163,UMPK3n
164,LPEAT_EPA_EPA_sn2_c
165,RTOT2_cho
166,PAPA18111Z1819Z
167,PLDAGAT_PALM_EPA_ARA_PC_7_c
168,FDH6pp
169,HMR_0823nhs
170,PI345P5P_cho
171,ETHAPT_HDE_HDE_c
172,CO2tpp
173,HMR_2657
174,F6PP
175,PLDPE_LNA_ARA_c
176,RTOT5_cho
177,PLDPC_OLE_LNA_c
