,rxns_added
0,AGPAT1601819Zhc
1,HMR_2703
2,CRNtHa
3,AGPAT120
4,DAGAH_OLE_LNA_c
5,NNDPR
6,r1468
7,PI3P4K_cho
8,CHOPT_PALM_EPA_c
9,CHOPT_STC_HDE_c
10,PHEPHEASNr
11,RNTR1c
12,NTD3
13,PLA2PE_PALM_OLE_c
14,ETHAPT_OLE_ARA_c
15,PLDAGAT_EPA_EPA_ARA_PE_14_c
16,HMR_3110
17,RE0574C
18,PLDAGAT_HDE_EPA_LNA_PC_5_c
19,LDL_HSSYNnhs
20,EX_tyrphetyr_e
21,PI345P3P_cho
22,MMSAD1m
23,PTRCOX1
24,RE1803C
25,DAGK120
26,PLPSA218111Z1829Z12Z
27,PLIPA2E181
28,FAOXC226
29,ACOADAGAT_EPA_EPA_ARA_c
30,CDAPPA180
31,APH120
32,BUP2
33,RE0576C
34,DAGAH_OLE_ARA_c
35,PCD12DS_LNA_LNA_sn1_c
36,CDAPPA160
37,FACOAL240
38,ARACHCPT1
39,NTD4
40,RE0575C
41,lipid6
42,ARTCOAL3_cho
43,pi_prod3
44,APG3PAT141
45,PLA2_2enhs
46,AGPAT1801819Zhc
47,PUNP3
48,PINOS
49,CDIPTr_cho
50,FAO181p_evenc
51,PYNP2r
52,NADPPPS
53,ARTPLM2
54,NADPPPSm
55,lipid5
56,EX_phepheasn_e
57,FPGS9
58,ETHAPT_PALM_EPA_c
59,HISTRPHISt
60,ARACHCRNt
61,PLDAGAT_HDE_MYRS_LNA_PE_14_c
62,PASYN_EC
63,PLA2PC_PALM_ARA_c
64,NTD9
65,FUMtmt
66,PIACGT
67,MCITLmc
68,HISTRPHISr
69,HMPK3
70,O2tm
71,PLA2_2nhs
72,NNATr
73,LPLIPA2
74,PLDAGAT_HDE_PALM_LNA_PE_12_c
75,r0739
76,GARFT
77,DAGCPT_SC
78,FAO3
79,CHOPT_STC_EPA_c
80,PLA2PE_PALM_PALM_c
81,HMR_2704
82,r1384
83,PI345P5P_cho
84,C226CRNt
85,EX_HC00005_e
86,ARTCOAL1
87,AGPATCOA_LNA_LNA_c
88,ARTFR11_cho
89,PLDPE_PALM_PALM_c
90,PAPA182_9_12
91,NTD10
92,ACOADAGAT_OLE_EPA_DHA_c
93,CDCA6AH
94,CDAPPA140
95,ETHAPT_OLE_LNA_c
96,UREA
97,GPIAT
98,DCHOLESTANCOAc
99,PSERT
100,ARTPLM1
101,MCITLm
102,HISHISLYSr
103,EX_ribflv_e
104,3AIB_Dtm
105,EX_5fthf_e
106,PLDAGAT_MYRS_ARA_HDE_PC_4_c
107,PI45PLC_cho
108,ACGPID
109,CMPN
110,CHOPT_PALM_HDE_c
111,PLA2PE_STC_STC_c
112,CDAPPA181
113,GART
