,rxns_added
0,r2374
1,ECOAH5
2,PSSA161
3,CTECOAI6
4,PIN4K
5,CDAPPA181
6,GLYCtm
7,PLA2PE_PALM_DHA_c
8,ACNPLYS
9,HMR_0876nhs
10,1AGPEAT1819Z1829Z12Z
11,G3PD2m
12,LYSTYRILEt
13,ACOAD1f
14,PLDAGAT_OLE_EPA_DHA_PE_13_c
15,AGPAT181
16,r1529
17,FADOX
18,lipid3
19,PLDPE_HDE_ARA_c
20,ACOAO5pc
21,NADK3
22,LPCH1829Z12Z_sn1_c
23,ECOAR
24,pe_prod12
25,PLDAGAT_HDE_EPA_PALM_PC_2_c
26,OCTAt
27,PGSA140
28,LYSLYSLYSr
29,PAPA_STC_ARA_c
30,PLA2PE_HDE_ARA_c
31,AGPATCOA_EPA_EPA_c
32,PI4P5K_pf
33,PI45BPP
34,LDH_D1
35,FMFTSPFT_b
36,GALT1
37,ETHAPT_EPA_STC_c
38,HACD2
39,CMPDAi
40,GLBRAN
41,H2MPTR
42,FASm260
43,PLDPE_HDE_LNA_c
44,LPLIPA2
45,ETHAAL
46,CODHr
47,2_7_8_3
48,EX_adprbp_e
49,ACOADAGAT_PALM_EPA_DHA_c
50,C100SN
51,GLGNS1
52,GDPMNP
53,APG3PAT160
54,AGPAT140
55,PLDAGAT_OLE_EPA_DHA_PE_10_c
56,PGPPAm_SC
57,FA120ACPHi
58,PLDAGAT18111Z18111Z1819Z1
59,QUILSYN
60,DAGK_18_1_18_2nhs
61,NEU24nhs
62,CYOO6m
63,MTHFD
64,ACOAD2f
65,F4MTSPD
66,SUCCtmt
67,PLDPC_PALM_OLE_c
68,FCYTOB5OXR_c
69,ASPTA6
70,DAGAH1601819Z
71,EX_leuleu_e
72,CYSLY3
73,PLDPC_PALM_PALM_c
74,PLA2PA_EPA_STC_c
75,ACGAMT
76,PAPt
77,PAPA_EPA_STC_c
78,FKYNH
79,BGAL1enhs
80,PLA2PC_PALM_OLE_c
81,PGPP161
82,PSSA2_cho
83,HMR_0855nhs
84,PREPTHS2
85,EX_pap_e
86,PGPP141
87,CHOPT_HDE_DHA_c
88,CITt2r
89,H4MPTS15
90,GHMT2r
91,METHFtxc
92,DAGAH_HDE_DHA_c
93,HCO3E
94,LPCAT_HDE_GLNA_sn2_c
95,GLUR
96,DHAD1
97,EX_amet_e
98,ARTCOAL2
99,G16MT_U
100,lipid4
101,ECOAH1
102,DHCRD1nhs
103,PAPA_LNA_OLE_c
104,GPAM_hsnhs
105,HMR_0841nhs
106,NMNP
107,CS
108,DHORD3
109,PLPSA21801819Z
110,HISLYSTHRt
111,SULO
112,LPS
113,ACAFDOR
114,3HAACOAT60
115,UGMAS
116,NADNe
117,ASNS2
118,AMETt
119,PLA2PC_EPA_LNA_c
120,UGGPT3
121,LPCAT_STC_STC_sn2_c
122,EX_thrthrarg_e
123,ARI
124,NADDPe
125,PGSA161
126,DCTPD2
127,DAGAH_LNA_GLNA_c
128,PLIPA2E120
129,TSR
130,EX_lystyrile_e
131,HISLYSTHRr
132,VPAMTr
133,NADPNe
134,QULNS
135,SBPP1
136,PLDAGAT_PALM_EPA_DHA_PC_2_c
137,ETHAPT_OLE_PALM_c
138,ETHAPT_OLE_DHA_c
139,PHTHDLS2
140,GLPASE2a
141,RE3175C
142,3HAO
143,FASm240
144,RE3172C
145,CDIPTr_18_1_18_2nhs
146,DAGAH_OLE_HDE_c
147,PLA2PC_HDE_LNA_c
148,GAT_c
149,r0853
150,GTHOXti
151,PTHPS
152,RE3154C
153,AMPDA
154,H4MPTS14
155,APG3PAT140
156,ACOAO6pc
157,UGAGDS
158,HMR_0911nhs
159,AGPAT1_cho
160,CDAPPA140
161,CDAPPA161
162,DAGAH_HDE_OLE_c
163,ASPO5
164,EAR40x
165,PLIPA2A120
166,DAGK120
167,DAGCPT
168,PCD12DS_LNA_PALM_sn1_c
169,3OAS60
170,pe_prod15
171,LPCAT_STC_OLE_sn2_c
172,PHTHS2
173,LPCH2055Z8Z11Z14Z17Z_sn1_c
174,VALLEUPHEr
175,PCD12DS_LNA_LNA_sn1_c
176,ETHAPT_LNA_GLNA_c
177,DAGK_EC
178,ANNAT
179,GLUVESSEC
180,DCPDPP2
181,GLCt1
182,PINOS
183,PCD6DS_HDE_GLNA_sn2_c
184,ETHAPT_STC_LNA_c
185,CRMtenhs
186,PAPA_STC_LNA_c
187,ECHH_10
188,PPDIMAS
189,SPR
190,EX_lyslyslys_e
191,3HAD40_2
192,PREPPACPH
193,PLDAGAT_OLE_HDE_OLE_PC_2_c
194,ALDD16
195,PPS
196,ARTFR41_cho
197,PLDPC_EPA_EPA_c
198,PLIPA2A161
199,F4MTSPR
200,CHOPT_LNA_LNA_c
201,PFL
202,RE3174C
