,rxns_added
0,DAGK141
1,EX_fad_e
2,PCW3DS_MYRS_EPA_sn2_c
3,PI345P3P_cho
4,GAT1_LLA
5,NADH6
6,CEPTCnhs
7,HXAND
8,PSERT
9,DHAP_pi_thr
10,PGCD
11,LPLIPAL1E120
12,PCD5DS_STC_EPA_sn2_c
13,DGDGGH1819Z1617Z
14,ACOADAGAT_DHA_EPA_ARA_c
15,O2trhu
16,PIN4K
17,EX_hislysthr_e
18,PAPA1801819Z
19,FATP2t
20,ETHAPT_STC_LNA_c
21,HMR_2380
22,MTHFR5
23,FACOAE60
24,EX_phepheasn_e
25,pe_prod12
26,ECOAH2_1c
27,ETHAPT_STC_STC_c
28,HISLYSTHRr
29,EX_lyslyslys_e
30,RE0453C
31,ECOAH4
32,PLIPA1E181pp
33,PCD12DS_LNA_HDE_sn1_c
34,DAGAH_STC_ALNA_c
35,EX_retfa_e
36,GLCt1
37,PIK3_cho
38,PREPTHS
39,SUCOASm
40,ETHAPT_MYRS_ARA_c
41,ETHAPT_PALM_ARA_c
42,CHOPT_MYRS_MYRS_c
43,MGDGD7DS1819Z1617Z
44,PHEPHEASNr
45,HMR_1751
46,3OAS60
47,RNTR3c
48,ACOAD5_1
49,AGPATCOA_MYRS_MYRS_c
50,GPDDACHOL
51,MGDGW6DS1829Z12Z1627Z10Z2
52,H2O2t
53,r1254
54,PAPA120
55,MDHm
56,CHOPT_LNA_LNA_c
57,CITt2r
58,EX_pdima_e
59,pe_prod9
60,ETHAPT_DHA_HDE_c
61,OAAtmt
62,THRASNTYRr
63,THYMDt1
64,PLIPA2E181pp
65,3NTD2pp_1
66,ARTFR207nhs
67,ASNMETPROr
68,G3PD2_1
69,G16MTM7
70,PLA2PE_STC_ALNA_c
71,LYSLYSLYSr
72,RHACOAR140
73,GLNt
74,NADN
75,PIACGT
76,CDIPTr_cho
77,EX_sphmyln1824_hs_e
78,CEPTE_20_4_20_4nhs
79,PLDAGAT_OLE_EPA_EPA_PE_10_c
80,LPCAT_DHA_OLE_sn2_c
81,DNDPt44m
82,r0870
83,PPAPnhs
84,PMETM_SC
85,HACD4
86,G3PAT120
87,1AGPEAT1801829Z12Z
88,ETHAPT_HDE_HDE_c
89,ACACT5r_1
90,EX_5fthf_e
91,GLS2
92,DAGAH_DHA_HDE_c
93,GLPASE2a
94,r2381
95,PLDAGAT_OLE_EPA_EPA_PE_11_c
96,DAGAH_PALM_HDE_c
97,HISTRPHISt
98,DAGAH_DHA_GLNA_c
99,ACOADAGAT_HDE_ARA_ARA_c
100,GLS2e
101,PI4P5K_PALM_PALM_c
102,NADHDH
103,PLDAGAT_HDE_HDE_LNA_PC_4_c
104,PLA2PE_HDE_OLE_c
105,MG2_c
106,ACPS2
107,FATP1t
108,PDYXPT_c
109,2_PERIOD_4_PERIOD_1_PERIOD_141
110,H2Otu_syn
111,ACGPID
112,LPS2nhs
113,PDIMAS
114,GLYC2Pte
115,FTCD
116,AGPATCOA_EPA_HDE_c
117,pi_prod3
118,HACD5i
119,PGMfc
120,PLA2PE_OLE_HDE_c
121,PIPLC_PALM_PALM_c
122,12PPDRDH
123,GLGNS1
124,CDAPPA181
125,GTHPe
126,pe_prod22
127,pi_prod4
128,ARTCOAL1
129,PIPLC_PALM_HDE_c
130,PI45PLC_cho
131,NDH1_2u
132,DHCRD1nhs
133,HMR_0354
134,G3PAT1619Z_c
135,PREPHACPH
136,GLDBRAN
137,ARTFR11_cho
138,PLA2PC_OLE_HDE_c
139,ETHAPT_EPA_DHA_c
140,PCD12DS_LNA_LNA_sn1_c
141,CLS_cho
142,FA100ACPHi
143,ARTPLM1
144,MTHFC_1
145,LPCAT_STC_DGLA_sn2_c
146,ATPS_h
147,RTOT_3nhs
148,PROTRPTHRt
149,FDH7
150,NTPTP2
151,FERIRDe
152,PLDPE_HDE_EPA_c
153,PHTHDLS
154,acoa_prod10
155,CTECOAI7
156,EX_thymd_e
157,DAGAH_MYRS_DHA_c
158,EX_ps120_e
159,lipid3
160,RNTR4c
161,PLDAGAT_HDE_ARA_HDE_PE_15_c
162,PAPA_MYRS_ARA_c
163,MG1_c
164,HDMAT7
165,PGPP181
166,LEUtec
167,PAPA181
168,GLCNACPT_L
169,AGPATACP_HDE_HDE_h
170,CYOO6mc
171,ETHAPT_MYRS_LNA_c
172,PHEPHEASNt
173,HISLYSTHRt
174,PLDAGAT_EPA_EPA_EPA_PE_10_c
175,HXPRT
176,FASm280
177,PUNP3
178,PIP3P_PALM_HDE_c
179,pe_prod15
180,DSATnhs
181,LPCAT_EPA_HDE_sn2_c
182,PI4P5K_pf
183,FASm220
184,PGK_pf
185,ATPS4m
186,GLYCt
187,3HAD40_2
188,OCDMAT8
189,LPLIPAL1E181pp
190,pe_prod13
191,ETHAPT_HDE_OLE_c
192,ACPpds
193,RE0577C
194,DM_dttp_m
195,PI45BPP_SC
196,PEDS1801829Z12Z
197,ETHAAL
198,GTHOXti
199,FASm240
200,FASm260
201,ACACT6r_1
202,CHOPT_HDE_HDE_c
203,LPS3enhs
204,ASNS1
205,RNAMtpp
206,G3PAT140_c
207,PLDPC_MYRS_ARA_c
208,PSP_L
209,MMSAD2
210,DOLDPP_pf
211,HMR_3951
212,PLDAGAT_OLE_EPA_DHA_PE_14_c
213,PLDAGAT_OLE_EPA_DHA_PE_13_c
214,ACACT2r
215,EX_histrphis_e
216,PGPPT_cho
217,AGPATCOA_STC_OLE_c
218,LPCAT_PALM_GLNA_sn2_c
219,DOLPMT3
220,ASPGLUm
221,GLNtN1
222,DOLASNT_c
223,PHTHS
224,HHDR7
225,GLUSfx
226,PCW3DS_STC_ETA_sn2_c
227,ARTFR204_cho
228,GMPR
229,FRD
230,PAPA_EPA_DHA_c
231,G16MTM9
232,PLA2PC_HDE_OLE_c
233,MALt3pp
234,GPDDA3
235,EX_protrpthr_e
236,CYSLY3
237,ATP_3h_th
238,PCD12DS_LNA_DHA_sn1_c
239,3SALAOX
240,ATPtm_H
241,GLUS_ferr
242,ARGN
243,PAPA_EPA_GLNA_c
244,PDIMAT
245,CYO1_KTc
246,ETHAPT_DHA_OLE_c
247,r2374
248,RHACOAR60
249,APH141
250,PLDAGAT_HDE_HDE_LNA_PE_9_c
251,PROTRPTHRr
252,PNP
253,PIP4K_PALM_HDE_c
254,PLDAGAT_HDE_PALM_EPA_PE_9_c
255,PI4P5K_PALM_HDE_c
256,AGPAT120
257,HTDR6
258,PLDAGAT_PALM_PALM_LNA_PE_12_c
259,PS120abcppc
260,MDH
261,COAtim
262,HBCHLR
263,PAPA_MYRS_LNA_c
264,PAPA_EPA_HDE_c
265,G16MTM8
266,FAO182p_oddoddc
267,LPASE_18_2nhs
268,FACOAL181t2pp
269,MGDGW3DS1839Z12Z15Z1627Z10Z
270,ASNMETPROt
271,AGPATCOA_LNA_LNA_c
272,PLA2_2_18_2_18_2nhs
273,HHDHL7
