,rxns_added
0,FAO161p_oddc
1,PLDPC_PALM_MYRS_c
2,PAPA140
3,U23GAAT2
4,GTHOXti
5,HISSNAT5tc
6,PLPSA21801835Z9Z12Z
7,GLCDBRAN3
8,ACOAR3mc
9,G3PAT140_c
10,ILEtec
11,ACPS1_1
12,EX_fad_e
13,ACGPID
14,PIP5P_LNA_EPA_c
15,UREAt
16,GPDDA3
17,PGSA181
18,PLA2PC_HDE_ARA_c
19,GTHPe
20,LYSt5r
21,PLDAGAT_HDE_MYRS_LNA_PE_13_c
22,ETHAPT_PALM_MYRS_c
23,MLTG1
24,HMR_8578
25,CEPTC_cho
26,CYSDS
27,SO4t_e
28,PLA2PE_EPA_EPA_c
29,EX_gq1b_enhs
30,CHOPT_DHA_DHA_c
31,ASNMETPROr
32,NCAMUP
33,ARTCOAL2_cho
34,CELabc
35,HEPT2N
36,ACNAMt2
37,1AGPEAT1819Z1829Z12Z
38,CHOPT_STC_STC_c
39,DOLASNT_c
40,PAPA1801819Z
41,PIPLC_LNA_EPA_c
42,MEVK3
43,EX_glucan1500_e
44,MI4PP
45,HMR_2611
46,ALOX52
47,ETHAPT_EPA_LNA_c
48,ADSS
49,NEU36enhs
50,DAGAH_PALM_LNA_c
51,pe_prod8
52,PLDAGAT_EPA_EPA_ARA_PC_8_c
53,ACACT8r
54,PHEPHEASNt
55,PLDPC_DHA_ARA_c
56,GLNt
57,LPCAT_STC_OLE_sn2_c
58,CHOLtu
59,AAMYL
60,HIStiDF
61,LPCHOLtnhs
62,PGMfc
63,DAGAH_OLE_OLE_c
64,ETHAPT_LNA_EPA_c
65,PLA2PE_LNA_EPA_c
66,FATP2t
67,MAGAH160
68,MI1PP
69,CEPA
70,ACPS2
71,RE3012C
72,GM1LIPA3ODAex
73,EX_protrpthr_e
74,PDYXPT_c
75,PYDXO
76,NEU34enhs
77,RE2666C
78,PHEASNMETt
79,DCTPD2
80,HXCT
81,GLYGS
82,ARTFR41_cho
83,ETHAPT_MYRS_MYRS_c
84,ETHAPT_LNA_LNA_c
85,UGCGc
86,RE3597C
87,ARGN
88,PAPA_PALM_MYRS_c
89,GLYDHDA
90,PI4PLC_cho
91,HMR_0201
92,CHOPT_LNA_LNA_c
93,EX_phepheasn_e
94,GLCt1
95,TDMAT6
96,DOLPGT3_c
97,PGCD
98,LEUtec
99,GAT1_LLA
100,EX_pheasnmet_e
101,GPDDACHOL
102,GMPR
103,PAPA120
104,HMR_1126
105,PLDAGAT_HDE_MYRS_LNA_PC_5_c
106,MOAT_1
107,LPLIPAL1A120
108,LPCH1819Z_sn1_c
109,PLA2PC_OLE_OLE_c
110,HEPT1N
111,PYDXO_1
112,SULO
113,LPADSS2
114,PAPA_HDE_PALM
115,RE3125C
116,RE0958C
117,EDTXS2N
118,EX_thrasntyr_e
119,ECOAR
120,PLIPA2A161
121,PIACGT
122,FATP1t
123,AGPATACP_HDE_PALM
124,PETOHM_SC
125,GBEZY
126,HACD2
127,LPEAT_EPA_LNA_sn2_c
128,PLDPE_STC_STC_c
129,DAGK181
130,MOAT2N
131,CHLP
132,pe_prod12
133,MTHFR
134,DAGAH_DHA_DHA_c
135,HMR_8572
136,SPHMDAc_cho
137,UHGADA2
138,H2O2t
139,PI45PLC_cho
140,NADPNe
141,r0186
142,ADSL1r
143,PIPLC
144,PLA2PE_PALM_LNA_c
145,G3PAT141
146,FACOAL205
147,OCDMAT8
148,AGPAT4nhs
149,CTECOAI8
150,EDTXS1N
151,NADDP
152,TTDCPT1
153,PAPA1819Z1819Z
154,r0786
155,HMR_1129
156,RTOT2_cho
157,PLA2_2enhs
158,CDAPPA181
159,ETHAPT_OLE_DHA_c
160,DAGK141
161,PI4P5K_cho
162,PCHOLHSTDe_1nhs
163,AGPAT141
164,PMETM_SC
165,DAGPYP_SC
166,G3PAT2055Z8Z11Z14Z17Z_c
167,lipid3
168,PAPA_EPA_EPA_c
169,CRNt
170,CMPDAi
171,PHEASNMETr
172,FAEL205_cho
173,ELO5DPA_c
174,ETHAPT_STC_STC_c
175,PAPt
176,MFAPS_SC
177,MLTG2
178,PLIPA2E141
179,CHOPT_HDE_PALM_c
180,UAGAAT2
181,MTHFR5
182,RE2680C
183,LPCAT_DHA_DHA_sn2_c
184,RTOT_2_cho
185,HEPT5
186,FA120ACPHi
187,lipid1
188,DOLDPP_pf
189,EX_asnmetpro_e
190,ACOAR2mc
191,FERIRDe
192,PSERT
193,PGPP181
194,PLPSD1819Z1819Z
195,PLA2PC_STC_STC_c
196,GLYC2Pte
197,ETHAPT_HDE_HDE_c
198,PCD12DS_LNA_OLE_sn1_c
199,VALtec
200,PROTRPTHRr
201,HDMAT7
202,G3PAT140
203,TALA
204,r2444
205,PLDAGAT_EPA_EPA_ARA_PC_3_c
206,EGLUCe
207,LPEAT_PALM_PALM_sn2_c
208,HTDR6
209,HACD3i
210,EX_pap_e
211,ASNASNARGr
212,THRASNTYRt
213,SULR_2
214,EX_amet_e
215,AGAT_LLA
216,GPIAT
217,LPS3enhs
218,AGPATCOA_EPA_DHA_c
219,CFAS180
220,EX_gm1_enhs
221,r1051
222,PCW3DS_DHA_EPA_sn2_c
223,CDPDAGS_EPA_EPA_c
224,ETHAPT_PALM_HDE_c
225,NADHDH
226,PAPA161
227,RE2677C
228,ETHAAL
229,GLYCLTDy
230,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
231,HMR_8570
232,LTA4H
233,PLIPA2A120
234,HEPT2
235,NEU33enhs
236,r1318
237,LPS2nhs
238,HEPT1
239,CHOPT_STC_OLE_c
240,PAPA_EPA_DHA_c
241,PI4P5K_EPA_LNA_c
242,g3ps_t
243,ECOAH2
244,LIPAabctexc
245,DAGAH_EPA_DHA_c
246,HMPK4
247,EAR160y
248,F6PP
249,DOLDPP
250,HMR_8574
251,NMNP
252,HMR_8576
253,HMR_8567
254,MAGtnhs
255,HHDHL7
256,LPLIPAL1E120
257,CYOR3m
258,AMETt
259,SMPD4_cho
260,DAGAH_DHA_ARA_c
261,GLYCt
262,PLIPA2E120
263,ACAFDOR
264,PSP_L
265,HMR_0876nhs
266,SUCD3
267,PAPA_DHA_ARA_c
268,ARTCOAL1
269,ACOAR7mc
270,LPCAT_DHA_DPA_sn2_c
271,GLUCAN2abc
272,ASNASNARGt
273,CYOO6mc
274,FAO4
275,EX_asnasnarg_e
276,CDIPT_EPA_EPA_c
277,PROTRPTHRt
278,GLS2
279,G3PD2m
280,HHDR7
281,HTDHL6
282,LPEAT_STC_GLNA_sn2_c
283,ASPTA6
284,PLA2_2nhs
285,CYO1_KTc
286,lipid5
287,HACD8i
288,RPI
289,LPLIPAL1E141
290,EX_adprbp_e
291,PLD_SC
292,FOLt2_1
293,MDH
294,PIP4K_EPA_EPA_c
295,r1168
296,USHD2
297,EX_nadp_e
298,CYOO3
299,PIPLC_PALM_LNA_c
300,MLTP2
301,PHEPHETHRt
302,MOATN
303,NMNt7
304,DOLASNT_pf
305,LPEAT_PALM_MYRS_sn2_c
306,INSTt2
307,PCD4DS_DHA_DHA_sn2_c
308,LPCH1619Z_sn1_c
309,GLCNACT
310,KAT2
311,r0870
312,PIP5P_PALM_LNA_c
313,lipid2
314,ACNMCT
315,MEVK4
316,SMS_cho
317,ETHAPT_PALM_LNA_c
318,LPCAT_DHA_EPA_sn2_c
319,PGK_pf
320,ALDD16
321,RE3437C
322,PPAPnhs
323,FACOAE141
324,ASNS1
325,SPHK21c
326,PHEPHETHRr
327,UREA
328,EX_phephethr_e
329,RE3124C
330,LPCAT_HDE_PALM_sn2_c
331,ECOAH3_1c
332,LPCAT_LNA_OLE_sn2_c
333,LIPA3ODAex
334,3HAD160
335,PLPSA21819Z1835Z9Z12Z
336,EX_cell500_e
337,PHEPHEASNr
338,r1457
339,THRASNTYRr
340,FACOAE161
341,DAGAH_EPA_EPA_c
342,PLA2PC_LNA_LNA_c
343,DAGAH_OLE_DHA_c
344,PLDAGAT_HDE_EPA_EPA_PE_14_c
345,AMALT2
346,GLCTR4
347,CELASE1
348,PIPLC_EPA_LNA_c
349,ETHAPT_PALM_PALM_c
350,r2507
351,ALATA_L
352,ASNMETPROt
353,CTECOAI7
354,ORNCD
355,GPAM_hsnhs
356,FUM
357,GPDDA2
358,GLS2e
