,rxns_added
0,CHOPT_EPA_HDE_c
1,LPCAT_MYRS_DGLA_sn2_c
2,PLDAGAT_HDE_EPA_LNA_PE_12_c
3,R07456
4,3OAS181_1
5,PLDAGAT_LNA_EPA_LNA_PC_2_c
6,CHOPT_LNA_LNA_c
7,ATPS_h
8,DAGAH_OLE_DHA_c
9,GGGT_OLE_HDDE_8_h
10,ACOADAGAT_PALM_EPA_DHA_c
11,PLDAGAT_PALM_EPA_ARA_PE_15_c
12,SERLYSHISr
13,PLDAGAT_MYRS_EPA_DHA_PE_16_c
14,FA180h
15,34HPLFM
16,EX_argserser_e
17,EX_serlyshis_e
18,DAGAH_MYRS_ARA_c
19,GLDBRAN
20,RTOT2_cho
21,ETHAPT_HDE_EPA_c
22,LPEAT_STC_ARA_sn2_c
23,HMR_3426
24,FAEL183_cho
25,DAGAH_EPA_ARA_c
26,O2tp
27,DAGK_EPA_LNA_c
28,DCTPD2
29,FAO161p_oddc
30,AM6SAD
31,KYN3OX
32,MAGAH2055Z8Z11Z14Z17Z_c
33,PSERT
34,ARTFR210_cho
35,PLDPE_MYRS_MYRS_c
36,PLDAGAT_MYRS_EPA_LNA_PE_12_c
37,PLDPC_OLE_GLNA_c
38,ARGSERSERt
39,PGCD
40,LPCAT_STC_STC_sn2_c
41,GDR_nadp_h
42,PPIth
43,ETHAPT_LNA_DHA_c
44,PAPA_EPA_ALNA_c
45,r0911
46,CHOPT_HDE_DHA_c
47,LPEAT_HDE_ALNA_sn2_c
48,PLA2PE_MYRS_MYRS_c
49,NPDPS
50,ILEARGILEt
51,SK_trnaala_c
52,STCOATxc
53,PCW3DS_MYRS_ETA_sn2_c
54,LPEAT_EPA_STC_sn2_c
55,GLPASE1
56,HIBHr
57,EX_dxtrn_e
58,PDS2_1
59,SACCD1
60,GTHOXti
61,ECOAH2c
62,PCD4DS_LNA_DHA_sn2_c
63,ETHAPT_OLE_PALM_c
64,TMPK
65,GLUth
66,LAAL15
67,LYSTYRILEr
68,PLDAGAT_HDE_EPA_OLE_PC_1_c
69,FA140ACPHi_1
70,MGDGS_HDE_HDE_h
71,DCTPD
72,EX_nad_e
