,rxns_added
0,CHOPT_HDE_DHA_c
1,ASPTA6
2,GMPt6
3,LCAT55enhs
4,HMR_2635
5,EX_ileargile_e
6,NADK
7,DOLPMT3
8,FA182ACPH
9,LPEAT_HDE_STC_sn2_c
10,PCLAD
11,RTOT4_cho
12,GALTt
13,Hfv
14,EX_ptd1ino_e
15,MAGAH1819Z_c
16,HMR_3229
17,PLA2PE_DHA_GLNA_c
18,TRPO2
19,r1468
20,ETHAPT_LNA_LNA_c
21,PLDPC_LNA_ARA_c
22,GDPFUCtg
23,HMR_0890nhs
24,CEPTCnhs
25,pail_uptake
26,NH4t
27,PIPLC
28,LYSLYSLYSr
29,EX_hb_e
30,LPCAT_HDE_ALNA_sn2_c
31,DAGK16018111Z
32,PCW3DS_LNA_EPA_sn2_c
33,PYDXO
34,LPEAT_STC_ALNA_sn2_c
35,CHOPT_HDE_EPA_c
36,GLU4ABUTtmi
37,TGBPA
38,PLA2PE_STC_STC_c
39,3HBCOAHL
40,HMR_6782
41,PLDPC_MYRS_ARA_c
42,DAGK_LNA_HDE_c
43,PTRCtex2
44,FACOAE120
45,PLA2PE_LNA_ARA_c
46,NTRIR3ppc
47,PTD1INOt
48,H2Ot
49,IDHPOXOX2b
50,METHFtxc
51,PCW3DS_HDE_ALNA_sn2_c
52,GLPASE2a
53,MMSAD1
54,FACOAE141
55,PAPA_MYRS_ALNA_c
56,SACCD2
57,ASNTYRTHRt
58,PLDPC_LNA_OLE_c
59,O2tm
60,ETHAPT_MYRS_ARA_c
61,PLDPE_HDE_GLNA_c
62,VALTA
63,LPEAT_STC_ARA_sn2_c
64,VALDHr
65,FACOAE180
66,FADDP
67,PCD12DS_HDE_LNA_sn2_c
68,DAGAH_PALM_HDE_c
69,DAGAH_OLE_LNA_c
70,PED5DS1801835Z9Z12Z
71,TMPK
72,PEDS1829Z12Z1835Z9Z12Z
73,AMCOXO
74,LPCH140_sn1_c
75,AASAD1
76,ETHAPT_STC_ARA_c
77,GALOR
78,CRNtHa
79,SK_trnatrp_c
80,DAGPYP_SC
81,THMMPt4_1
82,SK_trnalys_c
83,lipid2
84,EX_lystyrile_e
85,PLDPE_STC_STC_c
86,DEDOLP2_L
87,OCTDPtmt
88,FACOAL205
89,ASNTYRTHRr
90,PEFLIP
91,SULR_1
92,ILEARGILEr
93,PAPA_MYRS_ARA_c
94,SK_trnamet_c
95,BDMT_L
96,PCW3DS_STC_EPA_sn2_c
97,ALCD19y
98,MALS
99,PLDAGAT_PALM_EPA_EPA_PC_4_c
100,KYN3OX
101,TRNFE
102,AGAT_SC
103,CTECOAI7
104,CHOPT_PALM_HDE_c
105,ALCD19
106,HMR_2380
107,PE224_HSPLA2nhs
108,LPEAT_LNA_OLE_sn2_c
109,LPEAT_OLE_EPA_sn2_c
110,GMPR
111,PCW3DS_MYRS_EPA_sn2_c
112,PGCD
113,HMR_0876nhs
114,PLDPC_OLE_STC_c
115,EX_fad_e
116,IDHPOXOXb
117,GGT_L
118,GTHOXti
119,SK_trnagly_c
120,PLBPC_SC
121,ETHAPT_OLE_STC_c
122,PCD12DS_PALM_LNA_sn2_c
123,OPHHXm
124,SK_trnaleu_c
125,GLGNS1
126,RE3486C
127,HCO3E
128,PLDPC_MYRS_ALNA_c
129,PCW3DS_LNA_ALNA_sn2_c
130,PDYXPT_c
131,NNDPR
132,FA182COAabcpc
133,HBZOPTm
134,CE7083t
135,RE3301C_1nhs
136,HMR_2495
137,ETHAPT_MYRS_ALNA_c
138,CHOPT_OLE_HDE_c
139,FACOAL204
140,FAEL183_cho
141,GLNGLU
142,PSERT
143,lipid4
144,LINOFATPtc
145,EX_thmmp_e
146,FKYNH
147,PLDPE_PALM_PALM_c
148,ETHAPT_OLE_ALNA_c
149,PLDAGAT_OLE_EPA_EPA_PE_11_c
150,PLA2PC_MYRS_GLNA_c
151,UDPGtnic
152,CHOPT_OLE_EPA_c
153,OPHBDCm
154,DAGAH_HDE_DHA_c
155,CHOPT_OLE_OLE_c
156,AM6SAD
157,IDHPOXOX3
158,AATA
159,PLDAGAT_OLE_EPA_EPA_PC_1_c
160,GTHRDH_syn
161,PCD12DS_LNA_HDE_sn1_c
162,34HPLFM
163,EX_asntyrthr_e
164,PLDPE_LNA_ARA_c
165,SERHL
166,HMR_9720
167,PSP_L
168,PLDAGAT_HDE_EPA_LNA_PE_14_c
169,PLDPC_OLE_ALNA_c
170,DAGAH_PALM_OLE_c
171,DNDPt1m
172,PHEMEtm
173,HMR_0657nhs
174,GLPASE1
175,SK_trnaala_c
176,PLDPC_LNA_ALNA_c
177,ILEARGILEt
178,PLA2PC_PALM_HDE_c
179,lipid5
180,SK_trnagln_c
181,LPEAT_OLE_HDE_sn2_c
182,SSALxm
