,rxns_added
0,SK_trnagly_c
1,PLDAGAT_PALM_HDE_PALM_PE_11_c
2,SK_trnahis_c
3,r0973
4,HDCAtexi
5,SK_trnalys_c
6,SK_trnamet_c
7,SK_trnaphe_c
8,PLDAGAT_PALM_HDE_PALM_PC_7_c
9,HBZOPTm
10,3HPPtm
11,CHRPL
12,SK_trnacys_c
13,PAPA_HDE_PALM
14,MMSAD3
15,SK_trnatyr_c
16,SK_trnaser_c
17,SK_trnaasp_c
18,PLDPE_EPA_STC_c
19,SK_trnaleu_c
20,SK_trnatrp_c
21,PLA2PE_EPA_STC_c
22,COA_h_tx
23,OCTDPtmt
24,SK_trnaasn_c
25,PLDAGAT_PALM_EPA_PALM_PC_7_c
26,SK_trnagln_c
27,SK_trnaala_c
28,SK_trnaglu_c
29,PHEMEtm
30,PLA2PC_STC_OLE_c
31,r0614
32,r0579
33,DAGt_cho
34,PLDPE_OLE_PALM_c
35,SK_trnapro_c
36,OPHHXm
37,PSCVT
38,SK_trnaile_c
39,SK_trnaval_c
40,4HBZtmt
41,SK_trnathr_c
42,PLDAGAT_PALM_EPA_PALM_PE_13_c
43,3HPPD
44,PLDPC_STC_OLE_c
45,SK_trnaarg_c
46,r0365
47,OPHBDCm
