,rxns_added
0,MSHOXH
1,HSD11B1r
2,G6Pt6er
3,HSD11B2r
4,PLIPA2G120pp
5,DHNAOT7
6,FAOXC16DCr
7,RE3016R
8,SK_trnaasp_c
9,OCTDPtmt
10,HMR_2675
11,AMMQT7
12,EX_tag_enhs
13,ACGSm
14,SK_trnaasn_c
15,OPHBDCm
16,DHCR243r
17,r1007
18,NDH1_4pp
19,SK_trnaleu_c
20,RE3011R
21,SK_trnagly_c
22,4HBZFm
23,METt2m
24,HMR_3174
25,AGPAT161_ap
26,C204CPT1
27,DHNAPHT
28,4HBZtm
29,SK_trnaile_c
30,SPR
31,RE3268R_1nhs
32,HBZOPTm
33,SK_trnatyr_c
34,CO2tpp
35,PG120abcpp
36,CHSTEROLt
37,SK_trnagln_c
38,T4HCINNMFM
39,SK_trnathr_c
40,DHQS
41,SK_trnaser_c
42,HMR_2676
43,HEXDICOAACBP
44,HMR_2677
45,CBFC2pp
46,SK_trnamet_c
47,SK_trnaglu_c
48,LDL_HSSYNnhs
49,DDPA
50,DHCR71r
51,P450LTB4r
52,PREN
53,SK_trnaala_c
54,ARTFR52_cho
55,SK_trnaval_c
56,SK_trnaarg_c
57,SK_trnatrp_c
58,LPLIPAL1G120pp
59,CHSTEROLt3
60,C16DCc
61,SK_trnacys_c
62,SK_trnalys_c
63,PA161tap
64,RE3289R
65,PI5P3Kernhs
66,COUCOAFm
67,FDH6pp
68,CHSTEROLt2
69,SK_trnapro_c
70,SK_trnaphe_c
71,OPHHXm
72,SK_trnahis_c
73,POR_syn
74,PHEMEtm
