,rxns_added
0,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
1,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
2,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
3,MTHFD2i: mlthf_c + nad_c --> methf_c + nadh_c
4,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
5,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
6,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
7,CO2t: co2_e <=> co2_c
8,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
9,CO2tmt: co2_m <=> co2_c
10,trna_ala: trnaala_c <=> 
11,ACChex: coa_c + h_c + hexc_c --> h2o_c + hexccoa_c
12,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
13,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
14,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
15,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
16,FBA3: s17bp_c --> dhap_c + e4p_c
17,FAO11: atp_c + 8.0 coa_c + 6.0 fad_c + 7.0 h2o_c + hdcea_c + 7.0 nad_c --> 8.0 accoa_c + amp_c + 6.0 fadh2_c + 7.0 h_c + 7.0 nadh_c + ppi_c
18,trna_arg: trnaarg_c <=> 
19,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
20,trna_gly: trnagly_c <=> 
21,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
22,FAO10: atp_c + 9.0 coa_c + 7.0 fad_c + 8.0 h2o_c + 8.0 nad_c + ocdcea_c --> 9.0 accoa_c + amp_c + 7.0 fadh2_c + 8.0 h_c + 8.0 nadh_c + ppi_c
23,H2Oth: h2o_c --> h2o_h
24,EX_pap_e: pap_e <=> 
25,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
26,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
27,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
28,FORthi: for_h + h_h --> for_c + h_c
29,ARGSL: argsuc_c --> arg__L_c + fum_c
30,SAT: accoa_h + ser__L_h --> acser_h + coa_h
31,NTRIR2xm: 5.0 h_m + 3.0 nadh_m + no2_m --> 2.0 h2o_m + 3.0 nad_m + nh4_m
32,EX_leu__L_e: leu__L_e <=> 
33,EX_his__L_e: his__L_e <=> 
34,PAPt: pap_e <=> pap_c
35,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
36,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
37,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
38,PYRt2m: h_c + pyr_c --> h_m + pyr_m
39,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
40,trna_his: trnahis_c <=> 
41,trna_met: trnamet_c <=> 
42,LEUtec: leu__L_e --> leu__L_c
43,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
44,trna_pro: trnapro_c <=> 
45,ORNt: orn_e --> orn_c
46,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
47,P5CD: 1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c
48,trna_thr: trnathr_c <=> 
49,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
50,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
51,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
52,trna_val: trnaval_c <=> 
53,trna_phe: trnaphe_c <=> 
54,H2O2t: h2o2_e <=> h2o2_c
55,GLNth: gln__L_c + h_c --> gln__L_h + h_h
56,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
57,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
58,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
59,BPNT: h2o_c + pap_c --> amp_c + pi_c
60,3MOBtmt: 3mob_m <=> 3mob_c
61,Htu: h_h --> h_u
62,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
