,rxns_added
0,DHMPTR
1,MNLDHr
2,UAAGLS1_1
3,PAPPT3
4,SK_trnagly_c
5,SK_trnamet_c
6,ACGK
7,HMR_0844nhs
8,HMR_0819nhs
9,AGPAT181_9
10,RAFH
11,UAAGMDt
12,SK_trnaleu_c
13,OPHHXm
14,EX_gt1b_enhs
15,SK_trnaser_c
16,MNLDH2
17,NEU34enhs
18,UAGPT3
19,EX_gm1_enhs
20,UAG2EMA
21,ACNPLYS
22,SK_trnaasp_c
23,DDGLK
24,UDCPDPex
25,PHEMEtm
26,NEU25nhs
27,SK_trnaala_c
28,SK_trnaphe_c
29,ACNAMt2
30,HMR_0847nhs
31,OPHBDCm
32,MANAO
33,EX_murein5p5p_e
34,EDD
35,ALAALAr
36,MPTGex
37,SK_trnagln_c
38,4HBZtmt
39,GQ1Btenhs
40,RRPPDIMAS
41,ORLT
42,SK_trnaarg_c
43,RFHc
44,OCTDPtmt
45,GGPS_1c
46,SK_trnaasn_c
47,RPPDIMAS
48,HMR_0873nhs
49,EX_gq1b_enhs
50,SK_trnaile_c
51,NEU33enhs
52,DHNPTE
53,SK_trnaval_c
54,SK_trnahis_c
55,SK_trnatrp_c
56,DHQS
57,AGPR
58,SK_trnathr_c
59,LDAPAT
60,ACGLUtm
61,DDPA
62,SK_trnalys_c
63,SK_trnatyr_c
64,SK_trnaglu_c
65,HBZOPTm
66,MNNH
67,OGLT
68,UGMDDS
69,NACODA
70,SK_trnacys_c
71,HMR_0868nhs
72,FRRPPDIMAS
73,SK_trnapro_c
74,DAPE
