,rxns_added
0,PLDPE_STC_ALNA_c
1,LPCAT_DHA_LNA_sn2_c
2,AGPAT1_16_0_18_0nhs
3,SK_trnaphe_c
4,RETI1
5,PCW3DS_LNA_ETA_sn2_c
6,PLDPC_PALM_DHA_c
7,LCAT14enhs
8,DAGAH_DHA_OLE_c
9,PAPA_MYRS_OLE_c
10,DM_ficytb5_c
11,AGPAT1_16_0_20_4nhs
12,ETHAPT_DHA_EPA_c
13,PLDAGAT_MYRS_MYRS_HDE_PE_13_c
14,LRAT1_cho
15,PLA2PE_HDE_EPA_c
16,HMR_2211
17,PLDPE_PALM_DHA_c
18,LPEAT_DHA_EPA_sn2_c
19,PSSA1_cho
20,AGPATCOA_DHA_DHA_c
21,G3PAT2264Z7Z10Z13Z16Z19Z_c
22,SK_trnagln_c
23,RE0576C
24,APG3PAT180
25,FAOXC18C18OHm
26,LPCAT_STC_PALM_sn2_c
27,COUCOAFm
28,EX_retinol_e
29,HBZOPTm
30,CHSTEROLt
31,SK_trnatyr_c
32,PLDPC_DHA_DHA_c
33,SK_trnaglu_c
34,PLDAGAT18111Z18111Z1819Z1
35,LPEAT_LNA_DHA_sn2_c
36,ETHAPT_PALM_OLE_c
37,HMR_3109
38,HMR_2704
39,EX_11_cis_retfa_e
40,ELO5DPA_c
41,SK_trnagly_c
42,PSFLIPm_cho
43,LPASE_cho
44,PI345P3P_18_1_20_4nhs
45,PLDPC_LNA_STC_c
46,PLDPE_OLE_DHA_c
47,HMR_3108
48,HOCDACBP
49,FAEL183
50,LPCAT_EPA_LNA_sn2_c
51,PLDAGAT_HDE_PALM_EPA_PE_14_c
52,HMR_2703
53,RETFA
54,RETHe
55,SK_trnaala_c
56,HMR_3107
57,RTOTAL3FATPc
58,SK_trnalys_c
59,SOAT12nhs
60,FAOXC200180m
61,RETFAt
62,PIP5P_HDE_LNA_c
63,LRATnhs
64,34HPPt2m
65,PLDAGAT1819Z18111Z1819Z1
66,ETHAPT_LNA_DHA_c
67,RETFAt2
68,ELO6ETA_c
69,SK_trnamet_c
70,HMR_3110
71,OPHHXm
72,SK_trnathr_c
73,SK_trnapro_c
74,PLDPE_HDE_EPA_c
75,PLDPE_OLE_GLNA_c
76,PAPA_STC_LNA_c
77,PLDAGAT_MYRS_EPA_ARA_PE_11_c
78,DAGAH_DHA_ALNA_c
79,PEPALM_HSASBCtnhs
80,DAGK_STC_ALNA_c
81,HMR_2702
82,PPAP_16_0_18_0nhs
83,AGPATCOA_DHA_MYRS_c
84,SK_trnatrp_c
85,SK_trnahis_c
86,PLDAGAT1819Z18111Z1819Z2
87,PLDAGAT_LNA_PALM_HDE_PE_14_c
88,LPEAT_DHA_MYRS_sn2_c
89,APH180
90,PLDPE_MYRS_GLNA_c
91,SK_trnaarg_c
92,ACOADAGAT18111Z18111Z1819Z
93,PLDPE_HDE_ARA_c
94,PLDPC_STC_ALNA_c
95,RE0574C
96,PLDAGAT_MYRS_EPA_DHA_PC_2_c
97,OCTDPtmt
98,LPEAT_PALM_OLE_sn2_c
99,ETHAPT_STC_PALM_c
100,PLDAGAT_HDE_EPA_EPA_PE_14_c
101,PEFLIPm_cho
102,SMPD3l_host
103,SK_trnaval_c
104,4HBZCOAFm
105,CHOPT_DHA_OLE_c
106,SK_trnaser_c
107,PLA2PA_EPA_ARA_c
108,PLDAGAT_MYRS_EPA_DHA_PC_7_c
109,LDL_HSDEGnhs
110,PLDAGAT_HDE_HDE_LNA_PE_16_c
111,LPEAT_OLE_GLNA_sn2_c
112,PCD12DS_DHA_LNA_sn2_c
113,PLDAGAT_MYRS_EPA_DHA_PC_4_c
114,SK_trnaasn_c
115,SK_trnaleu_c
116,DAGAH_DHA_LNA_c
117,PHEMEtm
118,PCD12DS_EPA_LNA_sn2_c
119,LPCAT_LNA_ETA_sn2_c
120,CERS124
121,PI345P3P_16_0_18_0nhs
122,OPHBDCm
123,3OACOAR
124,ETHAPT_DHA_MYRS_c
125,SK_trnaasp_c
126,SOAT11nhs
127,LPCAT_OLE_GLNA_sn2_c
128,PAPA_EPA_ARA_c
129,T4HCINNMFM
130,DAGK_DHA_MYRS_c
131,4HBZFm
132,IPC124PLC_SC
133,HMR_2190
134,PSDm_cho
135,PCW3DS_STC_ALNA_sn2_c
136,RE0575C
137,DGAT_cho
138,ETHAPT_DHA_ALNA_c
139,PLDPE_EPA_EPA_c
140,CEPTE_cho
141,LRAT1nhs
142,PLDPE_LNA_STC_c
143,PLA2PE_EPA_EPA_c
144,PCD6DS_OLE_GLNA_sn2_c
145,SK_trnaile_c
146,34HPLFM
147,CHOPT_STC_PALM_c
148,PLDAGAT_MYRS_EPA_DHA_PE_13_c
149,PLDAGAT_LNA_PALM_HDE_PE_13_c
150,PLDPC_OLE_DHA_c
151,PLDPC_OLE_GLNA_c
152,SK_trnacys_c
153,PLDPE_EPA_HDE_c
154,PCD6DS_STC_GLNA_sn2_c
