,rxns_added
0,ETHAPT_LNA_EPA_c
1,ARTFR202_cho
2,KAT1
3,NEU24nhs
4,LPS3nhs
5,FAOXC8C6m
6,HACD5
7,DXTRNt
8,CARN1839Z12Z15Zt_m
9,TMHAS4
10,LNLNCACPT1
11,LYSPHEILEt
12,PLDAGAT_LNA_EPA_ARA_PC_6_c
13,SK_trnahis_c
14,AMCOXO
15,34HPPt2m
16,HMR_2635
17,ACNPLYS
18,ACOAR7mc
19,ACPS2
20,PAPA182_9_12
21,LYSTYRILEt
22,PLDAGAT_OLE_EPA_DHA_PC_1_c
23,PCD12DS_LNA_HDE_sn1_c
24,MCMAT7
25,ETHAPT_EPA_DHA_c
26,LPCAT_HDE_ALNA_sn2_c
27,CHOPT_MYRS_EPA_c
28,GLNGLU
29,3HAO
30,ASPTA
31,DAGAH_OLE_OLE_c
32,FBA3
33,HHDR7
34,PAPA161
35,PLA2PE_PALM_PALM_c
36,ECOAH1
37,FAEL183_cho
38,SK_trnathr_c
39,AM6SAD
40,NACHEXA16ly
41,PHEMEtm
42,CHOPT_EPA_EPA_c
43,ACPS
44,ETHAPT_OLE_DHA_c
45,EX_hislysile_e
46,DAGK_16_0_20_4nhs
47,EX_retfa_e
48,RTOT2_cho
49,LPCH1619Z_sn1_c
50,HMR_2581
51,CHOLtu
52,SK_trdrd_c
53,GALASE10ly
54,ARTFR213_cho
55,C161CRN2t
56,CHOPT_MYRS_OLE_c
57,LPS2nhs
58,ACChex
59,ACOADH2
60,PLDAGAT_MYRS_EPA_HDE_PC_5_c
61,PLDAGAT_PALM_PALM_GLNA_PC_2_c
62,PLA2_2enhs
63,HBCO_nadp
64,PCW3DS_STC_EPA_sn2_c
65,3OACOAR
66,SUCOAACTr
67,SK_trnatrp_c
68,ACOADAGAT_EPA_EPA_LNA_c
69,TDMAT6
70,ARTCOAL2
71,DAGAH_PALM_OLE_c
72,PYDXO
73,PLA2_2nhs
74,lipid4
75,MCMAT5
76,ECOAH6
77,FAOXC181C161m
78,PEDS1801829Z12Z
79,EX_ahcys_e
80,SK_trnacys_c
81,NTRIR3ppc
82,CFAS180
83,PEDS1819Z1829Z12Z
84,HDDHL5
85,34HPLFM
86,NADDPe
87,PLDAGAT_OLE_EPA_DHA_PC_5_c
88,HBZOPTm
89,O2tm
90,GTHOXti
91,DDMAT5
92,EX_HC02213_e
93,PCLAD
94,AGPAT1_16_0_16_0nhs
95,R5PP
96,PLDAGAT_PALM_EPA_DHA_PC_1_c
97,CDPDSP_BS
98,HISD_c
99,SK_trnaleu_c
100,SK_trnamet_c
101,FADtm
102,PLDPE_OLE_OLE_c
103,PLDPE_PALM_PALM_c
104,DM_ficytb5_c
105,ACALDCD
106,HMR_2190
107,PLDAGAT_HDE_PALM_EPA_PC_5_c
108,EX_ptd1ino_e
109,LPEAT_STC_EPA_sn2_c
110,TMPK
111,OCDMAT8
112,ADPRIBt
113,PCW3DS_LNA_ALNA_sn2_c
114,EX_adprib_e
115,PLDPC_HDE_EPA_c
116,PGCD
117,PLA2PC_OLE_DHA_c
118,MYCON5
119,GLYCOe
120,DAGAH_OLE_HDE_c
121,lipid3
122,NEU21nhs
123,ALCD19y
124,FAMPL4
125,PLDPC_LNA_LNA_c
126,SK_trnaasp_c
127,HISLYSTHRr
128,PLIPA2E141
129,HISLYSILEt
130,HMR_0823nhs
131,PEDS1829Z12Z1835Z9Z12Z
132,EX_hislysthr_e
133,GTHRDH_syn
134,PLDPC_PALM_GLNA_c
135,34HPLtm
