,rxns_added
0,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
1,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
2,3MOBtmt: 3mob_m <=> 3mob_c
3,ARGSL: argsuc_c --> arg__L_c + fum_c
4,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
5,HCO3Em: co2_m + h2o_m --> h_m + hco3_m
6,PYRt2m: h_c + pyr_c --> h_m + pyr_m
7,PRAIi: pran_c --> 2cpr5p_c
8,trna_ser: trnaser_c <=> 
9,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
10,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
11,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
12,G6PA_pi_th: g6p_A_c + pi_h --> g6p_A_h + pi_c
13,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
14,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
15,LEUtec: leu__L_e --> leu__L_c
16,PHSERt_h: phom_h --> phom_c
17,CITt2r: cit_e + h_e <=> cit_c + h_c
18,FAS120ACPm: dcaACP_m + 3.0 h_m + malACP_m + 2.0 nadph_m --> ACP_m + co2_m + ddcaACP_m + h2o_m + 2.0 nadp_m
19,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
20,FAS100ACPm: 3.0 h_m + malACP_m + 2.0 nadph_m + ocACP_m --> ACP_m + co2_m + dcaACP_m + h2o_m + 2.0 nadp_m
21,trna_ile: trnaile_c <=> 
22,PEPPIth: pep_c + pi_h --> pep_h + pi_c
23,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
24,trna_his: trnahis_c <=> 
25,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
26,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
27,PFLh: coa_h + pyr_h --> accoa_h + for_h
28,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
29,trna_thr: trnathr_c <=> 
30,O2tm: o2_c --> o2_m
31,trna_trp: trnatrp_c <=> 
32,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
33,ORNt: orn_e --> orn_c
34,ALCD19y: glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
35,trna_arg: trnaarg_c <=> 
36,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
37,trna_leu: trnaleu_c <=> 
38,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
39,THRAL: ser__L_h --> nh4_h + pyr_h
40,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
41,trna_met: trnamet_c <=> 
42,TSULR3e: 2.0 gthrd_c + tsul_c --> gthox_c + h2s_c + so3_c
43,trna_lys: trnalys_c <=> 
44,CHORM: chor_c --> pphn_c
45,trna_pro: trnapro_c <=> 
46,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
47,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
48,MALT: h2o_c + malt_c --> 2.0 glc__D_c
49,ACChex: coa_c + h_c + hexc_c --> h2o_c + hexccoa_c
50,trna_gln: trnagln_c <=> 
51,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
52,CO2t: co2_e <=> co2_c
53,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
54,MCITDm: hcit_m --> b124tc_m + h2o_m
