,rxns_added
0,EX_lystyrile_e
1,FBA
2,EX_ptd1ino_e
3,HMR_2635
4,AMCOXO
5,PROt2r
6,SK_trnalys_c
7,FAO80pc
8,SK_trnagly_c
9,OXADCm
10,MEPCT
11,lipid3
12,SK_trnatyr_c
13,H2Ot
14,H2O2t
15,TMPK
16,GTHOXti
17,ECOAH12
18,EX_glycogen1500_e
19,SK_trnaser_c
20,SUCOAACTr
21,PIPLC
22,PINOS
23,SUCCtm
24,P5CDm
25,SK_trnacys_c
26,GLGNS1
27,KYN3OX
28,FAOXC1811603m
29,SACCD1
30,GLPASE2a
31,NH4t
32,CARN1819Zt_m
33,EX_thmmp_e
34,HBZOPTm
35,ILEARGILEr
36,SK_trnaasp_c
37,HBtr
38,AMPt
39,PHEMEtm
40,GTHRDH_syn
41,FADtm
42,r1252
43,EX_ileargile_e
44,EX_lyspheile_e
45,HISLYSILEr
46,GLBRAN
47,SK_trnahis_c
48,SK_trnaala_c
49,GHMT3
50,lipid2
51,MI1PP
52,FE3Ri
53,FACOAE120
54,r0822
55,FADDP
56,4HBZFm
57,C181CPT2
58,BBHOX
59,HMGLB
60,T4HCINNMFM
61,ASPTA
62,OXADC
63,ACONTm
64,GLYCOe
65,MCITLmc
66,PRO1xm
67,r2514m
68,FACOAE60
69,CITL
70,NADK
71,EX_thrthrarg_e
72,PAPA161
73,SK_trnaarg_c
74,LYSPHEILEr
75,SK_trnagln_c
76,PSP_L
77,HIBHc
78,AASAD2
79,HMR_2621
80,SK_trnaphe_c
81,OPHHXm
82,TMLYStd
83,PSERT
84,C161CRN2t
85,AKO
86,HMR_2657
87,PGMmc
88,r0911
89,PCLAD
90,CITACt
91,ADPRDP
92,NADDPe
93,SK_trnatrp_c
94,EX_adprib_e
95,HMR_0272
96,METHFtxc
97,ACOADH2
98,LYSTYRILEr
99,4HBZCOAFm
100,SO4tl
101,PYDXO
102,ILEARGILEt
103,SK_trnaval_c
104,NTRIR3ppc
105,SK_trnaile_c
106,DAGK120
107,GLPASE1
108,NMNP
109,HMR_2622
110,HKYNH
111,FKYNH
112,HISD_c
113,SK_trnamet_c
114,EX_fadh2_c
115,EX_hb_e
116,ASPTA6
117,EX_nad_e
118,R07456
119,pail_uptake
120,ACP1_FMN
121,FACOAE141
122,PTD1INOt
123,OCTDPtmt
124,lipid4
125,r1467
126,COUCOAFm
127,RTOT3_cho
128,HMR_3229
129,LAAL15
130,EX_hislysile_e
131,PGCD
132,34HPLFM
133,ICL
134,TMLYSOX
135,Hfv
136,GLDBRAN
137,THRTHRARGt
138,LYSPHEILEt
139,THMMPt4_1
140,r2034
141,r1481
142,LYSTYRILEt
143,HXAt
144,MALS
145,FAOXC80
146,MCITLm
147,ACChex
148,FBA3
149,SK_trnaasn_c
150,EX_pail_e
151,THRTHRARGr
152,34HPPt2m
153,HMR_2284
154,UDPGtnic
155,O2tm
156,HMR_3232
157,HMR_2620
158,OPHBDCm
159,TMABADH
160,HISLYSILEt
161,HCO3E
162,DAGK141
163,ACth
164,r1400
165,SACCD2
166,r2387
167,CO2tmt
168,DIPEPabc6c
169,GGNG
170,G3PT
171,r2388
172,FACOAE100
173,SK_trnaleu_c
174,C161CPT12
175,EX_tmlys_e
176,R5PP
177,PEPPIth
178,PFLACTm
179,ARTFR32_cho
180,SK_trnathr_c
181,HMNOc
182,TRPO2
183,GLNGLU
184,AATA
185,3HAO
186,SK_trnapro_c
187,AM6SAD
188,MMTSAO
189,UREA
190,ADPRIBt
191,GTHPe
192,ACCOAtm_1
