,rxns_added
0,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
1,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
2,O2tm: o2_c --> o2_m
3,GLUth: glu__L_h + h_h --> glu__L_c + h_c
4,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
5,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
6,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
7,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
8,ORNt: orn_e --> orn_c
9,PYK_h: adp_h + h_h + pep_h --> atp_h + pyr_h
10,ASPth: asp__L_c + h_c --> asp__L_h + h_h
11,trna_thr: trnathr_c <=> 
12,trna_trp: trnatrp_c <=> 
13,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
14,GALh: atp_h + glu__L_h + nh4_h --> adp_h + gln__L_h + h_h + pi_h
15,trna_tyr: trnatyr_c <=> 
16,Htu: h_h --> h_u
17,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
18,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
19,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
20,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
21,GLXtm: glx_c --> glx_m
22,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
23,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
24,GLNth: gln__L_c + h_c --> gln__L_h + h_h
25,ORNCT: cbp_c + orn_c --> citr__L_c + pi_c
26,NTRIR2x: 5.0 h_c + 3.0 nadh_c + no2_c --> 2.0 h2o_c + 3.0 nad_c + nh4_c
27,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
28,H2O2t: h2o2_e <=> h2o2_c
29,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
30,THRAL: ser__L_h --> nh4_h + pyr_h
