,rxns_added
0,FAOXC4020m
1,COUCOAFm
2,SULR_1
3,AASAD2
4,LPEAT_MYRS_PALM_sn2_c
5,OCTDPtmt
6,TRPO2
7,PGMfc
8,FADtm
9,LYSTYRILEr
10,PIPLC
11,C180CPT2
12,HCO3E
13,HMR_6782
14,PAPA_OLE_PALM
15,PLDPE_PALM_PALM_c
16,C180CPT1
17,4HBZFm
18,G3PAT140_c
19,HBZOPTm
20,G3PAT160_1
21,lipid5
22,SK_trnagln_c
23,RE1534M
24,MAGAH160
25,r1467
26,ECOAH2_1c
27,PHEMEtm
28,THMMPt4_1
29,MMTSAO
30,SK_trnapro_c
31,DPHAPC100
32,HIBHr
33,KAT2
34,ARTFR207_cho
35,FADDP
36,ARACHTA
37,EX_thmmp_e
38,AATA
39,GLGNS1
40,FAOXC161C141m
41,PSERT
42,C161CPT12
43,pail_uptake
44,FAOXC16180m
45,GLNGLU
46,r1579
47,MAGAH140_c
48,FAOXC80
49,PEFLIP
50,FBA
51,HMR_3233
52,SK_trnathr_c
53,LPLIPAL1E141
54,KYN3OX
55,r2514m
56,DAGAH_OLE_PALM_c
57,VALTA
58,FACOAE141
59,ACCOAtm_1
60,NH4t
61,LYSPHEILEt
62,LYSTYRILEt
63,SK_trnagly_c
64,NADK
65,GLDBRAN
66,LYSLYSLYSt
67,PAPA1819Z1819Z
68,FACOAE160
69,r0822
70,DESAT18_12
71,HMR_2284
72,HKYNH
73,HISD_c
74,GMPt6
75,NDH1_3uc
76,H2O2t
77,PEDS1819Z1829Z12Z
78,G3PT
79,EX_thrthrarg_e
80,SACCD1
81,SK_trnahis_c
82,ARTFR210_cho
83,PLDPE_MYRS_MYRS_c
84,LPLIPAL2E140
85,PGLc
86,ACITL
87,C161CRN2t
88,PSP_L
89,SK_trnacys_c
90,SK_trnalys_c
91,EX_fadh2_c
92,MALS
93,RHACOAR120
94,NNDPR
95,C161CPT22
96,DAGAH_MYRS_PALM_c
97,HACD2
98,MI1PP
99,FAOXC101C102m
100,PLDPE_STC_STC_c
101,SK_trnaval_c
102,VACCCPT1
103,GTHOXti
104,SK_trnaarg_c
105,34HPLtm
106,GLPASE2a
107,HMR_3242
108,GLPASE1
109,FACOAE60
110,FAOXC1811603m
111,SK_trnaala_c
112,SK_trnaile_c
113,EX_lyspheile_e
114,34HPLFM
115,34HPPt2m
116,FAOXC141C121m
117,EX_lystyrile_e
118,RTOT2_cho
119,QUILSYN
120,OCD11COACPT1_1
121,HMR_2622
122,AGPATCOA_PALM_PALM_c
123,AMCOXO
124,PGCD
125,PUNP3
126,EX_lyslyslys_e
127,SK_trnamet_c
128,FACOAE120
129,PDYXPT_c
130,CYSLY3
131,ICL
132,HBtr
133,DPHAPC60
134,PLIPA2E120
135,DESAT18_6
136,ETHAPT_MYRS_PALM_c
137,PLA2PE_MYRS_MYRS_c
138,OCD11CRNCPT2
139,SACCD2
140,PLIPA2E141
141,R07456
142,3HAO
143,THRTHRARGr
144,ILEARGILEt
145,GTHRDH_syn
146,DAGAH_PALM_PALM_c
147,HACD5
148,lipid3
149,pe_prod9
150,ACOAR7mc
151,Hfv
152,FE3Ri
153,SK_trnatrp_c
154,HXAt
155,LPLIPAL1E120
156,HMGLB
157,HMR_3296
158,PAPA161
159,TMPK
160,AM6SAD
161,PINOS
162,ACOAR5mc
163,AGPATCOA_MYRS_MYRS_c
164,DPHAPC120
165,LYSLYSLYSr
166,lipid4
167,HIBDkt
168,MAGAH1819Z_c
169,EX_ptd1ino_e
170,ASPTA6
171,THRTHRARGt
172,HMR_2621
173,SK_trnaasp_c
174,UDPGtnic
175,PCLAD
176,GGNG
177,CO2tmt
178,NTRIR4ppc
179,H2Ot
180,UREA
181,FACOAE180
182,OPHBDCm
183,GTHPe
184,ACOAD2
185,PTD1INOt
186,T4HCINNMFM
187,pe_prod17
188,SK_trnaser_c
189,PYDXO
190,O2tm
191,SK_trnaphe_c
192,ACOADH2
193,ILEARGILEr
194,LYSPHEILEr
195,SK_trnatyr_c
196,ACP1_FMN
197,r0853
198,DADNK
199,NADtm
200,EX_ileargile_e
201,NTRIR3ppc
202,SK_trnaleu_c
203,lipid2
204,METHFtxc
205,EX_hb_e
206,CARN180t_m
207,lipid10
208,FKYNH
209,4HBZCOAFm
210,GLBRAN
211,HMR_3243
212,OPHHXm
213,SK_trnaasn_c
214,r1923
215,MCITLmc
216,PUNP1
217,EX_pail_e
218,RHACOAR60
