,rxns_added
0,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
1,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
2,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
3,PEPPIth: pep_c + pi_h --> pep_h + pi_c
4,EX_leu__L_e: leu__L_e <=> 
5,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
6,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
7,trna_his: trnahis_c <=> 
8,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
9,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
10,FUMtm: fum_c + pi_m --> fum_m + pi_c
11,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
12,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
13,ACSERthi: acser_h --> acser_c
14,CHORM: chor_c --> pphn_c
15,PYK_h: adp_h + h_h + pep_h --> atp_h + pyr_h
16,THRS: h2o_c + phom_c --> pi_c + thr__L_c
17,PIt_h: h_c + pi_c --> h_h + pi_h
18,GLNth: gln__L_c + h_c --> gln__L_h + h_h
19,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
20,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
21,H2Oth: h2o_c --> h2o_h
22,trna_tyr: trnatyr_c <=> 
23,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
24,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
25,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
26,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
27,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
28,GALh: atp_h + glu__L_h + nh4_h --> adp_h + gln__L_h + h_h + pi_h
29,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
30,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
31,O2tmt: o2_m <=> o2_c
32,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
33,GTHRDt2: gthrd_e --> gthrd_c
34,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
35,ASPth: asp__L_c + h_c --> asp__L_h + h_h
36,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
37,MCITDm: hcit_m --> b124tc_m + h2o_m
38,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
39,THRAL: ser__L_h --> nh4_h + pyr_h
40,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
41,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
42,DHQS: 2dda7p_c --> 3dhq_c + pi_c
43,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
44,trna_asn: trnaasn_c <=> 
45,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
46,3MOBtmt: 3mob_m <=> 3mob_c
47,HIStiDF: his__L_e --> his__L_c
48,LEUtec: leu__L_e --> leu__L_c
49,r2412: citr__L_m + h_c + orn_c --> citr__L_c + h_m + orn_m
50,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
51,EX_his__L_e: his__L_e <=> 
52,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
53,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
54,SAT: accoa_h + ser__L_h --> acser_h + coa_h
55,trna_ala: trnaala_c <=> 
56,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
57,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
58,ORNt: orn_e --> orn_c
59,trna_pro: trnapro_c <=> 
60,AHSERL4: acser_c + trdrd_c + tsul_c --> ac_c + cys__L_c + h_c + so3_c + trdox_c
61,CPS_m: 2.0 atp_m + co2_m + h2o_m + nh4_m --> 2.0 adp_m + cbp_m + 3.0 h_m + pi_m
62,CO2t: co2_e <=> co2_c
63,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
64,trna_cys: trnacys_c <=> 
65,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
66,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
67,ACChex: coa_c + h_c + hexc_c --> h2o_c + hexccoa_c
68,trna_phe: trnaphe_c <=> 
69,FORthi: for_h + h_h --> for_c + h_c
70,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
71,BPNT: h2o_c + pap_c --> amp_c + pi_c
72,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
73,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
74,ARGSL: argsuc_c --> arg__L_c + fum_c
75,TSULR3e: 2.0 gthrd_c + tsul_c --> gthox_c + h2s_c + so3_c
76,OCT: cbp_c + orn_c --> citr__L_c + pi_c
77,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
78,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
79,trna_met: trnamet_c <=> 
80,aratyr3: phpyr_c + tyr__L_c --> 34hpp_c + phe__L_c
81,PRAIi: pran_c --> 2cpr5p_c
82,trna_lys: trnalys_c <=> 
83,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
84,trna_ser: trnaser_c <=> 
85,trna_ile: trnaile_c <=> 
86,trna_thr: trnathr_c <=> 
87,GLUth: glu__L_h + h_h --> glu__L_c + h_c
88,OCTm: cbp_m + orn_m --> citr__L_m + pi_m
89,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
90,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
91,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
92,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
93,trna_trp: trnatrp_c <=> 
94,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
95,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
96,NO2tmt: no2_m <=> no2_c
97,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
98,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
99,FBA3: s17bp_c --> dhap_c + e4p_c
100,MTHFD2i: mlthf_c + nad_c --> methf_c + nadh_c
101,EX_pap_e: pap_e <=> 
102,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
103,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
104,Htu: h_h --> h_u
105,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
106,r2419: akg_c + pi_m --> akg_m + pi_c
107,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
108,PFLh: coa_h + pyr_h --> accoa_h + for_h
109,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
110,PAPt: pap_e <=> pap_c
111,G3PT: glyc3p_c + h2o_c --> glyc_c + pi_c
112,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
113,SUCD3: fadh2_c + q_c --> fad_c + qh2_c
114,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
115,ALCD19y: glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
116,MTHFC_1: h2o_c + methf_c --> 10fthf_c
117,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
118,trna_val: trnaval_c <=> 
119,trna_leu: trnaleu_c <=> 
120,CO2tmt: co2_m <=> co2_c
121,trna_arg: trnaarg_c <=> 
122,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
123,PHSERt_h: phom_h --> phom_c
124,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
125,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
126,HACNHm: b124tc_m + h2o_m --> hicit_m
127,NTRIR2xm: 5.0 h_m + 3.0 nadh_m + no2_m --> 2.0 h2o_m + 3.0 nad_m + nh4_m
128,trna_asp: trnaasp_c <=> 
129,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
130,trna_gly: trnagly_c <=> 
131,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
132,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
133,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
134,trna_gln: trnagln_c <=> 
135,ASPTA: akg_c + asp__L_c <=> glu__L_c + oaa_c
136,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
137,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
138,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
