,rxns_added
0,PEFLIP
1,OMPHHX3
2,PTRCOX1
3,LAAL15
4,METHFtxc
5,GGNG
6,LYSLYSLYSr
7,UDPGtnic
8,CHOPT_OLE_HDE_c
9,PLIPA2A181
10,PLDAGAT_MYRS_ARA_HDE_PE_13_c
11,PSERT
12,lipid10
13,Hfv
14,RE3174C
15,SACCD2
16,SACCD1
17,GMPt6
18,DAGK120
19,EX_hb_e
20,LYSLYSLYSt
21,PCW3DS_MYRS_EPA_sn2_c
22,LPCH1819Z_sn1_c
23,DAGAH_MYRS_MYRS_c
24,DAGAH_MYRS_DHA_c
25,METMETILEt
26,VALDHr
27,4ABUTD
28,GLPASE1
29,RE3175C
30,PLIPA2E141
31,lipid5
32,EX_lystyrile_e
33,MALS
34,GLBRAN
35,HIBD
36,pe_prod11
37,CHOPT_MYRS_DHA_c
38,HISD_c
39,ETHAPT_PALM_PALM_c
40,3HAACOAT120
41,GTHRDH_syn
42,PTHPS2
43,AASAD2
44,ASPTA6
45,ECOAH2c
46,ETHAPT_STC_STC_c
47,MALCOAMT
48,RE3169C
49,DAGK141
50,UREA
51,AGPATCOA_MYRS_DHA_c
52,DCTPD2
53,3HAACOAT80
54,OMMBLHX3
55,PLIPA2E181
56,pe_prod14
57,GTHRDt2
58,FKYNH
59,HXCT
60,PLDAGAT_MYRS_ARA_HDE_PC_5_c
61,GLYO1
62,NPH
63,FA80ACPHi
64,pe_prod6
65,AKO
66,MMSAD1
67,HKYNH
68,CYSLY3
69,PROt2r
70,HMR_2495
71,EX_ileargile_e
72,HMDHPS_c
73,DHPTPE
74,MTHFD_1
75,NMNP
76,ps_prod4
77,EX_thrthrarg_e
78,HMR_2395
79,SULO
80,FAEL205_cho
81,PLIPA2A120
82,pe_prod5
83,ARTPLM1
84,TTDCPT1
85,NADPPPS
86,GLPASE2a
87,DHBPTt
88,GLGNS1
89,PGCD
90,AGMDA
91,LYSTYRILEr
92,ETHAPT
93,AMCOXO
94,DHPR
95,HBtr
96,ACOAR5mc
97,3HAO
98,EX_lyslyslys_e
99,PLDPC_MYRS_DHA_c
100,PSP_L
101,MIP2CS124_SC
102,DBRC
103,ETHAPT_MYRS_MYRS_c
104,lipid3
105,ACOADAGAT_PALM_EPA_ARA_c
106,DXTRNt
107,EX_dhbpt_e
108,RHACOAR120
109,KAT3
110,PYR5CDmc
111,PYDXO
112,HACD5i
113,ARTCOAL1
114,NCPA_c
115,AM6SAD
116,PLDAGAT_EPA_EPA_EPA_PC_1_c
117,SUCOAACTr
118,FAEL204_cho
119,METMETILEr
120,HIBHr
121,pe_prod4
122,HCO3E
123,FAO181p_oddc
124,THRTHRARGr
125,THRTHRARGt
126,ACOADAGAT_EPA_EPA_EPA_c
127,ILEARGILEr
128,LYSTYRILEt
129,DAGK181
130,MIP2C124PLC_SC
131,PLA2PC_HDE_HDE_c
132,lipid1
133,OHPHM
134,ETHAPT_HDE_HDE_c
135,KYN3OX
136,EX_metmetile_e
137,SSCOARy
138,TRPO2
139,DMQMT
140,FA100ACPHi
141,PDYXPT_c
142,DIPEPabc6c
143,lipid2
144,DAGPYP_SC
145,PHETHPTOX
146,NMNt7
147,PCLAD
148,RHACOAR80
149,PSD120
150,ETHAPT_OLE_HDE_c
151,ACOADH2
152,MCITLmc
153,IPCS124_SC
154,CHOPT_HDE_HDE_c
155,PLD_SC
156,HMR_0201
157,GLPASE2
158,ACChex
159,pe_prod2
160,AATA
161,ICL
162,HMGLB
163,LPCH1619Z_sn1_c
164,ILEARGILEt
165,PLIPA2A141
166,CITt2r
167,DMBZIDS
168,HMR_0378
169,IPC124PLC_SC
170,GMPR
171,HMR_2611
172,PLDAGAT_PALM_EPA_ARA_PC_1_c
173,GLDBRAN
174,PAPA18111Z1819Z
175,RE3154C
