,rxns_added
0,UDCPGT
1,PAPA180
2,UDPGALM
3,r1923
4,HMR_2266
5,HMR_2270
6,PAPA_LNA_ARA_c
7,TMDK1
8,DAGAH_HDE_HDE_c
9,THRTHRARGr
10,PLDPE_HDE_HDE_c
11,HMR_2380
12,PYDXO
13,PCW3DS_MYRS_ALNA_sn2_c
14,HPDCACRNCPT1
15,PEFLIP
16,PLIPA2E141
17,PLDPC_PALM_LNA_c
18,THRTHRARGt
19,PLA2PA_EPA_ALNA_c
20,r2231
21,3AMACHYD
22,MMSAD1m
23,TRPO2
24,PLDAGAT_PALM_EPA_LNA_PC_8_c
25,LPCAT_HDE_ETA_sn2_c
26,NADDP
27,PLDAGAT_PALM_EPA_ARA_PE_9_c
28,PHETHRLYSr
29,UDPGNP
30,TMDPP
31,IDHPOXOX4
32,HMR_0326
33,FAEL205_cho
34,MEVK2
35,BUP2
36,EX_lystyrile_e
37,AMPt_m
38,PLDPC_MYRS_ARA_c
39,GMPt6
40,NMNS
41,PIPLC_LNA_EPA_c
42,CHOPT_EPA_HDE_c
43,ACOADH2
44,GPDDA2
45,DOLPMT_L
46,LPCH1819Z_sn1_c
47,MAGAH140_c
48,HMR_2263
49,FAO161p_evenc
50,lipid2
51,NADPPPS
52,POAACR
53,ALATA_Lm
54,CHOPT_OLE_MYRS_c
55,LPS2_18_2_20_4nhs
56,DAGAH_PALM_LNA_c
57,AATA
58,HMR_0378
59,PLDPE_PALM_PALM_c
60,CELabc
61,HIBHr
62,UDCPMT
63,PLDAGAT_MYRS_HDE_HDE_PE_11_c
64,DAGAH_OLE_LNA_c
65,PLDPC_MYRS_ALNA_c
66,HKYNH
67,LPCAT_MYRS_EPA_sn2_c
68,pe_prod11
69,ETHAPT_PALM_PALM_c
70,LPCAT_LNA_MYRS_sn2_c
71,PLDAGAT_HDE_MYRS_HDE_PE_15_c
72,DAGK181
73,PIPLC_cho
74,LPS3_18_2nhs
75,DAGK_18_2_20_4nhs
76,LYSTYRILEt
77,ETHAPT_HDE_ARA_c
78,PIP4K_LNA_EPA_c
79,PLDPE_MYRS_ARA_c
80,PIPLC_EPA_LNA_c
81,DAGAH_MYRS_GLNA_c
82,PCD5DS_MYRS_EPA_sn2_c
83,GMPR
84,ARTFR210_cho
85,HMGLB
86,FA80ACPHi
87,C161CRN2t
88,CDS_18_2_20_4nhs
89,PLDPC_PALM_EPA_c
90,r2207
