,rxns_added
0,PLDAGAT_HDE_EPA_LNA_PE_13_c
1,MFAPS_SC
2,SK_trnaleu_c
3,RTOT2nhs
4,PLA2PE_PALM_DHA_c
5,LPLPS1AGPE1819Z
6,CMSc
7,LPCH160_sn1_c
8,ARTFR51_cho
9,MIPC326PLC_SC
10,LPCH1829Z12Z_sn1_c
11,EX_lystyrile_e
12,FEENTERR1
13,ALLTN
14,IDL_HSSYNnhs
15,LPEH2055Z8Z11Z14Z17Z_sn1_c
16,HODHL8
17,MIPC124PLC_SC
18,SK_trnaarg_c
19,pail_uptake
20,LPEAT_EPA_ALNA_sn2_c
21,LPEAT_EPA_GLNA_sn2_c
22,HKYNH
23,SK_trnaser_c
24,PLDPC_EPA_STC_c
25,O2tm
26,LYSTYRILEt
27,pe_prod12
28,SALCHS2FER3
29,PAPA_DHA_LNA_c
30,ETHAPT_DHA_ALNA_c
31,ARTFR208nhs
32,GMPR
33,LPCAT_LNA_GLNA_sn2_c
34,PMETM_SC
35,GLPASE2a
36,PLDAGAT_DHA_EPA_DHA_PE_9_c
37,SALCHS2H
38,PLA2PC_STC_DHA_c
39,ALAtmi
40,MALS
41,SK_trnaasn_c
42,SARDHm
43,PLDPE_EPA_LNA_c
44,SPRMt2i
45,HBtr
46,DAGAH_EPA_OLE_c
47,ICL_1
48,PLDAGAT_EPA_EPA_DHA_PC_8_c
49,EX_ileargile_e
50,CITt2r
51,PLA2PE_STC_LNA_c
52,MMTSAO
53,DAGAH_DHA_EPA_c
54,T4HCINNMFM
55,EX_lyspheile_e
56,PETOHM_SC
57,DSAT
58,PLIPA2E120
59,pe_prod14
60,PCHOLHSTDe_1nhs
61,SK_trnaphe_c
62,PLA2PC_HDE_OLE_c
63,PLDAGAT_HDE_EPA_DHA_PE_15_c
64,FABM2
65,LPEAT_LNA_EPA_sn2_c
66,PLDPC_LNA_ALNA_c
67,34HPLtm
68,PLA2PC_LNA_ARA_c
69,PLA2PC_EPA_OLE_c
70,ASPTA6
71,SACCD2
72,ARTCOAL1
73,LPEAT_LNA_ALNA_sn2_c
74,EX_sprm_e
75,MI3PP
76,CHSTEROLt3
77,ARTFR206_cho
78,PLDAGAT_HDE_EPA_LNA_PE_11_c
79,3HAO
80,CHOPT_EPA_STC_c
81,ETHAPT_EPA_GLNA_c
82,EX_ldl_hs_e
83,r1400
84,r1579
85,OCTDPtmt
86,MTHFCm_1
87,CO2tmt
88,FAO80pc
89,NADPt2_c
90,lipid3
91,CHOPT_LNA_LNA_c
92,CHSTEROLt
93,GLGNS1
94,PTD1INOt
95,SK_trnaile_c
96,GTHRDt2
97,UGLYCH
98,PHEMEtm
99,PCHOLHSTDe
100,SK_trnatrp_c
101,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
102,GLPASE1
103,LPCAT_STC_STC_sn2_c
104,lipid10
105,SK_trnalys_c
106,PLA2PC_STC_HDE_c
107,4HBZCOAFm
108,DAGAH_OLE_HDE_c
109,PAPA18111Z1819Z
110,PEFLIP
111,PYDXO
112,PLIPA2E141
113,THRTHRARGt
114,CHOPT_STC_HDE_c
115,ACOAR5mc
116,TRPO2
117,ETHAPT_LNA_ALNA_c
118,FAOXC80
119,FPGS9
120,ETHAPT_DHA_LNA_c
121,CFAS180
122,CRNtim
123,DHCRD1
124,HMR_0378
125,PAPA_LNA_EPA_c
126,HIBDkt
127,PLDAGAT_LNA_EPA_GLNA_PE_12_c
128,LPCAT_HDE_STC_sn2_c
129,PCW3DS_DHA_ALNA_sn2_c
130,DAGAH_STC_GLNA_c
131,PAPA_EPA_DHA_c
132,URIC
133,HMGLB
134,ETHAPT_STC_DHA_c
135,PAPA_LNA_ALNA_c
136,AASAD2
137,PCLAD
138,LPS
139,PLA2_2_cho
140,PLDPC_HDE_ALNA_c
141,DAGAH_OLE_OLE_c
142,PGLc
143,OPHHXm
144,LYSLYSLYSr
145,CHOPT_OLE_HDE_c
146,CMPDAi
147,SULO
148,PCW3DS_HDE_ALNA_sn2_c
149,SK_trnagln_c
150,MI1PP
151,MOGATnhs
152,ETHAPT_LNA_EPA_c
153,ARTFR51nhs
154,PLDPC_EPA_LNA_c
155,FAOXC170m
156,PCW3DS_LNA_EPA_sn2_c
157,ACOADAGAT_PALM_PALM_LNA_c
158,ETHAPT_HDE_LNA_c
159,HMR_2259
160,LYSLYSLYSt
161,EX_thrthrarg_e
162,PLDPC_DHA_ALNA_c
163,MCITLm
164,GGNG
