,rxns_added
0,EX_idl_enhs
1,GMPt6
2,PLDPC_MYRS_ARA_c
3,FADDP
4,PLA2PC_DHA_ARA_c
5,PAPA_EPA_PALM_c
6,PCLAD
7,PI45P5P_cho
8,ARTFR206nhs
9,3HAO
10,ETHAPT_EPA_ALNA_c
11,SK_trnaasp_c
12,AGPAT1_cho
13,DAGAH_EPA_LNA_c
14,FACOAE141
15,DAGCPT
16,QUILSYN
17,PI34P3P
18,ETHAPT_OLE_EPA_c
19,DAGAH_PALM_LNA_c
20,GGPS_1c
21,PLDAGAT_LNA_EPA_GLNA_PC_6_c
22,CO2tmt
23,EX_uaagmda_e
24,LPEAT_MYRS_ARA_sn2_c
25,EX_HC00009_e
26,METMETILEr
27,4HBZCOAFm
28,PLDPE_PALM_PALM_c
29,PLDAGAT_PALM_PALM_LNA_PE_16_c
30,PLDAGAT_HDE_MYRS_HDE_PC_4_c
31,NNDPR
32,PAPA_OLE_GLNA_c
33,PLDPE_HDE_GLNA_c
34,Hfv
35,FKYNH
36,PCD6DS_PALM_GLNA_sn2_c
37,LPLIPAL1E120
38,FADH2tm
39,DAGK141
40,PLA2PC_DHA_EPA_c
41,SK_trnaglu_c
42,PLDAGAT_OLE_EPA_DHA_PE_10_c
43,AM6SAD
44,acoa_prod7
45,FAO80pc
46,EX_dxtrn_e
47,GLPASE1
48,DAGAH_PALM_EPA_c
49,ETHAPT_LNA_EPA_c
50,PLDAGAT_EPA_EPA_ARA_PE_15_c
51,PLDAGAT_PALM_EPA_EPA_PC_7_c
52,DOLPMT_L
53,DOLPGT1
54,SULO
55,ETHAPT_PALM_LNA_c
56,C226CPT1
57,lipid4
58,PLDAGAT_PALM_EPA_LNA_PC_1_c
59,MI1PP
60,CHOPT_EPA_PALM_c
61,PLA2PE_LNA_LNA_c
62,ETHAPT_STC_LNA_c
63,ARTFR213nhs
64,GLCNACT_L
65,pe_prod11
66,r1262
67,LPCAT_EPA_ALNA_sn2_c
68,PIPLC_LNA_EPA_c
69,METHFtxc
70,EX_ileargile_e
71,EX_HC00005_e
72,PCD4DS_MYRS_DHA_sn2_c
73,FAOXC16180m
74,PLDAGAT_HDE_EPA_PALM_PC_6_c
75,pail_uptake
76,ETHAPT_PALM_GLNA_c
77,PLDPE_DHA_GLNA_c
78,DOLDPP_pf
79,DAGtnhs
80,ps_prod1
81,SK_trnaala_c
82,DAGAH_MYRS_HDE_c
83,SACCD2
84,MG1_c
85,DAGAH_STC_HDE_c
86,UDPGtnic
87,PLDAGAT_PALM_EPA_DHA_PE_12_c
88,CEPTCnhs
89,PLDAGAT_HDE_EPA_HDE_PC_7_c
90,EX_fadh2_c
91,CHOPT_DHA_EPA_c
92,PLDAGAT_LNA_EPA_GLNA_PE_16_c
93,ICL
94,34HPLtm
95,HIBHr
96,PLIPA2E141
97,ETHAPT_MYRS_ARA_c
98,DAGAH_HDE_LNA_c
