,rxns_added
0,lipid2
1,PLDPC_PALM_EPA_c
2,ICL
3,ETHAPT_STC_DHA_c
4,ETHAPT_EPA_GLNA_c
5,SK_trnaile_c
6,PLA2PC_STC_ARA_c
7,PLDPC_MYRS_MYRS_c
8,LPEAT_PALM_EPA_sn2_c
9,ACPS1ap
10,PLDAGAT_DHA_EPA_DHA_PC_6_c
11,NO2R
12,CHOPT_EPA_DHA_c
13,LPEAT_DHA_ARA_sn2_c
14,LPS
15,NADPtap
16,PLDAGAT_DHA_EPA_DHA_PC_5_c
17,IDIh
18,FTHFLi
19,4HBZCOAFm
20,PAPA_HDE_HDE_h
21,QUILSYN
22,SULO
23,HIBHr
24,LPLIPAL1E141
25,FAO181p_oddc
26,PAPA_LNA_DHA_c
27,PSERT
28,AGPATCOA_STC_PALM_c
29,ACOADAGAT_OLE_EPA_EPA_c
30,r0186
31,FAEL184_cho
32,OPHHXm
33,NH4th
34,LPCH1829Z12Z_sn1_c
35,PLDPC_LNA_OLE_c
36,PINOS
37,ATPt_m
38,pail_uptake
39,DHPR
40,MEPCT
41,6PGTt_h
42,SK_trnalys_c
43,SK_trnaser_c
44,LPCAT_MYRS_ETA_sn2_c
45,CMPDAi
46,PEFLIP
47,PLDAGAT_MYRS_MYRS_HDE_PE_16_c
48,EAR140x_1
49,PSD161
50,G3PAT1619Z_h
51,MGDGD7DS1819Z1617Z
52,r1636
53,PLDAGAT_LNA_EPA_ARA_PC_5_c
54,CHOPT_PALM_EPA_c
55,H2Otu_syn
56,R07456
57,ETHAPT_LNA_LNA_c
58,PLDAGAT_OLE_PALM_HDE_PE_16_c
59,LYSTYRILEt
60,GGNG
61,GLDBRAN
62,H2O2t
63,SK_trnaval_c
64,PHETHPTOX
65,GLGNS1
66,PLDAGAT_OLE_EPA_EPA_PE_13_c
67,FACOAE141
68,SK_trnagly_c
69,T4HCINNMFM
70,PLDPC_EPA_EPA_c
71,PCW3DS_LNA_EPA_sn2_c
72,PLDAGAT_OLE_EPA_DHA_PE_10_c
73,PLDPC_STC_PALM_c
74,PLDAGAT_EPA_EPA_ARA_PC_1_c
75,AMCOXO
76,GTHRDt2
77,SK_trnatyr_c
78,r0281
79,ps_prod5
80,DAGAH_STC_EPA_c
81,PAPA_HDE_LNA_c
82,PLDPE_LNA_OLE_c
83,CHOPT_MYRS_MYRS_c
84,ps_prod7
85,LYSTYRILEr
86,LPCAT_LNA_ETA_sn2_c
87,PAPA_DHA_ARA_c
88,EX_fadh2_c
89,GLNyLATthc
90,SK_trnacys_c
91,EX_pail_e
92,PLDPC_HDE_LNA_c
93,FA140ACPHi_1
94,ACOADH2
95,HIBDkt
96,PCD5DS_MYRS_EPA_sn2_c
97,TRPO2
98,LAAL15
99,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
100,FACOAE100
101,ACPpds
102,r1953
103,FACOAE120
104,LPCAT_LNA_OLE_sn2_c
105,ASPTA6
106,KYN3OX
107,ETHAPT_EPA_HDE_c
108,GPDDA2
109,TMDPK
110,LPEAT_STC_DHA_sn2_c
111,ILEARGILEr
112,4HBZFm
113,3OAR180_ap
114,CYSLY3
115,ARTCOAL1
116,HMR_0410
117,NADHtap
118,CITt2r
119,EX_pap_ap
120,ETHAPT_LNA_DHA_c
121,RBPC
122,PCD5DS_EPA_EPA_sn2_c
123,PLDAGAT_LNA_EPA_ARA_PE_15_c
124,GLPASE1
125,PLDAGAT_EPA_EPA_DHA_PE_14_c
126,SQDGS_EPA_HDE_h
127,SK_trnatrp_c
128,ETHAPT
129,PLDAGAT_MYRS_EPA_PALM_PE_13_c
130,ANXANOR
131,CBFC_u
132,PLDPC_STC_DHA_c
133,ETHAPT_OLE_PALM_c
134,AGPATCOA_STC_DHA_c
135,lipid5
136,3HAO
137,EX_hb_e
138,HKYNH
139,DGDGW6DS1829Z12Z1617Z
140,H2Otap
141,G3PD1ir_ap
142,AM6SAD
143,PSY
144,CO2tmt
145,FAEL205_cho
146,PLDAGAT_PALM_EPA_ARA_PC_5_c
147,CHOPT_EPA_HDE_c
148,DGDGGH1819Z1617Z
149,lipid10
150,EAR180x_ap
151,NADK
152,LPEAT_DHA_GLNA_sn2_c
153,PLDAGAT_HDE_MYRS_LNA_PC_8_c
154,LPEAT_LNA_DHA_sn2_c
155,THRTHRARGr
156,DESAT20_1
157,MGDGS_HDE_HDE_h
158,DIPEPabc6c
159,TAG_HDE_HDE_PALMt_h
160,HISD_c
161,SK_trnaarg_c
162,NADPHtap
163,SK_trnagln_c
164,PItap
165,MALS
166,AGPAT180_ap
167,EX_dxtrn_e
168,LYSLYSLYSt
169,LPCH1819Z_sn1_c
170,PYDXO
171,ETHAPT_OLE_HDE_c
172,OPHBDCm
173,FAO80pc
174,AASAD2
175,LPEAT_STC_EPA_sn2_c
176,PCD6DS_LNA_GLNA_sn2_c
177,RBK
178,GLBRAN
179,EX_ileargile_e
180,METMETILEr
181,PLDAGAT_HDE_ARA_ARA_PC_4_c
182,SK_trnathr_c
183,METHFtxc
184,PSP_L
185,PLDPC_DHA_ARA_c
186,HMR_9638
187,Hfv
188,SMPD3l
189,PLDAGAT_EPA_EPA_ARA_PE_15_c
190,ELO6ETA_c
191,PLA2PE_DHA_HDE_c
192,CHOPT_STC_EPA_c
193,PLDPE_PALM_PALM_c
194,PLDAGAT_PALM_ARA_PALM_PE_13_c
195,AACPDAGAT_HDE_HDE_PALM_h
196,SK_trnaasn_c
197,METMETILEt
198,PIPLC
199,ACCOAth
200,DXTRNt
201,PLDAGAT_OLE_EPA_EPA_PC_4_c
202,LPEAT_EPA_LNA_sn2_c
203,GGGT_HDE_HDE_5_h
204,FBA
205,EX_metmetile_e
206,NO2th
207,PLDAGAT_HDE_MYRS_LNA_PE_13_c
208,MMTSAO
209,PAPA_EPA_LNA_c
210,LPEAT_STC_ARA_sn2_c
211,PLDAGAT_MYRS_EPA_PALM_PE_10_c
212,GPPSh
213,EX_lystyrile_e
214,HMGLB
215,PLPSD1819Z1819Z
216,CHOPT_LNA_LNA_c
217,GRDPth
218,CHOPT_DHA_EPA_c
219,PLDAGAT_HDE_ARA_ARA_PC_8_c
220,SMS
221,GGPS_h
222,SK_trnaasp_c
223,DAGAH_STC_ARA_c
224,AACPS1_1
225,LPLIPAL1E120
226,ETHAPT_EPA_DHA_c
227,ETHAPT_DHA_GLNA_c
228,ETHAPT_PALM_DHA_c
229,MCITLmc
230,DHAP_pi_thr
231,PLA2PC_EPA_HDE_c
232,DESAT18_10
233,ETHAPT_HDE_LNA_c
234,DAGK141
235,DGDGS_HDE_HDE_h
236,GLPASE2a
237,NADHth
238,PTD1INOt
239,SACCD1
240,TAGAH_HDE_HDE_PALM_c
241,ACChex
242,NDH1_2u
243,PCD6DS_DHA_GLNA_sn2_c
244,DPCOAK
245,SK_trnaleu_c
246,DAGAH_OLE_HDE_c
247,PLA2PE_OLE_HDE_c
248,AGPATCOA_PALM_EPA_c
249,COUCOAFm
250,PLDAGAT_OLE_HDE_OLE_PE_12_c
251,PLA2PE_PALM_DHA_c
252,DGDGGH1829Z12Z1617Z
253,G3PAT1819Z
254,acp_t
255,SK_trnaala_c
256,PHEMEtm
257,ETOHth
258,GMPR
259,SACCD2
260,PRUK
261,MI1PP
262,HMR_2495
263,CHOPT_STC_DHA_c
264,HMR_6782
265,PLA2PC_OLE_HDE_c
266,ILEARGILEt
267,lipid3
268,FAEL183_cho
269,LYSLYSLYSr
270,PLIPA2E141
271,CHLP
272,LNLCCOADS
273,PAPA_EPA_GLNA_c
274,AGPATACP_HDE_HDE_h
275,FKYNH
276,PLDAGAT_HDE_EPA_HDE_PE_14_c
277,OCTDPtmt
278,AACPDAGAT_OLE_PALM_HDE_h
279,ETHAPT_DHA_EPA_c
280,PCLAD
281,ACP1_FMN
282,LPCAT_EPA_ETA_sn2_c
283,ACOADAGAT_PALM_EPA_ARA_c
284,lipid4
285,FPPS_h
286,PLA2PE_HDE_HDE_c
287,PLDAGAT_MYRS_MYRS_HDE_PE_15_c
288,PGLc
289,PLDAGAT_OLE_EPA_DHA_PC_8_c
290,SQDGS_HDE_HDE_h
291,HBZOPTm
292,PCW3DS_MYRS_EPA_sn2_c
293,HBtr
294,GLUDC
295,ETHAPT_STC_EPA_c
296,SK_trnamet_c
297,PLA2PE_LNA_ALNA_c
298,LPEAT_HDE_LNA_sn2_c
299,ACOADAGAT_OLE_EPA_DHA_c
300,SK_trnahis_c
301,PAPA_DHA_GLNA_c
302,PLDPE_MYRS_MYRS_c
303,O2tm
304,AGPATCOA_EPA_EPA_c
305,NNDPR
306,ACALDh
307,MTHFC_1
308,AATA
309,DESAT20_2
310,HCO3E
311,ATAMh
312,PCW3DS_DHA_EPA_sn2_c
313,CHOPT_EPA_EPA_c
314,4ABUTD
315,ATPS_h
316,DPMVD
317,DGGGPS2
318,ADPHt_h
319,MI3PP
320,PGCD
321,pe_prod11
322,SO4tl
323,PLDAGAT_HDE_MYRS_LNA_PC_3_c
324,DAGAH_PALM_DHA_c
325,ETHAPT_OLE_EPA_c
326,G3PAT2055Z8Z11Z14Z17Z_c
327,DHAPtap
328,3HAD180_ap
329,ETHAPT_EPA_LNA_c
330,ETHAPT_DHA_ARA_c
331,TAG_OLE_PALM_HDEt_h
332,GAT_c
333,ALCD2y
334,PLDPC_LNA_DHA_c
335,SK_trnapro_c
336,CHOPT_HDE_HDE_c
337,UDPGtnic
338,GMPt6
339,LPCAT_HDE_HDE_sn2_c
340,PLIPA2E120
341,COAtap
342,LPEAT_EPA_GLNA_sn2_c
343,EX_ptd1ino_e
344,PLDPE_HDE_HDE_c
345,ETHP
346,EX_lyslyslys_e
347,FADDP
348,PLDPC_DHA_GLNA_c
349,DAGAH_STC_DHA_c
350,ETHAPT_PALM_EPA_c
351,PA180tap
352,34HPLtm
353,G3PD2_1
354,SK_trnaphe_c
355,EAR140y_1
356,DPCOAPP
357,SK_trnaglu_c
358,PPDK
359,PLDPE_STC_STC_c
360,DAGCPT
361,CYO1b2_syn
362,acoa_prod7
363,ALCDH_nadp_hi
364,CHOPT_OLE_HDE_c
365,PLDAGAT_EPA_EPA_DHA_PC_5_c
366,Htap
367,NADtap
368,G3PAT180_ap
369,DAGK120
370,PDS1
