,rxns_added
0,GM1LIPA3ODAex
1,APH141
2,UDPGtnic
3,CEPTC_cho
4,ETHAPT_DHA_DHA_c
5,DAGK141
6,2_PERIOD_4_PERIOD_1_PERIOD_141
7,PPDIMAS
8,AACPS11
9,CDAPPA160
10,HEPK2
11,APG3PAT120
12,PLDAGAT_HDE_ARA_ARA_PC_4_c
13,pi_prod3
14,AGAT_SC
15,LPEAT_LNA_OLE_sn2_c
16,PIP4K_EPA_LNA_c
17,PIP5P_EPA_LNA_c
18,CDAPPA120
19,DESAT18_6
20,CDIPT_EPA_LNA_c
21,PLDAGAT_HDE_PALM_LNA_PE_11_c
22,PSDm_hscnhs
23,PLA2PE_STC_HDE_c
24,DAGK161
25,PGSA160
26,LPCAT_MYRS_MYRS_sn2_c
27,ETHAPT_MYRS_EPA_c
28,PLA2PC_HDE_DHA_c
29,RHAT1
30,CHOPT_MYRS_DHA_c
31,LPEAT_MYRS_ARA_sn2_c
32,ETHAPT_PALM_LNA_c
33,PCD12DS_LNA_EPA_sn1_c
34,FACOAE60
35,LPLIPAL1G160
36,DAGK_OLE_EPA_c
37,lipid1
38,PGSA180
39,PSDm_cho
40,AGPAT4nhs
41,DAGK181
42,OGLT
43,FDH6
44,MPTGex
45,MOAT3C
46,PLA2PA_EPA_LNA_c
47,DAGAH_OLE_EPA_c
48,UDCPDPex
49,r0145
50,PI345P3P_20_4_20_4nhs
51,DAGK180
52,PHTHDLS2
53,DAGAH_OLE_LNA_c
54,PIPLC_EPA_LNA_c
55,HEPT3
56,PLDAGAT_LNA_EPA_LNA_PC_6_c
57,HEPT4
58,RTOT_2nhs
59,pe_prod5
60,AGPAT120
61,UGMDDS
62,AGPATCOA_EPA_EPA_c
63,PLD_SC
64,EX_mettrpphe_e
65,DAGK1601819Z
66,PREPPACPH
67,CYTBDpp
68,MEVK2
69,PLA2PC_STC_ARA_c
70,LPCAT_LNA_DHA_sn2_c
71,IPCS326_SC
72,PHEGLNPHEr
73,PHEGLNPHEt
74,UAGPT3
75,HMR_0868nhs
76,PLIPA2G141
77,DAGK120
78,VNDH_2
79,SMPD3l
80,MAGAH2264Z7Z10Z13Z16Z19Z_c
81,NOR_syn
82,FACOAL200
83,PLDPE_HDE_HDE_c
84,PLDPC_LNA_OLE_c
85,HMR_0890nhs
86,PGPP141
87,PI45PLC_20_4_20_4nhs
88,SERDC
89,LPEAT_HDE_DHA_sn2_c
90,CHOPT_HDE_PALM_c
91,PPAPnhs
92,PGPP160
93,MCTP1Aex
94,PCD12DS_LNA_LNA_sn1_c
95,PLDAGAT_OLE_HDE_OLE_PE_10_c
96,DAGAH_OLE_DHA_c
97,PLIPA2E181
98,PSFLIPm_cho
99,DBRC
100,CHOPT_HDE_DHA_c
101,LPEAT_OLE_ALNA_sn2_c
102,PLA2PE_STC_STC_c
103,PI34P5K_16_0_18_0nhs
104,PAPA_LNA_OLE_c
105,lipid2
106,DAGCPT_SC
107,PGSA161
108,LPLIPAL1G141
109,AGPAT1601819Zhc
110,CHOPT_MYRS_MYRS_c
111,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
112,AGPATCOA18111Z1819Z
113,DAGCPT
114,PAPA_EPA_EPA_c
115,APH120
116,GLCTR4
117,PIK4_16_0_18_0nhs
118,PGSA141
119,HMR_0362
120,HMPK2
121,PIK5nhs
122,DAGAH_HDE_LNA_c
123,ETHAPT_MYRS_ARA_c
124,PIPLC_LNA_HDE_c
125,CEPTCnhs
126,ETHAPT_HDE_LNA_c
127,PLA2PE_PALM_PALM_c
128,GLCTR1
129,HMR_0875nhs
130,PLDPC_LNA_ARA_c
131,CDAPPA141
132,AGPAT160
133,PIPLCnhs
134,GLCTR2
135,CO2tmt
136,AGPAT18111Z1819Zhc
137,LPEAT_PALM_LNA_sn2_c
138,ETHAPT_STC_ARA_c
139,LPLIPAL2G180
140,pe_prod3
141,GMPt6
142,METTRPPHEr
143,PLDAGAT_HDE_MYRS_LNA_PE_12_c
144,MIPC224PLC_SC
145,PLDAGAT_LNA_EPA_LNA_PC_1_c
146,PLDAGAT_HDE_ARA_ARA_PC_5_c
147,GLCNACPT_L
148,APG3PAT141
149,PGPP180
150,DAGAH_MYRS_ARA_c
151,PETOHMm_cho
152,ETHAPT_OLE_LNA_c
153,lipid4
154,pe_prod8
155,RE3301C
156,CHOPT_OLE_DHA_c
157,PI45P5P_16_0_18_2nhs
158,PLDPC_LNA_HDE_c
159,DCTPD2
160,HEPT1
161,PI4P3K_16_0_18_0nhs
162,CHOPT_MYRS_EPA_c
163,AGPATCOA_OLE_EPA_c
164,PI45PLC_16_0_18_0nhs
165,GLCTR3
166,pi_prod4
167,PLDAGAT_HDE_ARA_HDE_PE_11_c
168,PCD12DS_LNA_OLE_sn1_c
169,r0853
170,COLIPAabctexc
171,LPS3_20_4nhs
172,ACGPID
173,PI45PLCnhs
174,PHTHS2
175,PAPA_OLE_ALNA_c
176,ETHAPT_LNA_ARA_c
177,DAGAH_OLE_HDE_c
178,PAPPT3
179,PCW3DS_OLE_ALNA_sn2_c
180,LPCAT_MYRS_EPA_sn2_c
181,PAPA_STC_ARA_c
182,FADtm
183,lipid5
184,GPIAT
185,LPCAT_LNA_GLNA_sn2_c
186,DAGAH_DHA_DHA_c
187,RPPDIMAS
188,HMR_0860nhs
189,PI4P5K_16_0_18_0nhs
190,LIPA3ODAex
191,PCD6DS_LNA_GLNA_sn2_c
192,AGPAT181
193,ETHAPT18111Z1819Z
194,CHOPT_OLE_HDE_c
195,PLDAGAT_PALM_EPA_LNA_PE_13_c
196,DAGAH_OLE_PALM_c
197,PAPA_LNA_HDE_c
198,PLIPA2G160
199,PCFLOPm_cho
