,rxns_added
0,APG3PAT120
1,CDAPPA180
2,PGLh
3,PINOS
4,NADPPPS
5,DAGAH_DHA_HDE_c
6,PLDAGAT_HDE_MYRS_HDE_PE_12_c
7,ETHAPT_PALM_HDE_c
8,UDPGtnic
9,PLDAGAT_HDE_EPA_DHA_PE_13_c
10,ETHAPT_HDE_ARA_c
11,PLDAGAT_DHA_EPA_ARA_PC_5_c
12,FACOAE1836Z9Z12Z
13,LPCAT_DHA_DHA_sn2_c
14,AM6SAD
15,PAPA181
16,ETHAPT_PALM_OLE_c
17,PEFLIP
18,CDAPPA181
19,PLDAGAT_PALM_PALM_LNA_PE_9_c
20,PLIPA2E181
21,PGPP141
22,ETHAPT_MYRS_LNA_c
23,PLDAGAT_OLE_PALM_HDE_PE_12_c
24,EX_HC00009_e
25,EX_mettrpphe_e
26,PLA2PE_PALM_PALM_c
27,PLDAGAT_MYRS_EPA_EPA_PE_11_c
28,ATPSh
29,LPEH2055Z8Z11Z14Z17Z_sn1_c
30,PLDPC_MYRS_HDE_c
31,PLDAGAT_PALM_PALM_LNA_PE_12_c
32,IDHPOXOX2b
33,PAPA183_9_12_15
34,PLDAGAT_HDE_MYRS_HDE_PC_2_c
35,PLDAGAT_OLE_PALM_HDE_PC_8_c
36,PLDAGAT_HDE_EPA_LNA_PC_6_c
37,DESAT18_6
38,PLDAGAT_OLE_EPA_DHA_PC_5_c
39,ETHAPT_OLE_ARA_c
40,PAPA_HDE_MYRS_c
41,LPCAT_MYRS_MYRS_sn2_c
42,PGPP161
43,PLDAGAT_PALM_HDE_HDE_PE_14_c
44,DAGK141
45,LINOFATPtc
46,lipid2
47,ETHAPT_DHA_LNA_c
48,STARCH300Sc
49,ATPM_h
50,PLPSD18111Z1819Z
51,PLPSA218111Z1845Z9Z12Z15Z
52,CHOPT_OLE_DHA_c
53,CHOPT_LNA_LNA_c
54,PLIPA2G161
55,ACOADAGAT_HDE_PALM_EPA_c
56,PLDAGAT_EPA_EPA_EPA_PE_12_c
57,CHOPT_PALM_HDE_c
58,PAPA1819Z1819Z
59,lipid10
60,PLPSD1819Z1819Z
61,ps_prod5
62,DAGAH_MYRS_DHA_c
63,PLD_SC
64,PAPA_HDE_ARA_c
65,PLDAGAT_HDE_PALM_LNA_PE_9_c
66,PLDPE_PALM_PALM_c
67,CHOPT_STC_STC_c
68,PCD12DS_LNA_LNA_sn1_c
69,PCW3DS_HDE_EPA_sn2_c
70,METTRPPHEr
71,CHOPT_HDE_EPA_c
72,CHOPT_PALM_EPA_c
73,PLDAGAT_HDE_PALM_LNA_PC_6_c
74,DAGAH_DHA_LNA_c
75,PHEPHETHRr
76,LDL_HSSYNnhs
77,PPPGO
78,pe_prod3
79,PSSA181
80,PLDPE_DHA_PALM_c
81,PGSA183_9_12_15
82,AGPATCOA_HDE_TTC_c
83,PLDPC_MYRS_DHA_c
84,PIPLC
85,CHOPT_DHA_DHA_c
86,PLPSA218111Z1829Z12Z
87,AGPATCOA_HDE_DHA_c
88,PCW3DS_PALM_EPA_sn2_c
89,PLDAGAT_MYRS_MYRS_HDE_PC_5_c
90,PLDAGAT_LNA_EPA_LNA_PC_3_c
91,PLDAGAT_MYRS_HDE_HDE_PE_12_c
92,GMPR
93,PLA2PC_OLE_ARA_c
94,DAGAH_STC_HDE_c
95,PCLAD
96,NMNP
97,DAGCPT
98,PPPGO2_1
99,PIPLC_cho
100,PAPA_PALM_EPA_c
101,PLDPE_HDE_ALNA_c
102,5FTHFt
103,AGPAT4nhs
104,PLIPA2G140
105,EX_5fthf_e
106,GLCS1
107,PGSA140
108,PLDPE_STC_STC_c
109,PGPP140
110,FACOAL205
111,CHOPT_STC_EPA_c
112,MOGAT_cho
113,LPCAT_LNA_DHA_sn2_c
114,LPEAT_OLE_ARA_sn2_c
115,CHOPT_MYRS_MYRS_c
116,PLDAGAT_PALM_EPA_LNA_PC_3_c
117,PAPA_DHA_PALM_c
118,PI4P5K_HDE_LNA_c
119,HMR_2380
120,PLDPC_HDE_LNA_c
121,2DR1PP
122,PLDPC_LNA_EPA_c
123,PIPLC_LNA_LNA_c
124,EX_phephethr_e
125,HMR_2495
126,CE1352te
127,6PGTt_h
128,PLDAGAT_MYRS_MYRS_HDE_PE_9_c
129,PLPSA21819Z1835Z9Z12Z
130,ARTFR51_cho
131,SERHL
132,AASAD3
133,PAPA_STC_ARA_c
134,ETHAPT_OLE_DHA_c
135,EX_HC00005_e
136,ETHAPT_LNA_LNA_c
137,pg_prod3
138,AGPATCOA_PALM_OLE_c
139,PLDAGAT_EPA_EPA_EPA_PE_11_c
140,ETHAPT_MYRS_EPA_c
141,EX_ldl_enhs
142,EX_CE1352_e
143,PLDAGAT_HDE_ARA_ARA_PC_6_c
144,AGPATCOA1601819Z
145,LPEAT_EPA_GLNA_sn2_c
146,PLDPC_STC_ARA_c
147,PI3P4K_cho
148,PI4P4Pn_cho
149,lipid4
150,PLDAGAT_HDE_ARA_ARA_PC_3_c
151,AGPATCOA_HDE_MYRS_c
152,EX_fadh2_c
153,PAPA_HDE_DHA_c
154,ETHAPT_EPA_GLNA_c
155,APH120
156,PAPA_HDE_LNA_c
157,PCD12DS_LNA_DHA_sn1_c
158,LPEAT_HDE_ARA_sn2_c
159,PPAPnhs
160,LPLIPAL1G140
161,AGPAT181
162,DESAT18_8
163,CDAPPA141
164,SQD2_183_9_12_15
165,PLA2PC_PALM_OLE_c
166,PLA2PE_DHA_PALM_c
167,PAPA_HDE_TTC_c
168,ps_prod4
169,ETHAPT_STC_LNA_c
170,PLDPE_MYRS_DHA_c
171,PSSA140
172,H2Otu_syn
173,PAPA_HDE_ALNA_c
174,DAGAH_HDE_ALNA_c
175,PLA2PC_PALM_ALNA_c
176,GLCS2
177,G6PB_pi_th
178,RTOT5_cho
179,EX_xolest2_hs_e
180,ACOADAGAT_HDE_EPA_EPA_c
181,PLA2PC_STC_ARA_c
182,RE3041N
183,AGPATCOA_PALM_EPA_c
184,CDAPPA140
185,G6PBDHh
186,PLDPC_HDE_ARA_c
187,LPCAT_MYRS_EPA_sn2_c
188,PLDAGAT_MYRS_EPA_HDE_PC_8_c
189,GALO
190,lipid3
191,PCHOLPALM_HSPLA2nhs
192,PLDAGAT_MYRS_EPA_HDE_PE_14_c
193,PLDAGAT_HDE_PALM_LNA_PC_3_c
194,pi_prod4
195,DURIPP
196,SPRn
197,PLDAGAT_MYRS_EPA_HDE_PE_15_c
198,ETHAPT_STC_EPA_c
199,CDAPPA160
200,SMS
201,ETHAPT_PALM_ALNA_c
202,PLDAGAT_HDE_EPA_DHA_PC_5_c
203,PGPP183_9_12_15
204,PLPSA21829Z12Z1835Z9Z12Z
205,PEPALM_HSASBCtnhs
206,CMPDAi
207,pe_prod1
208,CHOPT_PALM_OLE_c
209,CHOPT_STC_HDE_c
210,SACCD_c
211,PLA2PC_LNA_ARA_c
212,PLPSD1819Z1845Z9Z12Z15Z
213,PCW3DS_LNA_EPA_sn2_c
214,AMCOXO
215,PCW3DS_STC_EPA_sn2_c
216,PAPA_LNA_EPA_c
217,PIPLC_HDE_LNA_c
218,IDL_HSSYNnhs
219,LPS3_cho
220,PLDAGAT_MYRS_HDE_HDE_PC_5_c
221,PAPA_OLE_ARA_c
222,LPEAT_PALM_ALNA_sn2_c
223,PLDAGAT_HDE_EPA_LNA_PE_16_c
224,AGPATCOA18111Z1819Z
225,PAPA120
226,PLDAGAT_LNA_EPA_LNA_PE_13_c
227,AASS_c
228,PI4P5K_LNA_LNA_c
229,CHOPT_MYRS_EPA_c
230,ACOADAGAT_EPA_EPA_EPA_c
231,AGPATCOA_PALM_PALM_c
232,PINOS_SC
233,PGSA161
234,PSSA141
235,CEPTCnhs
236,PLDPE_MYRS_HDE_c
237,NMNt7
238,ETHAPT_LNA_EPA_c
239,ETHAPT_DHA_HDE_c
240,QUILSYN
241,PLA2PE_HDE_ALNA_c
242,DAGAH_HDE_DHA_c
243,ATPS_h
244,pe_prod2
245,ETHAPT_HDE_HDE_c
246,LPCAT_DHA_PALM_sn2_c
247,NNDPR
248,LPCAT_STC_STC_sn2_c
249,PAPA_PALM_ALNA_c
250,ACOADAGAT_OLE_EPA_DHA_c
251,GPAM_hsnhs
252,HMR_1962
253,DAGAH_MYRS_GLNA_c
254,PLDPE_MYRS_GLNA_c
255,ETHAPT_STC_HDE_c
256,PLDPE_MYRS_MYRS_c
257,NADDP
258,AATA
259,LPLIPAL1G161
260,ETHAPT
261,ETHAPT_STC_ARA_c
262,ETHAPT_PALM_PALM_c
263,ADPHt_h
264,ETHAPT_HDE_EPA_c
265,LNLCt
266,PAPA180
267,PLDAGAT_PALM_HDE_HDE_PC_1_c
268,DAGAH_DHA_DHA_c
269,LCAT14enhs
270,METTRPPHEt
271,GMPt6
272,2_7_8_3
273,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
274,EX_idl_enhs
275,pg_prod2
276,ETHAPT_MYRS_GLNA_c
277,LPEAT_LNA_EPA_sn2_c
278,PIK3_cho
279,PSD161
280,SQDGS_HDE_TTC_c
281,SO4tl
282,CDAPPA120
283,FAEL205_cho
284,PLDPC_PALM_ALNA_c
285,PCHOLHSTDe_1nhs
286,PGSA141
287,DAGAH_MYRS_LNA_c
288,PLPSA21819Z1845Z9Z12Z15Z
289,lipid5
290,FAEL183_cho
291,CHOPT_DHA_PALM_c
292,ETHAPT_MYRS_DHA_c
293,AGPAT120
294,pi_prod3
295,APSR
296,PHEPHETHRt
