,rxns_added
0,CYRDAR2
1,PLIPA2G120
2,ASPOb
3,3HAD40_2
4,GAT1_LLA
5,PHTHDLS2
6,ACACT4pc
7,ETHAPT_PALM_PALM_c
8,GLCTR3
9,AGPATCOA_HDE_HDE_c
10,AGPATCOA1801819Z
11,RHACOAR100
12,CHOPT_OLE_EPA_c
13,AATG
14,3HAACOAT100
15,RE0569C
16,PLDAGAT_HDE_EPA_EPA_PE_13_c
17,PLPSD1801819Z
18,AGPATACP_HDE_HDE_h
19,TM1819Z1819Z
20,PGSA181
21,CEPTEnhs
22,PGSA141
23,ACOAR5mc
24,PLPSA21801829Z12Z
25,ACth
26,DCTPD2
27,HMR_1767
28,PIPLC_LNA_EPA_c
29,DAGCPT
30,FAEL205
31,PGSA180
32,LPLIPAL1G160
33,lipid10
34,HMR_1769
35,ACNAMtr
36,NEU33enhs
37,pe_prod4
38,ARTPLM2
39,FASm220
40,ETHAPT_OLE_OLE_c
41,AGAT_LLA
42,CPC5MT
43,PLDAGAT_PALM_EPA_ARA_PC_5_c
44,PSSA120
45,acoa_prod7
46,pe_prod5
47,AHHST
48,LPS2nhs
49,HMR_1768
50,PE203_HSPLA2nhs
51,RHACOAR60
52,PHTHS2
53,PCW3DS_OLE_EPA_sn2_c
54,SALCtpp
55,ETHAPT
56,PAPA182_9_12
57,PI4P5K_LNA_EPA_c
58,PLDPE_HDE_HDE_c
59,CHOLESTle_1nhs
60,3OAS180_h
61,SK_trdrd_c
62,CHOPT_PALM_DHA_c
63,lipid2
64,pe_prod3
65,SUCCtm
66,HEPT4
67,PLDAGAT_OLE_PALM_HDE_PC_5_c
68,PLPSD18111Z1819Z
69,NADDP
70,EX_gm1_enhs
71,DCHOLESTANCOAc
72,PLIPA2G141
73,PLPSA21819Z1835Z9Z12Z
74,GLUS_nadph
75,HMR_2495
76,LPLIPAL1G141
77,HEPT1
78,PLA2PE_MYRS_DHA_c
79,PAPA180
80,PGSA160
81,PCD12DS_LNA_HDE_sn1_c
82,PGSA120
83,THRNA1th
84,NADPHtu
85,PSSA141
86,GALT1
87,HMR_1770
88,R_group_phosphotase_2
89,AGPAT141
90,TRPILETRPt
91,PLA2PC_HDE_MYRS_c
92,ACP1819ZD9DS
93,PAPA_HDE_HDE_h
94,AGPAT181
95,PLPSA218111Z1845Z9Z12Z15Z
96,HMR_0909
97,PLA2PE_OLE_OLE_c
98,HMR_0657nhs
99,ETHAPT_HDE_DHA_c
100,ACCOAth
101,CYRDAR
102,PHEGLNPHEt
103,GDR_nadp_h
104,EX_gt1b_enhs
105,PLDPE_LNA_ALNA_c
106,AACPS11
107,lipid3
108,ETHAPT_DHA_HDE_c
109,PLA2PC_OLE_PALM_c
110,AGPAT140
111,MIP2CS124_SC
112,PLA2PE_HDE_ALNA_c
113,ANXANOR
114,PEFLIP
115,APG3PAT120
116,MDH_nadp_hi
117,PLA2PC_LNA_LNA_c
118,AGPATCOA_MYRS_DHA_c
119,ETHAPT_DHA_DHA_c
120,SALCNH
121,r0739
122,DAGAH_DHA_DHA_c
123,ATAMh
124,FASm260
125,LPCAT_STC_STC_sn2_c
126,DBRC
127,PCW3DS_PALM_EPA_sn2_c
128,HEPT5
129,GDPtmt
130,ATPS_h
131,lipid4
132,NADPPPS
133,PYC_h
134,FA180ACPHi
135,FRRPPDIMAS
136,HCO3_h_thi
137,PLDAGAT_PALM_EPA_ARA_PC_6_c
138,PKETX
139,APSt_h
140,MIP2C124PLC_SC
141,ETHAPT_OLE_EPA_c
142,PLDPC_LNA_HDE_c
143,THRA_1
144,ACPT1819Z1819Z
145,ACGPID
146,RPPDIMAS
147,LPLIPAL1G120
148,LPLIPAL1G181
149,GTHS_h
150,G3PD2_1
151,EX_tudca3s_e
152,AGPATCOA_STC_EPA_c
153,NNDPR
154,RRPPDIMAS
155,URSCHOLCOAc
156,CDAPPA120
157,PLDPE_MYRS_DHA_c
158,DOLPMT_L
159,3OAS100_1
160,RE0577C
161,PIP4K_LNA_EPA_c
162,SULR_ferr
163,METHFtxc
164,PIACGT
165,PHEGLNPHEr
166,PCW3DS_LNA_ALNA_sn2_c
167,GTHAMPORh
168,PLPSA21819Z1829Z12Z
169,RE1342C
170,PKETF
171,ACS_h
172,MCITLm
173,EX_pheglnphe_e
174,DAGK181
175,QULNS
176,lipid1
177,3OAR40_2
178,ADPHt_h
179,DGDGS_HDE_HDE_h
180,PREPPACPH
181,PLA2PC_HDE_DHA_c
182,pe_prod1
183,FA140ACPHi_1
184,ASPth
185,PGPP160
186,GLYC3Pth
187,DAGAH_PALM_PALM_c
188,PLIPA2G180
189,PHOMSELCYSL
190,CDAPPA181
191,GGGT_HDE_HDE_5_h
192,PLPSA21829Z12Z1835Z9Z12Z
193,ARTPLM1
194,UMPK4
195,PLDAGAT_PALM_EPA_ARA_PC_2_c
196,R5PP
197,G3PAT181h
198,DAGK141
199,AGPATCOA_HDE_MYRS_c
200,G3PAT1819Z_h
201,pi_prod4
202,PLPSA218111Z1835Z9Z12Z
203,APH120
204,HEPT2
205,ETHAPT_HDE_ALNA_c
206,PLIPA2G181
207,CHOPT_PALM_EPA_c
208,ECOAH2_1c
209,AACPS1_1
210,HMR_0653nhs
211,GMPR
212,MDRPD
213,pe_prod7
214,pe_prod6
215,F6PP
216,PLDAGAT_HDE_EPA_DHA_PE_9_c
217,LPLIPAL1G180
218,LPCAT_LNA_ALNA_sn2_c
219,4HBHYOX
220,NADPPPSm
221,SUCRt2
222,CBFC_u
223,ACOAR4mc
224,PLDAGAT_MYRS_EPA_DHA_PE_15_c
225,AACPDAGAT_OLE_PALM_HDE_h
226,PLDPE_LNA_HDE_c
227,PGPP180
228,CEPTCnhs
229,ACHMSSELCYSLh
230,PLDPE_HDE_MYRS_c
231,NADK_h
232,GLCTR1
233,CODSCL5BMT
234,NDH1_2u
235,R_group_phosphotase_1
236,GALh
237,PAPA1819Z160h
238,DMBZIDS
239,HC02195c
240,NMNP
241,ASPNA1th
242,CDAPPA141
243,PI4P5K_LNA_LNA_c
244,ETHAPT_HDE_HDE_c
245,DAGAH_PALM_DHA_c
246,pe_prod2
247,GLCTR2
248,RHAT1
249,PIP3P_LNA_EPA_c
250,PLA2PC_OLE_OLE_c
251,NMNt7
252,PIPLC_LNA_LNA_c
253,ACALDh
254,ACNPLYS
255,H2Otu_syn
256,CDAPPA140
257,SPS
258,APSR
259,GTPtmt
260,PLDPC_LNA_ALNA_c
261,PGPP181
262,GLCTR4
263,TUDCA3Sabc
264,GLUth
265,EAR40x
266,HMR_0908
267,PIPLC
268,PLPSA218111Z1829Z12Z
269,HMR_0469nhs
270,AGPATCOA18111Z1819Z
271,PLDPC_STC_ALNA_c
272,PGPP120
273,MGDGS_HDE_HDE_h
274,ETHAPT_OLE_PALM_c
275,PLDAGAT_MYRS_EPA_DHA_PC_3_c
276,COLIPAabctexc
277,CDAPPA161
278,FASm280
279,TAG_OLE_PALM_HDEt_h
280,PGPP141
281,PINOS
282,DOLPMT4
283,HMR_1771
284,PLA2PC_PALM_DHA_c
285,DAGAH_DHA_HDE_c
286,HCYSMT
287,3HAACOAT60
288,SPP
289,UDPGtnic
290,CYO1b2_syn
291,PPIth
292,TRPILETRPr
293,r1464
294,PLDAGAT_OLE_PALM_HDE_PE_15_c
295,PLDPC_LNA_EPA_c
296,DHAP_pi_thr
297,PLDAGAT_OLE_EPA_EPA_PE_12_c
298,DAGK18111Z1819Zh
299,PLDPE_STC_EPA_c
300,HMGL
301,CYSDO
302,HMR_7748
303,3HAD100
304,ACOAR6mc
305,SMS
306,PE203_HSABCtnhs
307,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
308,PLA2_2enhs
309,PLDPE_OLE_PALM_c
310,RE1835C
311,F6PA
312,NADHth
313,PLDPC_OLE_PALM_c
314,GLCNACT_L
315,7KLITCHOLc
316,LCAT40enhs
317,lipid5
318,TUDCASULT
319,2_7_8_3
320,pi_prod3
321,ACACt2m
322,PAPA_LNA_EPA_c
323,VNDH_3
324,DGDGS1819Z160
325,ETHAPT_LNA_EPA_c
326,IPCS124_SC
327,FDMO4
328,pe_prod10
329,LPEAT_STC_ALNA_sn2_c
330,PLDPC_LNA_LNA_c
331,BDMT_L
332,GMPt6
333,RE1807C
334,DOLPMT3
335,PEHSFABPenhs
336,AGPAT1819Z160h
337,LPEAT_LNA_EPA_sn2_c
338,NEU34enhs
339,AGPAT18111Z1819Zh
340,ETHAPT_MYRS_MYRS_c
341,FA180h
342,CHOPT_HDE_DHA_c
343,PLIPA2G160
344,DAGK120
345,FASm240
346,PLDAGAT_OLE_EPA_EPA_PE_13_c
347,NADPtmt
348,PLDPE_STC_ALNA_c
