,rxns_added
0,PA181tap
1,PAPA_EPA_OLE_c
2,G13MT_L
3,EX_thf_e
4,PLDAGAT_MYRS_EPA_EPA_PE_13_c
5,CHOPT_OLE_HDE_c
6,PLDPC_OLE_DHA_c
7,LPCH2055Z8Z11Z14Z17Z_sn1_c
8,PLDAGAT_EPA_EPA_ARA_PC_7_c
9,PLDAGAT_PALM_EPA_DHA_PE_12_c
10,NADtap
11,PLDAGAT_HDE_MYRS_PALM_PC_2_c
12,PLDAGAT_EPA_EPA_ARA_PC_5_c
13,FMNt
14,DAGAH_DHA_EPA_c
15,AGPATCOA_MYRS_DHA_c
16,G12MT1_L
17,PLDAGAT_HDE_ARA_ARA_PE_15_c
18,PLDPC_OLE_LNA_c
19,CHOPT_PALM_OLE_c
20,CHOPT_STC_EPA_c
21,PLA2PC_STC_STC_c
22,THRTHRARGt
23,ETHAPT_EPA_PALM_c
24,AHSERL
25,PCW3DS_STC_EPA_sn2_c
26,PAPA_HDE_OLE_c
27,DAGK_HDE_DHA_c
28,PCD12DS_DHA_LNA_sn2_c
29,CHOPT_DHA_EPA_c
30,G3PAT181_ap
31,LPCAT_EPA_DHA_sn2_c
32,DOLPMTcer
33,PCW3DS_HDE_EPA_sn2_c
34,PLDAGAT_LNA_EPA_ARA_PE_11_c
35,PI45PLC_18_2_16_0nhs
36,CDIPT_PALM_EPA_c
37,PLDPE_MYRS_DHA_c
38,EX_thrthrarg_e
39,ETHAPT_MYRS_HDE_c
40,PLDAGAT_DHA_EPA_ARA_PC_4_c
41,PLDAGAT_DHA_EPA_ARA_PC_5_c
42,PIP4K_LNA_LNA_c
43,PCD12DS_LNA_HDE_sn1_c
44,PLA2PE_OLE_DHA_c
45,PLDAGAT_HDE_EPA_ARA_PE_13_c
46,LPCAT_EPA_LNA_sn2_c
47,ETHAPT_OLE_HDE_c
48,PLA2PC_STC_ALNA_c
49,NMNDA
50,PLDAGAT_PALM_EPA_DHA_PC_8_c
51,PLDAGAT_OLE_HDE_HDE_PC_1_c
52,DHNAOT
53,PLDPC_EPA_EPA_c
54,FACOAL205
55,PLDAGAT_MYRS_HDE_HDE_PC_1_c
56,CHOPT_MYRS_HDE_c
57,G12MT2_L
58,PLDPC_STC_DHA_c
59,PLDPC_DHA_DHA_c
60,G3PAT2264Z7Z10Z13Z16Z19Z_c
61,CHOPT_HDE_DHA_c
62,ETHAPT_HDE_DHA_c
63,CDPDAGS_PALM_EPA_c
64,PCW3DS_STC_ALNA_sn2_c
