,rxns_added
0,LPASEnhs
1,GQ1Btenhs
2,GART
3,PLDAGAT_MYRS_EPA_EPA_PE_10_c
4,NEU36enhs
5,3SALAASPm
6,THRTHRARGt
7,R_group_phosphotase_2
8,ARTPLM2
9,ASNNA1t_m
10,CHORM
11,DAGK181
12,ps_prod6
13,ps_prod7
14,FOLt
15,PPNDH
16,THRTHRARGr
17,RBK
18,MLTHFtm
19,RHACOAR120
20,CYSO
21,PLDPE_PALM_EPA_c
22,POAACR
23,PYROX
24,ADNtm
25,ETHAPT_MYRS_GLNA_c
26,PLDPE_MYRS_EPA_c
27,CHOPT_HDE_EPA_c
28,CBMD
29,ACNAMtr
30,PLA2_2nhs
31,3HAD40_2
32,GARFT
33,3HAACOAT120
34,AGPATCOA_HDE_DHA_c
35,EX_thrthrarg_e
36,SERt2m
37,NEU34enhs
38,LPS2nhs
39,FMNtex
40,AGPATCOA_MYRS_EPA_c
41,RHACOAR80
42,3OAR40_2
43,LPS3nhs
44,3HAACOAT80
45,GHMT2r_m
46,PLDAGAT_MYRS_EPA_EPA_PE_11_c
47,FOLOAT2tc
48,PAPA160
49,URACPAH
50,CO2tmt
51,3AMACHYD
52,ASNNm
53,FMNt
