,rxns_added
0,GDR_nadp_h
1,PLDAGAT_DHA_EPA_ARA_PE_16_c
2,G3PAT2055Z8Z11Z14Z17Z_c
3,APG3PAT141
4,PGCD
5,G3PAT181
6,PCW3DS_STC_EPA_sn2_c
7,PLDAGAT_MYRS_EPA_DHA_PE_15_c
8,AGPAT181
9,FACOAE60
10,LYSLYSLYSr
11,PLDAGAT_DHA_EPA_DHA_PC_7_c
12,ASPVALASNt
13,lipid1
14,APSt_h
15,ATNS
16,PLDPC_DHA_ARA_c
17,MI1PP
18,LEUASNASPr
19,FA1819ZACPHc
20,C141SN
21,NA1Hth
22,PLDAGAT_MYRS_EPA_DHA_PC_7_c
23,SAT
24,G16MTM8
25,PLPSA21801819Z
26,PLIPA2A161
27,COAth
28,CDAPPA161
29,LIPOCT
30,CTECOAI6
31,ECOAH2
32,CEPTCnhs
33,TAGO
34,ARTPLM1
35,LEUASNASPt
36,GLS2
37,PLA2PE_STC_STC_c
38,PLDPE_STC_STC_c
39,G6PB_pi_th
40,CDAPPA120
41,LPCAT_STC_ALNA_sn2_c
42,ADPRIBt
43,VALLEUPHEr
44,ATP_3h_th
45,EAR40y
46,PYRNAt_h
47,GLS2e
48,ETHAPT_DHA_DHA_c
49,PDYXPT_c
50,LPS2_16_0_16_0nhs
51,AKG_na_th
52,EX_cysleuthr_e
53,r0398
54,PLDAGAT_DHA_EPA_DHA_PE_9_c
55,NADPth
56,ILEASNHISt
57,PSSA181
58,CMPDAi
59,ACHMSSELCYSL
60,DAGCPT
61,PLDPE_STC_DHA_c
62,PLDAGAT_DHA_EPA_ARA_PC_4_c
63,PI45PLC_16_0_16_0nhs
64,FACOAE80
65,PAPA18111Z1819Z
66,LPLIPAL1A160
67,PLIPA2A160
68,ACOADAGAT_DHA_EPA_ARA_c
69,NADHDH
70,PI45BPP
71,CYSLEUTHRr
72,G16MTM10
73,ACOATA
74,ASPVALASNr
75,PLDAGAT_HDE_EPA_LNA_PC_2_c
76,PIP4K_EPA_EPA_c
77,CDAPPA160
78,ACOAD5_1
79,NDP7
80,MALSh
81,TRPTHRILEt
82,PLDPE_DHA_ARA_c
83,SERNA1th
84,PFK26
85,3OAR60
86,FBA3
87,PIP3P_EPA_EPA_c
88,ECOAH5
89,MTHFD
90,ALATA_L
91,GPDDA1
92,ATNS_nh4
93,PYDXPP
94,ATPt_h
95,PSP_L
96,CYSLY3
97,GNMT
98,EX_amp_e
99,OCTNLL
100,SO3R_h
101,EX_nad_e
102,FATP1t
103,3HAACOAT60
104,EX_5fthf_e
105,GPIAT
106,pe_prod6
107,ARGSERSERr
108,3OAS60
109,DAGAH_STC_LNA_c
110,GPAM_18_0nhs
111,ETHAPT_STC_LNA_c
112,GLUS_nadph
113,PSSA180
114,CDAPPA140
115,PCW3DS_STC_ALNA_sn2_c
116,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
117,EX_thrasntyr_e
118,F6PBth
119,ATPSh
120,ETHAPT_STC_EPA_c
121,THRASNTYRr
122,PLDAGAT_HDE_PALM_LNA_PC_2_c
123,DAGAH_EPA_HDE_c
124,PLDAGAT_HDE_ARA_ARA_PC_2_c
125,ILEARGILEr
126,ACACT5pc
127,DAGAH_EPA_LNA_c
128,HMR_0654
129,METGL
130,HACD3i
131,PAPt
132,PLDAGAT_HDE_PALM_LNA_PE_12_c
133,G16MTM1
134,HMR_0657nhs
135,EX_pap_e
136,CHOPT_EPA_HDE_c
137,ECOAH6
138,EX_adprib_e
139,GLYDHDA
140,NDH1_2u
141,ETHAPT_STC_DHA_c
142,DAGK_18_0_18_2nhs
143,FCYTOB5OXR_c
144,ETHAPT_PALM_ALNA_c
145,ACHMSSELCYSLh
146,DCTPD2
147,CBFC_u
148,UDPGP
149,AGDC
150,HCYSth
151,PCW3DS_DHA_EPA_sn2_c
152,CHOPT_MYRS_EPA_c
153,PLPSA218111Z1829Z12Z
154,GLCt1
155,ACGAMK
156,GLCNACT
157,RHACOAR60
158,MSULR
159,ps_prod7
160,PLDPC_STC_LNA_c
161,LPCAT_DHA_EPA_sn2_c
162,PFK26_1
163,PLDPC_MYRS_MYRS_c
164,LPCH140_sn1_c
165,GTHOXti
166,EX_glucan1500_e
167,DAGPYP_SC
168,CODH_ACS
169,LYSLYSLYSt
170,LPS2_16_0_18_2nhs
171,PCW3DS_PALM_EPA_sn2_c
172,ETHAPT_EPA_EPA_c
173,G16MTM6
174,FNORh
175,ARGSERSERt
176,pi_prod4
177,UDPGtnic
178,NADDP
179,GTHAMPOR
180,PAPA_PALM_ALNA_c
