,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
ASNTYRTHRr,,,not in model,not in model,not in model,,,,,,,,,
URFGTT,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_gthox_protein_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
XMO,,,not in model,not in model,not in model,,,,,,,,,
ACOADAGAT16018111Z180,,,not in model,nonlethal,not in model,,,,,,,,,
PRPPS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MECDPDH2_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
HBCO_nadp_m,,,not in model,not in model,not in model,,,,,,,,,
ALCD20y,,,not in model,not in model,not in model,,,,,,,,,
ACOAR4mc,,,not in model,not in model,not in model,,,,,,,,,
FAS141,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MLTHFte3,,,nonlethal,not in model,not in model,,,,,,,,,
D_LACDmc,,,not in model,not in model,not in model,,,,,,,,,
GGPS,,,not in model,not in model,not in model,,,,,,,,,
PPCOAOmc,,,not in model,not in model,not in model,,,,,,,,,
PLA2PE_EPA_DHA_c,,,not in model,nonlethal,not in model,,,,,,,,,
FACOAL60t2pp_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
AACPS2,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ACS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PHETRSm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
AMPt,,,not in model,not in model,not in model,,,,,,,,,
ASPO3,,,not in model,not in model,nonlethal,,,,,,,,,
TAGAH1819Z18111Z1845Z9Z12Z15Z,,,not in model,not in model,not in model,,,,,,,,,
AP4AS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SULO,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GPDDA5,,,not in model,nonlethal,nonlethal,,,,,,,,,
DHORD3,,,not in model,not in model,not in model,,,,,,,,,
ETHAPT_OLE_STC_c,,,not in model,not in model,not in model,,,,,,,,,
SERA_m,,,not in model,not in model,not in model,,,,,,,,,
DASYN_SA,,,not in model,not in model,not in model,,,,,,,,,
MDH4,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PRFGS_1,,,not in model,not in model,not in model,,,,,,,,,
ALANA1tm,,,not in model,not in model,not in model,,,,,,,,,
ARABRr,,,not in model,not in model,not in model,,,,,,,,,
OXOAEL,,,not in model,not in model,not in model,,,,,,,,,
PLDAGAT16018111Z18111Z2,,,not in model,not in model,not in model,,,,,,,,,
NADH2_u6mc,,,not in model,not in model,not in model,,,,,,,,,
3HAD160_ap,,,not in model,nonlethal,nonlethal,,,,,,,,,
HISTRPHISt,,,not in model,not in model,not in model,,,,,,,,,
KARA1im,,,not in model,not in model,not in model,,,,,,,,,
RBK_L1,,,not in model,not in model,not in model,,,,,,,,,
HACD1_1,,,not in model,not in model,not in model,,,,,,,,,
ALDD18,,,not in model,not in model,not in model,,,,,,,,,
ILEtm,,,not in model,not in model,not in model,,,,,,,,,
G14N8g,,,nonlethal,not in model,not in model,,,,,,,,,
ETHAPT_OLE_HDE_c,,,not in model,not in model,not in model,,,,,,,,,
CYO1_KTc,,,not in model,not in model,not in model,,,,,,,,,
EX_mn2_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
GLTS_m,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
G3PAT160_1,,,not in model,not in model,not in model,,,,,,,,,
TYRt,,,nonlethal,not in model,not in model,,,,,,,,,
H2ASE_syn,,,not in model,not in model,not in model,,,,,,,,,
CHLAEc,,,not in model,not in model,not in model,,,,,,,,,
HBZOPT6m_1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALCD19y,,,not in model,nonlethal,nonlethal,,,,,,,,,
ARMT,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
C160SN,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PDHbr,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
DHAD2,,,nonlethal,not in model,not in model,,,,,,,,,
PGP141abcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
OMMBLHX,,,not in model,not in model,not in model,,,,,,,,,
ALCD25yi,,,not in model,not in model,not in model,,,,,,,,,
RBFK,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
4HGLSD,,,not in model,not in model,not in model,,,,,,,,,
SQDGW6DS1829Z12Z160c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_hb_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
THRGLNexR,,,not in model,nonlethal,nonlethal,,,,,,,,,
NITR,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
