,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
EX_ergst_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PIabc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ARGSL,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NADTRHD,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MPAKI,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
KAS5,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DHRT_ivcoa,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PSUDS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_fru_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
HADPCOADH,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DASYNm_SC,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NADKm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
UDCPDPS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
3OAS140,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CDPDAGtmnhs,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MELTGH,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
AGPAT160,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CY_focytb5_c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NDP1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DHFS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DNMPPA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
3OAR121,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CA2abc1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MYCON1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ADKd,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLCR1TRA1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DOLPMT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
SULR,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACP1819ZD9DSc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_sprm_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MALLAC,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DMATT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NTPP11,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLUDxi,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
3OAR100,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
HYPTROX,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PDHa,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MPTAT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_ptrc_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FAO181p_oddc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DHRT_2mbcoa,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_citr__L_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_protein_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
C22STDSx,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_chsterol_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
LPLPS1AGPE18111Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_pe1819Z1819Z_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FAO10,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
HDSc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_isetac_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FAS140,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACACT2c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PYK,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MTOLDOX,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PNTOt2,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DM_thr__L_c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DCMPDA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CCP2m,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACOTA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
3HAD180,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ASPGLU2m,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MGDGW3DS1829Z12Z1637Z10Z13Zc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
UGLYCH,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACACT5pc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLYCLm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
LCADm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
UPPRT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CMPA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GTHPm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ADCS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FA80ACPHi,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PHCYT_BS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Zc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
BTS_nadph,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NO2Rc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MYCSacp56,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
