,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
EX_ergst_e,,,,,nonlethal,,,,,,
PIabc,,,,,not in model,,,,,,
ARGSL,,,,,nonlethal,,,,,,
NADTRHD,,,,,nonlethal,,,,,,
MPAKI,,,,,nonlethal,,,,,,
KAS5,,,,,nonlethal,,,,,,
DHRT_ivcoa,,,,,nonlethal,,,,,,
PSUDS,,,,,nonlethal,,,,,,
EX_fru_e,,,,,nonlethal,,,,,,
HADPCOADH,,,,,nonlethal,,,,,,
DASYNm_SC,,,,,nonlethal,,,,,,
NADKm,,,,,nonlethal,,,,,,
UDCPDPS,,,,,nonlethal,,,,,,
3OAS140,,,,,nonlethal,,,,,,
CDPDAGtmnhs,,,,,nonlethal,,,,,,
MELTGH,,,,,nonlethal,,,,,,
AGPAT160,,,,,nonlethal,,,,,,
CY_focytb5_c,,,,,nonlethal,,,,,,
NDP1,,,,,nonlethal,,,,,,
DHFS,,,,,nonlethal,,,,,,
DNMPPA,,,,,nonlethal,,,,,,
3OAR121,,,,,nonlethal,,,,,,
CA2abc1,,,,,nonlethal,,,,,,
MYCON1,,,,,nonlethal,,,,,,
ADKd,,,,,nonlethal,,,,,,
GLCR1TRA1,,,,,nonlethal,,,,,,
DOLPMT,,,,,nonlethal,,,,,,
SULR,,,,,not in model,,,,,,
ACP1819ZD9DSc,,,,,nonlethal,,,,,,
EX_sprm_e,,,,,nonlethal,,,,,,
MALLAC,,,,,nonlethal,,,,,,
DMATT,,,,,nonlethal,,,,,,
NTPP11,,,,,nonlethal,,,,,,
GLUDxi,,,,,nonlethal,,,,,,
3OAR100,,,,,nonlethal,,,,,,
HYPTROX,,,,,not in model,,,,,,
PDHa,,,,,nonlethal,,,,,,
MPTAT,,,,,nonlethal,,,,,,
EX_ptrc_e,,,,,nonlethal,,,,,,
FAO181p_oddc,,,,,nonlethal,,,,,,
DHRT_2mbcoa,,,,,nonlethal,,,,,,
EX_citr__L_e,,,,,nonlethal,,,,,,
EX_protein_e,,,,,nonlethal,,,,,,
C22STDSx,,,,,nonlethal,,,,,,
EX_chsterol_e,,,,,nonlethal,,,,,,
LPLPS1AGPE18111Z,,,,,nonlethal,,,,,,
EX_pe1819Z1819Z_e,,,,,nonlethal,,,,,,
FAO10,,,,,nonlethal,,,,,,
HDSc,,,,,nonlethal,,,,,,
EX_isetac_e,,,,,nonlethal,,,,,,
FAS140,,,,,nonlethal,,,,,,
ACACT2c,,,,,nonlethal,,,,,,
PYK,,,,,nonlethal,,,,,,
MTOLDOX,,,,,nonlethal,,,,,,
PNTOt2,,,,,not in model,,,,,,
DM_thr__L_c,,,,,nonlethal,,,,,,
DCMPDA,,,,,nonlethal,,,,,,
CCP2m,,,,,nonlethal,,,,,,
ACOTA,,,,,nonlethal,,,,,,
3HAD180,,,,,nonlethal,,,,,,
ASPGLU2m,,,,,nonlethal,,,,,,
MGDGW3DS1829Z12Z1637Z10Z13Zc,,,,,nonlethal,,,,,,
UGLYCH,,,,,nonlethal,,,,,,
ACACT5pc,,,,,nonlethal,,,,,,
GLYCLm,,,,,nonlethal,,,,,,
LCADm,,,,,nonlethal,,,,,,
UPPRT,,,,,nonlethal,,,,,,
CMPA,,,,,nonlethal,,,,,,
GTHPm,,,,,nonlethal,,,,,,
ADCS,,,,,nonlethal,,,,,,
FA80ACPHi,,,,,nonlethal,,,,,,
PHCYT_BS,,,,,nonlethal,,,,,,
DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Zc,,,,,nonlethal,,,,,,
BTS_nadph,,,,,nonlethal,,,,,,
NO2Rc,,,,,nonlethal,,,,,,
MYCSacp56,,,,,nonlethal,,,,,,
ILEtm,,,,,nonlethal,,,,,,
EX_tchola_e,,,,,nonlethal,,,,,,
FAS140COA,,,,,nonlethal,,,,,,
TAG_HDE_HDE_PALMt_h,,,,,not in model,,,,,,
CPPPGO,,,,,nonlethal,,,,,,
OAADC,,,,,nonlethal,,,,,,
NTPP9,,,,,nonlethal,,,,,,
NADNe,,,,,not in model,,,,,,
DHORDi,,,,,nonlethal,,,,,,
ILETAm,,,,,nonlethal,,,,,,
TAGAH1801819Z1835Z9Z12Z,,,,,nonlethal,,,,,,
DLYSPYRAT,,,,,nonlethal,,,,,,
EX_ni2_e,,,,,nonlethal,,,,,,
GCCbim,,,,,nonlethal,,,,,,
3OAR181_1c,,,,,nonlethal,,,,,,
APPAT,,,,,nonlethal,,,,,,
SO3t_1,,,,,not in model,,,,,,
MG2abc,,,,,nonlethal,,,,,,
ACCOACrm,,,,,nonlethal,,,,,,
OGCOAAT,,,,,nonlethal,,,,,,
FA160COAabcp_1c,,,,,nonlethal,,,,,,
PI45BPP_SC,,,,,nonlethal,,,,,,
MOTH1,,,,,nonlethal,,,,,,
EX_pa120_e,,,,,nonlethal,,,,,,
ACACT7r,,,,,nonlethal,,,,,,
TAGAH18111Z1819Z1835Z9Z12Z,,,,,nonlethal,,,,,,
MGDGD4DS1819Z1644Z7Z10Z13Zc,,,,,nonlethal,,,,,,
APG3PAT160,,,,,not in model,,,,,,
PDIMAS,,,,,nonlethal,,,,,,
dgl_prod3,,,,,nonlethal,,,,,,
DDPAm,,,,,nonlethal,,,,,,
HSERTA,,,,,nonlethal,,,,,,
MTAM_nh4,,,,,nonlethal,,,,,,
2AGPEAT141,,,,,nonlethal,,,,,,
MALTabc,,,,,nonlethal,,,,,,
EX_ps140_e,,,,,nonlethal,,,,,,
PLPSA21819Z1845Z9Z12Z15Z,,,,,nonlethal,,,,,,
GLYOX_2,,,,,nonlethal,,,,,,
DGTCY,,,,,nonlethal,,,,,,
HACD8,,,,,nonlethal,,,,,,
BFBP,,,,,nonlethal,,,,,,
DAGK_OLE_HDE,,,,,nonlethal,,,,,,
PDH,,,,,nonlethal,,,,,,
PCHLD450ORc,,,,,nonlethal,,,,,,
NTPP8,,,,,nonlethal,,,,,,
SGAT,,,,,nonlethal,,,,,,
ACOAO6pc,,,,,nonlethal,,,,,,
EX_tyr__L_e,,,,,nonlethal,,,,,,
XYLabc,,,,,not in model,,,,,,
LLDH_ferr_m,,,,,nonlethal,,,,,,
EAR140x,,,,,nonlethal,,,,,,
SHSL1,,,,,nonlethal,,,,,,
FAO1,,,,,nonlethal,,,,,,
EX_cu_e,,,,,nonlethal,,,,,,
EX_pa140_e,,,,,nonlethal,,,,,,
FASm180,,,,,nonlethal,,,,,,
MMSAD3,,,,,nonlethal,,,,,,
EX_glyc_e,,,,,nonlethal,,,,,,
A3GALT4c,,,,,nonlethal,,,,,,
3OAS80_1c,,,,,nonlethal,,,,,,
ACOAD4_1,,,,,nonlethal,,,,,,
FACOALPREPH,,,,,nonlethal,,,,,,
1AGPEAT18111Z1835Z9Z12Z,,,,,nonlethal,,,,,,
1AGPEAT1801819Z,,,,,nonlethal,,,,,,
SUCD2_u6m,,,,,nonlethal,,,,,,
FA141COAabcpc,,,,,nonlethal,,,,,,
FMETDF,,,,,nonlethal,,,,,,
ADSS,,,,,nonlethal,,,,,,
LYSTRSm,,,,,nonlethal,,,,,,
EX_glu__L_e,,,,,nonlethal,,,,,,
GCCc,,,,,nonlethal,,,,,,
VALTAim,,,,,nonlethal,,,,,,
SOTA,,,,,nonlethal,,,,,,
GDRm,,,,,not in model,,,,,,
PS181abcppc,,,,,nonlethal,,,,,,
ACOAR4mc,,,,,nonlethal,,,,,,
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,,,,,nonlethal,,,,,,
GTPH1,,,,,nonlethal,,,,,,
TKT2hc,,,,,nonlethal,,,,,,
AACPS6_1c,,,,,nonlethal,,,,,,
NO2R,,,,,not in model,,,,,,
GHBDHx,,,,,nonlethal,,,,,,
FE2tm,,,,,nonlethal,,,,,,
PE1819Z1819Zt,,,,,nonlethal,,,,,,
2AGPGAT120,,,,,nonlethal,,,,,,
NDPK6,,,,,nonlethal,,,,,,
ECOAH12m,,,,,nonlethal,,,,,,
ECOAH11pc,,,,,nonlethal,,,,,,
NDPK4,,,,,nonlethal,,,,,,
GLYOX_1,,,,,nonlethal,,,,,,
GLNSP1,,,,,nonlethal,,,,,,
PC,,,,,nonlethal,,,,,,
MECDPS,,,,,nonlethal,,,,,,
1AGPEAT1801829Z12Z,,,,,nonlethal,,,,,,
FASm2202,,,,,nonlethal,,,,,,
S4FE4SR,,,,,nonlethal,,,,,,
AKGDbm,,,,,nonlethal,,,,,,
PGLc,,,,,not in model,,,,,,
HACD4m,,,,,nonlethal,,,,,,
ALPHNH,,,,,nonlethal,,,,,,
HCO3abc,,,,,not in model,,,,,,
AMALT1,,,,,nonlethal,,,,,,
GLYOX,,,,,nonlethal,,,,,,
SUCLm,,,,,nonlethal,,,,,,
ECOAH4,,,,,nonlethal,,,,,,
EX_murein5px3p_e,,,,,nonlethal,,,,,,
OMCDC,,,,,nonlethal,,,,,,
ACP1619ZD9DSc,,,,,nonlethal,,,,,,
