,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
EX_ergst_e,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
PIabc,nonlethal,not in model,not in model,,not in model,,,,nonlethal,not in model,
ARGSL,nonlethal,not in model,not in model,,nonlethal,,,,nonlethal,nonlethal,
NADTRHD,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
MPAKI,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
KAS5,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
DHRT_ivcoa,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
PSUDS,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
EX_fru_e,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
HADPCOADH,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
DASYNm_SC,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
NADKm,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
UDCPDPS,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
3OAS140,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
CDPDAGtmnhs,not in model,not in model,not in model,,nonlethal,,,,not in model,not in model,
MELTGH,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
AGPAT160,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
CY_focytb5_c,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
NDP1,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
DHFS,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
DNMPPA,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
3OAR121,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
CA2abc1,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
MYCON1,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
ADKd,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
GLCR1TRA1,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,not in model,
DOLPMT,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
SULR,not in model,nonlethal,nonlethal,,not in model,,,,not in model,not in model,
ACP1819ZD9DSc,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
