,0
cgd5_3200-RA-p1,nonlethal
cgd1_280-RA-p1,nonlethal
cgd8_4250-RA-p1,nonlethal
cgd3_330-RA-p1,nonlethal
cgd4_2900-RA-p1,nonlethal
cgd3_2180-RA-p1,nonlethal
cgd1_3710-RA-p1,lethal
cgd7_3120-RA-p1,lethal
cgd5_3360-RA-p1,lethal
cgd8_1400-RA-p1,nonlethal
cgd6_560-RA-p1,nonlethal
cgd8_1700-RA-p1,lethal
cgd8_1720-RA-p1,nonlethal
cgd5_2670-RA-p1,nonlethal
cgd6_4900-RA-p1,nonlethal
cgd5_4400-RA-p1,nonlethal
cgd7_1540-RA-p1,nonlethal
cgd6_610-RA-p1,nonlethal
cgd2_1360-RA-p1,nonlethal
cgd1_980-RA-p1,nonlethal
cgd6_5450-RA-p1,nonlethal
cgd1_2620-RA-p1,nonlethal
cgd7_460-RA-p1,nonlethal
cgd3_690-RA-p1,nonlethal
cgd7_450-RA-p1,nonlethal
cgd5_4440-RA-p1,nonlethal
cgd7_5170-RA-p1,nonlethal
cgd4_4150-RA-p1,nonlethal
cgd6_3790-RA-p1,lethal
cgd2_1770-RA-p1,nonlethal
cgd6_2450-RA-p1,nonlethal
cgd6_3280-RA-p1,nonlethal
cgd6_4570-RA-p1,lethal
cgd8_790-RA-p1,nonlethal
cgd2_1900-RA-p1,nonlethal
cgd7_2950-RA-p1,nonlethal
cgd4_2590-RA-p1,nonlethal
cgd5_490-RA-p1,nonlethal
cgd6_3970-RA-p1,nonlethal
cgd2_2540-RA-p1,nonlethal
cgd2_4320-RA-p1,nonlethal
cgd3_2460-RA-p1,nonlethal
cgd6_1050-RA-p1,nonlethal
cgd6_20-RA-p1,nonlethal
cgd5_1140-RA-p1,nonlethal
cgd4_2370-RA-p1,nonlethal
cgd5_750-RA-p1,nonlethal
cgd7_2650-RA-p1,nonlethal
cgd4_4340-RA-p1,nonlethal
spontaneous,nonlethal
cgd4_3040-RA-p1,nonlethal
cgd2_1120-RA-p1,nonlethal
cgd2_1460-RA-p1,nonlethal
cgd8_1970-RA-p1,nonlethal
cgd4_1940-RA-p1,nonlethal
cgd5_1470-RA-p1,nonlethal
cgd6_4880-RA-p1,lethal
cgd5_3460-RA-p1,nonlethal
cgd7_360-RA-p1,nonlethal
cgd1_330-RA-p1,nonlethal
cgd3_3440-RA-p1,nonlethal
cgd2_20-RA-p1,nonlethal
cgd7_3730-RA-p1,nonlethal
cgd7_4520-RA-p1,nonlethal
cgd7_4510-RA-p1,nonlethal
cgd7_2730-RA-p1,nonlethal
cgd6_4700-RA-p1,nonlethal
cgd2_2130-RA-p1,nonlethal
cgd3_1400-RA-p1,nonlethal
cgd2_60-RA-p1,nonlethal
cgd8_2810-RA-p1,nonlethal
cgd7_4950-RA-p1,nonlethal
cgd4_690-RA-p1,nonlethal
cgd3_870-RA-p1,nonlethal
cgd3_2100-RA-p1,nonlethal
cgd6_5260-RA-p1,nonlethal
cgd2_3870-RA-p1,nonlethal
cgd1_2040-RA-p1,nonlethal
cgd6_1950-RA-p1,nonlethal
cgd7_4080-RA-p1,nonlethal
cgd6_690-RA-p1,nonlethal
cgd4_1650-RA-p1,nonlethal
cgd8_2610-RA-p1,nonlethal
cgd8_2580-RA-p1,nonlethal
cgd1_3040-RA-p1,nonlethal
cgd7_910-RA-p1,nonlethal
cgd5_4560-RA-p1,nonlethal
cgd8_3460-RA-p1,nonlethal
cgd8_3100-RA-p1,nonlethal
cgd4_2300-RA-p1,nonlethal
cgd5_1650-RA-p1,nonlethal
cgd1_2860-RA-p1,nonlethal
cgd8_3250-RA-p1,nonlethal
cgd4_3310-RA-p1,nonlethal
cgd3_80-RA-p1,nonlethal
cgd8_4760-RA-p1,nonlethal
cgd6_3880-RA-p1,nonlethal
cgd1_600-RA-p1,nonlethal
cgd8_1210-RA-p1,lethal
cgd4_3400-RA-p1,nonlethal
cgd1_1140-RA-p1,nonlethal
cgd8_3680-RA-p1,nonlethal
cgd3_2370-RA-p1,nonlethal
cgd7_470-RA-p1,nonlethal
cgd6_500-RA-p1,nonlethal
cgd4_80-RA-p1,nonlethal
cgd2_230-RA-p1,nonlethal
cgd4_2670-RA-p1,nonlethal
cgd6_1760-RA-p1,nonlethal
cgd8_4500-RA-p1,nonlethal
cgd2_1030-RA-p1,nonlethal
cgd1_2370-RA-p1,nonlethal
cgd7_1710-RA-p1,nonlethal
cgd6_130-RA-p1,nonlethal
cgd4_2600-RA-p1,nonlethal
cgd6_5350-RA-p1,lethal
cgd8_2340-RA-p1,nonlethal
cgd8_370-RA-p1,nonlethal
cgd4_1510-RA-p1,nonlethal
cgd7_1760-RA-p1,nonlethal
cgd5_2910-RA-p1,nonlethal
cgd5_4520-RA-p1,nonlethal
cgd3_640-RA-p1,nonlethal
cgd7_90-RA-p1,nonlethal
cgd2_1040-RA-p1,nonlethal
cgd6_470-RA-p1,nonlethal
cgd3_2730-RA-p1,nonlethal
cgd2_520-RA-p1,nonlethal
cgd4_2270-RA-p1,nonlethal
cgd1_3750-RA-p1,nonlethal
cgd7_2320-RA-p1,nonlethal
cgd2_1200-RA-p1,nonlethal
cgd5_1340-RA-p1,nonlethal
cgd8_1420-RA-p1,nonlethal
cgd3_2630-RA-p1,nonlethal
cgd5_1080-RA-p1,nonlethal
cgd8_560-RA-p1,nonlethal
cgd4_2790-RA-p1,nonlethal
cgd6_3000-RA-p1,nonlethal
cgd8_1030-RA-p1,nonlethal
cgd2_3200-RA-p1,nonlethal
cgd6_3800-RA-p1,nonlethal
cgd2_3270-RA-p1,nonlethal
cgd5_2100-RA-p1,nonlethal
cgd7_1810-RA-p1,nonlethal
cgd3_3430-RA-p1,nonlethal
cgd3_3270-RA-p1,nonlethal
cgd1_3140-RA-p1,nonlethal
cgd4_3100-RA-p1,nonlethal
cgd3_1110-RA-p1,nonlethal
cgd5_1290-RA-p1,nonlethal
cgd1_3050-RA-p1,nonlethal
cgd3_2940-RA-p1,nonlethal
cgd8_2700-RA-p1,nonlethal
cgd5_2600-RA-p1,nonlethal
cgd8_3430-RA-p1,nonlethal
cgd3_110-RA-p1,nonlethal
Cgd2_1810-RA-p1,nonlethal
cgd5_1710-RA-p1,nonlethal
cgd2_2830-RA-p1,nonlethal
cgd7_4070-RA-p1,nonlethal
cgd6_4420-RA-p1,nonlethal
cgd3_3740-RA-p1,nonlethal
cgd2_380-RA-p1,nonlethal
cgd3_3200-RA-p1,nonlethal
cgd5_1960-RA-p1,lethal
cgd2_210-RA-p1,lethal
cgd7_2190-RA-p1,nonlethal
cgd2_2300-RA-p1,lethal
cgd3_460-RA-p1,nonlethal
cgd2_1270-RA-p1,nonlethal
cgd8_1920-RA-p1,nonlethal
cgd7_4270-RA-p1,nonlethal
cgd8_3320-RA-p1,nonlethal
cgd3_3320-RA-p1,nonlethal
cgd4_2250-RA-p1,nonlethal
cgd2_2070-RA-p1,nonlethal
cgd6_2180-RA-p1,nonlethal
cgd6_3990-RA-p1,nonlethal
cgd8_4720-RA-p1,nonlethal
cgd5_3230-RA-p1,nonlethal
cgd4_740-RA-p1,nonlethal
cgd5_3630-RA-p1,nonlethal
cgd8_4940-RA-p1,nonlethal
cgd8_920-RA-p1,nonlethal
cgd1_1900-RA-p1,nonlethal
cgd6_2690-RA-p1,nonlethal
cgd2_2780-RA-p1,nonlethal
cgd2_2420-RA-p1,nonlethal
cgd2_3930-RA-p1,nonlethal
cgd8_4630-RA-p1,nonlethal
cgd3_4070-RA-p1,nonlethal
cgd7_4933-RA-p1,lethal
cgd8_2710-RA-p1,nonlethal
cgd8_4010-RA-p1,nonlethal
cgd1_2190-RA-p1,nonlethal
cgd7_920-RA-p1,nonlethal
cgd4_3850-RA-p1,nonlethal
cgd4_300-RA-p1,nonlethal
cgd6_2970-RA-p1,nonlethal
cgd4_810-RA-p1,nonlethal
cgd8_380-RA-p1,nonlethal
cgd5_2040-RA-p1,nonlethal
cgd7_3450-RA-p1,nonlethal
cgd7_4190-RA-p1,nonlethal
cgd4_2100-RA-p1,nonlethal
cgd6_2140-RA-p1,nonlethal
cgd1_190-RA-p1,nonlethal
cgd1_40-RA-p1,nonlethal
cgd7_1830-RA-p1,nonlethal
cgd1_3720-RA-p1,nonlethal
cgd3_1580-RA-p1,nonlethal
cgd4_1400-RA-p1,lethal
cgd7_3480-RA-p1,nonlethal
cgd3_2320-RA-p1,nonlethal
cgd5_3140-RA-p1,nonlethal
cgd3_410-RA-p1,nonlethal
cgd5_840-RA-p1,nonlethal
cgd4_1890-RA-p1,lethal
cgd5_4540-RA-p1,nonlethal
cgd2_1630-RA-p1,nonlethal
cgd6_960-RA-p1,nonlethal
cgd2_80-RA-p1,nonlethal
cgd4_4460-RA-p1,nonlethal
cgd4_2550-RA-p1,nonlethal
cgd5_610-RA-p1,nonlethal
cgd4_3880-RA-p1,nonlethal
cgd1_990-RA-p1,nonlethal
cgd8_2330-RA-p1,nonlethal
cgd6_3720-RA-p1,lethal
cgd5_70-RA-p1,lethal
cgd6_4400-RA-p1,nonlethal
cgd7_1490-RA-p1,nonlethal
cgd4_3390-RA-p1,lethal
cgd2_1110-RA-p1,nonlethal
cgd8_1150-RA-p1,nonlethal
cgd6_1200-RA-p1,nonlethal
cgd6_1270-RA-p1,nonlethal
cgd3_320-RA-p1,nonlethal
cgd7_1900-RA-p1,nonlethal
cgd4_2560-RA-p1,nonlethal
cgd2_4050-RA-p1,nonlethal
cgd1_1980-RA-p1,nonlethal
cgd3_2350-RA-p1,nonlethal
cgd6_2050-RA-p1,nonlethal
cgd1_3020-RA-p1,nonlethal
cgd5_2240-RA-p1,nonlethal
cgd8_4083-RA-p1,nonlethal
cgd8_350-RA-p1,nonlethal
cgd2_2510-RA-p1,nonlethal
cgd1_3730-RA-p1,nonlethal
cgd1_2130-RA-p1,nonlethal
cgd3_3840-RA-p1,nonlethal
cgd7_480-RA-p1,nonlethal
cgd2_3260-RA-p1,nonlethal
cgd4_960-RA-p1,nonlethal
cgd4_2700-RA-p1,nonlethal
cgd5_3340-RA-p1,nonlethal
cgd4_1470-RA-p1,nonlethal
cgd5_530-RA-p1,nonlethal
cgd4_540-RA-p1,nonlethal
cgd7_5000-RA-p1,nonlethal
cgd8_1670-RA-p1,nonlethal
cgd2_2890-RA-p1,nonlethal
cgd6_880-RA-p1,nonlethal
cgd8_3280-RA-p1,nonlethal
cgd6_3390-RA-p1,nonlethal
cgd3_3850-RA-p1,nonlethal
cgd8_5280-RA-p1,nonlethal
cgd8_510-RA-p1,nonlethal
cgd4_4040-RA-p1,nonlethal
cgd3_130-RA-p1,nonlethal
cgd6_930-RA-p1,nonlethal
cgd3_4140-RA-p1,nonlethal
cgd8_450-RA-p1,nonlethal
cgd6_2040-RA-p1,nonlethal
cgd6_5070-RA-p1,nonlethal
cgd5_2590-RA-p1,nonlethal
cgd6_80-RA-p1,nonlethal
