,0
PBANKA_1239900.1-p1,lethal
PBANKA_1338200.1-p1,nonlethal
PBANKA_0522400.1-p1,nonlethal
PBANKA_0823800.1-p1,nonlethal
PBANKA_1125100.1-p1,nonlethal
PBANKA_0308200.1-p1,nonlethal
PBANKA_0305600.1-p1,nonlethal
PBANKA_1314600.1-p1,nonlethal
PBANKA_1126500.1-p1,nonlethal
PBANKA_0107400.1-p1,nonlethal
PBANKA_0823300.1-p1,lethal
PBANKA_0717600.1-p1,nonlethal
PBANKA_1207200.1-p1,nonlethal
PBANKA_1308200.1-p1,nonlethal
PBANKA_1143600.1-p1,lethal
PBANKA_1227400.1-p1,nonlethal
PBANKA_0814900.1-p1,nonlethal
PBANKA_1434200.1-p1,nonlethal
PBANKA_0302300.1-p1,nonlethal
PBANKA_0210200.1-p1,nonlethal
PBANKA_0313800.1-p1,nonlethal
PBANKA_1450300.1-p1,nonlethal
PBANKA_1409800.1-p1,nonlethal
PBANKA_1010800.1-p1,nonlethal
PBANKA_0102300.1-p1,nonlethal
PBANKA_1406700.1-p1,nonlethal
PBANKA_1454400.1-p1,nonlethal
PBANKA_1032600.1-p1,lethal
PBANKA_1426700.1-p1,lethal
PBANKA_1340000.1-p1,nonlethal
PBANKA_0921300.1-p1,nonlethal
PBANKA_0618300.1-p1,nonlethal
PBANKA_1330600.1-p1,lethal
PBANKA_1326400.1-p1,nonlethal
PBANKA_1229800.1-p1,nonlethal
PBANKA_0828100.1-p1,nonlethal
PBANKA_1022300.1-p1,nonlethal
PBANKA_0823500.1-p1,nonlethal
PBANKA_1009500.1-p1,nonlethal
PBANKA_0909300.1-p1,nonlethal
PBANKA_1362000.1-p1,nonlethal
PBANKA_1133500.1-p1,nonlethal
PBANKA_0915600.1-p1,nonlethal
PBANKA_0915500.1-p1,nonlethal
PBANKA_1141300.1-p1,nonlethal
PBANKA_0714900.1-p1,nonlethal
PBANKA_1357000.1-p1,nonlethal
PBANKA_1446900.1-p1,nonlethal
PBANKA_1423700.1-p1,nonlethal
PBANKA_1360500.1-p1,nonlethal
PBANKA_0404700.1-p1,nonlethal
PBANKA_0403100.1-p1,nonlethal
PBANKA_1023400.1-p1,nonlethal
PBANKA_0824700.1-p1,nonlethal
PBANKA_0105500.1-p1,nonlethal
PBANKA_1111800.1-p1,lethal
PBANKA_1438900.1-p1,lethal
PBANKA_1421300.1-p1,nonlethal
PBANKA_1216000.1-p1,nonlethal
PBANKA_1318200.1-p1,nonlethal
PBANKA_1322100.1-p1,nonlethal
PBANKA_0821700.1-p1,nonlethal
PBANKA_1358600.1-p1,lethal
PBANKA_1413100.1-p1,nonlethal
PBANKA_1025900.1-p1,nonlethal
PBANKA_1362900.1-p1,nonlethal
PBANKA_0823100.1-p1,nonlethal
PBANKA_1443800.1-p1,lethal
PBANKA_0211300.1-p1,nonlethal
PBANKA_0922200.1-p1,nonlethal
PBANKA_1141200.1-p1,nonlethal
PBANKA_1142400.1-p1,nonlethal
PBANKA_1218000.1-p1,nonlethal
PBANKA_0932400.1-p1,nonlethal
PBANKA_0818900.1-p1,nonlethal
PBANKA_0711900.1-p1,nonlethal
PBANKA_0914400.1-p1,nonlethal
PBANKA_1118600.1-p1,nonlethal
PBANKA_0300800.1-p1,lethal
PBANKA_1364800.1-p1,nonlethal
PBANKA_1237800.1-p1,nonlethal
PBANKA_0903500.1-p1,nonlethal
PBANKA_0608300.1-p1,nonlethal
PBANKA_1311700.1-p1,nonlethal
PBANKA_1353300.1-p1,nonlethal
PBANKA_0816400.1-p1,nonlethal
PBANKA_0401200.1-p1,nonlethal
PBANKA_1022600.1-p1,nonlethal
PBANKA_1304100.1-p1,nonlethal
PBANKA_0714700.1-p1,nonlethal
PBANKA_1355900.1-p1,lethal
PBANKA_0710600.1-p1,nonlethal
PBANKA_1125600.1-p1,nonlethal
