,0
PVX_002785.1-p1,nonlethal
PVX_116720.1-p1,nonlethal
PVX_099555.1-p1,nonlethal
PVX_090140.1-p1,nonlethal
PVX_114410.1-p1,nonlethal
PVX_114420.1-p1,nonlethal
PVX_003880.1-p1,nonlethal
PVX_113600.1-p1,nonlethal
PVX_117935.1-p1,nonlethal
PVX_114495.1-p1,nonlethal
PVX_002960.1-p1,nonlethal
PVX_099530.1-p1,nonlethal
PVX_089735.1-p1,nonlethal
PVX_094660.1-p1,nonlethal
PVX_118280.1-p1,nonlethal
PVX_115345.1-p1,nonlethal
PVX_091225.1-p1,nonlethal
PVX_123597.1-p1,nonlethal
PVX_003655.1-p1,nonlethal
PVX_081610.1-p1,nonlethal
PVX_100735.1-p1,nonlethal
PVX_122395.1-p1,nonlethal
PVX_002685.1-p1,nonlethal
PVX_122430.1-p1,nonlethal
PVX_122330.1-p1,nonlethal
PVX_113340.1-p1,nonlethal
PVX_122240.1-p1,nonlethal
PVX_083045.1-p1,nonlethal
PVX_085205.1-p1,nonlethal
PVX_100950.1-p1,nonlethal
PVX_085955.1-p1,nonlethal
PVX_116635.1-p1,nonlethal
PVX_123230.1-p1,nonlethal
PVX_091970.1-p1,nonlethal
PVX_096292.1-p1,nonlethal
PVX_117100.1-p1,nonlethal
PVX_117322.1-p1,nonlethal
PVX_113890.1-p1,nonlethal
PVX_085265.1-p1,nonlethal
PVX_099805.1-p1,nonlethal
PVX_085435.1-p1,nonlethal
PVX_094915.1-p1,nonlethal
PVX_099540.1-p1,nonlethal
PVX_092585.1-p1,nonlethal
PVX_202290-t26_1-p1,nonlethal
PVX_084770.1-p1,nonlethal
PVX_191290-t26_1-p1,nonlethal
PVX_114835.1-p1,nonlethal
PVX_083355.1-p1,nonlethal
PVX_092245.1-p1,nonlethal
PVX_089610.1-p1,nonlethal
PVX_083095.1-p1,nonlethal
PVX_100555.1-p1,nonlethal
PVX_115235.1-p1,nonlethal
PVX_092250.1-p1,nonlethal
PVX_123080.1-p1,nonlethal
PVX_083280.1-p1,nonlethal
PVX_086115.1-p1,nonlethal
PVX_087990.1-p1,nonlethal
PVX_119440.1-p1,nonlethal
PVX_099600.1-p1,nonlethal
PVX_113510.1-p1,nonlethal
PVX_085490.1-p1,nonlethal
PVX_080630.1-p1,nonlethal
PVX_123830.1-p1,nonlethal
PVX_113540.1-p1,nonlethal
PVX_122960.1-p1,nonlethal
PVX_095105.1-p1,nonlethal
PVX_117755.1-p1,nonlethal
PVX_099455.1-p1,nonlethal
PVX_083185.1-p1,nonlethal
PVX_122550.1-p1,nonlethal
PVX_083400.1-p1,nonlethal
PVX_085610.1-p1,nonlethal
PVX_081425.1-p1,nonlethal
PVX_099525.1-p1,nonlethal
PVX_084835.1-p1,nonlethal
PVX_124085.1-p1,nonlethal
PVX_081665.1-p1,nonlethal
PVX_115230.1-p1,nonlethal
PVX_089560.1-p1,nonlethal
PVX_115285.1-p1,nonlethal
PVX_113450.1-p1,nonlethal
PVX_095210.1-p1,nonlethal
PVX_240290-t26_1-p1,nonlethal
PVX_092310.1-p1,nonlethal
PVX_099315.1-p1,nonlethal
PVX_089425.1-p1,nonlethal
PVX_116770.1-p1,nonlethal
PVX_114095.1-p1,nonlethal
PVX_003575.1-p1,nonlethal
PVX_080100.1-p1,nonlethal
PVX_118100.1-p1,nonlethal
PVX_083495.1-p1,nonlethal
PVX_099200.1-p1,nonlethal
PVX_085450.1-p1,nonlethal
PVX_118480.1-p1,nonlethal
PVX_089600.1-p1,nonlethal
PVX_083035.1-p1,nonlethal
PVX_089355.1-p1,nonlethal
PVX_110905.1-p1,nonlethal
PVX_114445.1-p1,nonlethal
PVX_080575.1-p1,nonlethal
PVX_114925.1-p1,nonlethal
PVX_117605.1-p1,nonlethal
PVX_084685.1-p1,nonlethal
PVX_086155.1-p1,nonlethal
PVX_080515.1-p1,nonlethal
