,0
TGGT1_310080-t26_1-p1,nonlethal
TGGT1_297220-t26_1-p1,nonlethal
TGGT1_321570-t26_1-p1,nonlethal
TGGT1_234570-t26_1-p1,nonlethal
TGGT1_217740-t26_1-p1,nonlethal
TGGT1_226300-t26_1-p1,nonlethal
TGGT1_271888-t26_1-p1,nonlethal
TGGT1_294820-t26_1-p1,nonlethal
TGGT1_231890-t26_1-p1,nonlethal
TGGT1_409340-t26_1-p1,nonlethal
TGGT1_293590-t26_1-p1,nonlethal
TGGT1_220840-t26_1-p1,lethal
TGGT1_264080-t26_1-p1,nonlethal
TGGT1_301120-t26_1-p1,nonlethal
TGGT1_273740-t26_1-p1,nonlethal
TGGT1_266640-t26_1-p1,nonlethal
TGGT1_232580-t26_1-p1,nonlethal
TGGT1_219230-t26_1-p1,nonlethal
TGGT1_205430-t26_1-p1,nonlethal
TGGT1_266270-t26_1-p1,nonlethal
TGGT1_269110-t26_1-p1,nonlethal
TGGT1_202920-t26_1-p1,nonlethal
TGGT1_250880-t26_1-p1,nonlethal
TGGT1_224900-t26_1-p1,nonlethal
TGGT1_288320-t26_1-p1,nonlethal
TGGT1_297640-t26_1-p1,nonlethal
TGGT1_264030-t26_1-p1,nonlethal
TGGT1_219540-t26_1-p1,nonlethal
TGGT1_241870-t26_1-p1,nonlethal
TGGT1_311780-t26_1-p1,nonlethal
TGGT1_233860-t26_1-p1,nonlethal
TGGT1_210840-t26_1-p1,nonlethal
TGGT1_248600-t26_1-p1,lethal
TGGT1_202530-t26_1-p1,nonlethal
TGGT1_231910-t26_1-p1,nonlethal
TGGT1_261950-t26_1-p1,nonlethal
TGGT1_204400-t26_1-p1,nonlethal
TGGT1_247540-t26_1-p1,nonlethal
TGGT1_207910-t26_1-p1,nonlethal
TGGT1_215260-t26_1-p1,nonlethal
TGGT1_315560-t26_1-p1,nonlethal
TGGT1_309940-t26_1-p1,nonlethal
TGGT1_276155-t26_1-p1,nonlethal
TGGT1_247760-t26_1-p1,nonlethal
TGGT1_202140-t26_1-p1,nonlethal
TGGT1_242390-t26_1-p1,nonlethal
TGGT1_317705-t26_1-p1,nonlethal
TGGT1_263785-t26_1-p1,nonlethal
TGGT1_259550-t26_1-p1,nonlethal
TGGT1_271350-t26_1-p1,nonlethal
TGGT1_257050-t26_1-p1,nonlethal
TGGT1_202300-t26_1-p1,nonlethal
TGGT1_233140-t26_1-p1,nonlethal
TGGT1_214850-t26_1-p1,nonlethal
TGGT1_289690-t26_1-p1,nonlethal
TGGT1_251930-t26_1-p1,nonlethal
TGGT1_236040-t26_1-p1,nonlethal
TGGT1_235700-t26_1-p1,nonlethal
TGGT1_247510-t26_1-p1,nonlethal
TGGT1_267330-t26_1-p1,lethal
TGGT1_203570-t26_1-p1,nonlethal
TGGT1_216790-t26_1-p1,nonlethal
TGGT1_229330-t26_1-p1,nonlethal
TGGT1_243910-t26_1-p1,nonlethal
TGGT1_229320-t26_1-p1,nonlethal
TGGT1_286220-t26_1-p1,nonlethal
TGGT1_310670-t26_1-p1,nonlethal
TGGT1_273490-t26_1-p1,nonlethal
TGGT1_261030-t26_1-p1,nonlethal
TGGT1_263870-t26_1-p1,nonlethal
TGGT1_206470-t26_1-p1,nonlethal
TGGT1_237470-t26_1-p1,nonlethal
TGGT1_283820-t26_1-p1,nonlethal
TGGT1_305980-t26_1-p1,nonlethal
TGGT1_202960-t26_1-p1,nonlethal
TGGT1_238940-t26_1-p1,nonlethal
TGGT1_310280-t26_1-p1,nonlethal
TGGT1_216930-t26_1-p1,nonlethal
TGGT1_268730-t26_1-p1,nonlethal
TGGT1_238070-t26_1-p1,nonlethal
TGGT1_246920-t26_1-p1,nonlethal
TGGT1_227150-t26_1-p1,nonlethal
TGGT1_219130-t26_1-p1,nonlethal
TGGT1_253780-t26_1-p1,nonlethal
TGGT1_259130-t26_1-p1,nonlethal
TGGT1_209870-t26_1-p1,nonlethal
TGGT1_289980-t26_1-p1,nonlethal
TGGT1_237560-t26_1-p1,nonlethal
TGGT1_300120-t26_1-p1,nonlethal
TGGT1_297850-t26_1-p1,nonlethal
TGGT1_233110-t26_1-p1,nonlethal
TGGT1_222160-t26_1-p1,nonlethal
TGGT1_271820-t26_1-p1,nonlethal
TGGT1_205710-t26_1-p1,nonlethal
TGGT1_220350-t26_1-p1,nonlethal
TGGT1_257960-t26_1-p1,nonlethal
TGGT1_306260-t26_1-p1,nonlethal
