,0
TGME49_232250,nonlethal
TGME49_272290,nonlethal
TGME49_278870,nonlethal
TGME49_321440,nonlethal
TGME49_277500,nonlethal
TGME49_273870,nonlethal
TGME49_236970,nonlethal
TGME49_273090,nonlethal
TGME49_270865,nonlethal
TGME49_289170,nonlethal
TGME49_219130,nonlethal
TGME49_309730,nonlethal
TGME49_255890,nonlethal
TGME49_244700,lethal
TGME49_301210,nonlethal
TGME49_318650,nonlethal
TGME49_216810,nonlethal
TGME49_239620,nonlethal
TGME49_224900,lethal
TGME49_315260,lethal
TGME49_215260,nonlethal
TGME49_310810,nonlethal
TGME49_225290,nonlethal
TGME49_307800,nonlethal
TGME49_202210,nonlethal
TGME49_269035,nonlethal
TGME49_295350,nonlethal
TGME49_257740,lethal
TGME49_289980,nonlethal
TGME49_209870,nonlethal
TGME49_297080,nonlethal
TGME49_240690,nonlethal
TGME49_234280,nonlethal
TGME49_214780,nonlethal
TGME49_250880,nonlethal
TGME49_225420,nonlethal
TGME49_320120,nonlethal
TGME49_272650,nonlethal
TGME49_224840,nonlethal
TGME49_258508,nonlethal
TGME49_226755,nonlethal
TGME49_233065,nonlethal
TGME49_293000,nonlethal
TGME49_310520,nonlethal
TGME49_257080,nonlethal
TGME49_266920,nonlethal
TGME49_318675,nonlethal
TGME49_233040,nonlethal
TGME49_220420,nonlethal
TGME49_228500,nonlethal
TGME49_257945,nonlethal
TGME49_229405,nonlethal
TGME49_280410,nonlethal
TGME49_202540,nonlethal
TGME49_326800,nonlethal
TGME49_225050,nonlethal
TGME49_256760,nonlethal
TGME49_266640,nonlethal
TGME49_301120,nonlethal
TGME49_265010,nonlethal
TGME49_293180,nonlethal
TGME49_273490,nonlethal
TGME49_253430,nonlethal
TGME49_269800,lethal
TGME49_264030,nonlethal
TGME49_280700,nonlethal
TGME49_265860,nonlethal
TGME49_266120,nonlethal
TGME49_266130,nonlethal
TGME49_316310,nonlethal
TGME49_249650,nonlethal
TGME49_218200,nonlethal
TGME49_264780,lethal
TGME49_225880,nonlethal
TGME49_265450,nonlethal
TGME49_258650,nonlethal
TGME49_258940,nonlethal
TGME49_242730,lethal
TGME49_289650,nonlethal
TGME49_289930,nonlethal
TGME49_235700,nonlethal
TGME49_203110,nonlethal
TGME49_223840,nonlethal
TGME49_248600,nonlethal
TGME49_239530,nonlethal
TGME49_203500,nonlethal
TGME49_293810,nonlethal
TGME49_215590,nonlethal
TGME49_253780,nonlethal
TGME49_202300,nonlethal
TGME49_309752,nonlethal
TGME49_230555,nonlethal
TGME49_254370,nonlethal
TGME49_278740,nonlethal
TGME49_266450,nonlethal
TGME49_236570,nonlethal
TGME49_214760,nonlethal
TGME49_227090,nonlethal
TGME49_288740,nonlethal
TGME49_226800,nonlethal
TGME49_223672,nonlethal
TGME49_286420,nonlethal
TGME49_294800,nonlethal
TGME49_282230,nonlethal
TGME49_299210,lethal
TGME49_222900,nonlethal
TGME49_309210,nonlethal
TGME49_215250,lethal
TGME49_257750,nonlethal
TGME49_216700,nonlethal
TGME49_312930,nonlethal
TGME49_268860,nonlethal
TGME49_268850,nonlethal
TGME49_269110,nonlethal
TGME49_291040,nonlethal
TGME49_232350,nonlethal
TGME49_222160,nonlethal
TGME49_215290,nonlethal
TGME49_218560,lethal
TGME49_311780,nonlethal
TGME49_247510,nonlethal
TGME49_205380,nonlethal
TGME49_227020,nonlethal
TGME49_231350,nonlethal
TGME49_207620,nonlethal
TGME49_262910,nonlethal
TGME49_256980,nonlethal
TGME49_307570,nonlethal
TGME49_219630,nonlethal
TGME49_257960,lethal
TGME49_238940,nonlethal
TGME49_259180,nonlethal
TGME49_232590,nonlethal
TGME49_278910,nonlethal
TGME49_290670,nonlethal
TGME49_221310,nonlethal
TGME49_224350,nonlethal
TGME49_224460,nonlethal
TGME49_249180,lethal
TGME49_271350,nonlethal
TGME49_234190,nonlethal
TGME49_318580,nonlethal
TGME49_285980,nonlethal
TGME49_259690,nonlethal
TGME49_312480,nonlethal
TGME49_216540,lethal
TGME49_244520,lethal
TGME49_262930,nonlethal
TGME49_277970,nonlethal
TGME49_252380,nonlethal
TGME49_225930,nonlethal
TGME49_320630,nonlethal
TGME49_265000,nonlethal
TGME49_313950,nonlethal
TGME49_273920,nonlethal
TGME49_220100,nonlethal
TGME49_305030,nonlethal
TGME49_282190,nonlethal
TGME49_247220,nonlethal
TGME49_239310,nonlethal
TGME49_289690,nonlethal
TGME49_318750,nonlethal
TGME49_270650,nonlethal
TGME49_318310,nonlethal
TGME49_236050,nonlethal
TGME49_236040,nonlethal
TGME49_321900,nonlethal
TGME49_263190,nonlethal
TGME49_229780,nonlethal
TGME49_312520,nonlethal
TGME49_233110,lethal
TGME49_200320,nonlethal
TGME49_279450,nonlethal
TGME49_222970,nonlethal
TGME49_257625,nonlethal
TGME49_257050,nonlethal
TGME49_230450,lethal
TGME49_236070,nonlethal
TGME49_290920,nonlethal
TGME49_221270,nonlethal
TGME49_202340,nonlethal
TGME49_281990,nonlethal
TGME49_243800,nonlethal
TGME49_247760,nonlethal
TGME49_310150,nonlethal
TGME49_310080,nonlethal
TGME49_297220,nonlethal
TGME49_290980,nonlethal
TGME49_290970,nonlethal
TGME49_212130,nonlethal
TGME49_257510,nonlethal
TGME49_219230,nonlethal
TGME49_290040,nonlethal
TGME49_291640,nonlethal
TGME49_263710,nonlethal
TGME49_220840,nonlethal
TGME49_306540,lethal
TGME49_263270,nonlethal
TGME49_256090,nonlethal
TGME49_318230,nonlethal
TGME49_239820,nonlethal
TGME49_244150,nonlethal
TGME49_318190,nonlethal
TGME49_273030,nonlethal
TGME49_222910,nonlethal
TGME49_297060,nonlethal
TGME49_226300,nonlethal
TGME49_307850,nonlethal
TGME49_242600,nonlethal
TGME49_247670,nonlethal
TGME49_205720,nonlethal
TGME49_215480,nonlethal
TGME49_310640,nonlethal
TGME49_307030,nonlethal
TGME49_214440,nonlethal
TGME49_294820,nonlethal
TGME49_269430,lethal
TGME49_224490,nonlethal
TGME49_200430,nonlethal
TGME49_292100,nonlethal
TGME49_314400,nonlethal
TGME49_239490,nonlethal
TGME49_201380,lethal
TGME49_202920,nonlethal
TGME49_208530,nonlethal
TGME49_216640,nonlethal
TGME49_320730,nonlethal
TGME49_271888,lethal
TGME49_285750,nonlethal
TGME49_287510,nonlethal
TGME49_281980,lethal
TGME49_207710,lethal
TGME49_231920,nonlethal
TGME49_239710,lethal
TGME49_260140,nonlethal
TGME49_221260,lethal
TGME49_229360,nonlethal
TGME49_259660,nonlethal
TGME49_239630,nonlethal
TGME49_216930,lethal
TGME49_247360,nonlethal
TGME49_305910,nonlethal
TGME49_234440,nonlethal
TGME49_293610,nonlethal
TGME49_207060,lethal
TGME49_294640,lethal
TGME49_246530,nonlethal
